"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720368271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720368272,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720368273,0,1,0,0,0,16,0,36,0,0,0,2,0,16,0,34,0
1720368274,0,1,0,0,0,42,0,146,0,16,0,36,0,26,0,110,0
1720368275,0,2,0,0,0,45,0,160,0,42,0,146,0,3,0,14,0
1720368276,0,2,0,0,0,95,0,331,0,45,0,160,0,50,0,171,0
1720368277,0,3,0,0,0,154,0,449,0,95,0,331,0,59,0,118,0
1720368278,0,4,0,0,0,216,0,571,0,154,0,449,0,62,0,122,0
1720368279,0,6,1,0,0,271,0,681,0,216,0,571,0,55,0,110,0
1720368280,0,7,1,0,0,311,0,762,0,271,0,681,0,40,0,81,0
1720368281,0,8,1,0,0,361,0,862,0,311,0,762,0,50,0,100,0
1720368282,0,7,1,1,0,412,0,971,0,361,0,862,0,51,0,109,0
1720368283,0,11,2,1,0,449,0,1063,0,412,0,971,0,37,0,92,0
1720368284,0,9,2,1,0,499,0,1164,0,449,0,1063,0,50,0,101,0
1720368285,0,10,2,1,0,552,0,1270,0,499,0,1164,0,53,0,106,0
1720368286,0,11,2,1,0,602,0,1370,0,552,0,1270,0,50,0,100,0
1720368287,0,11,2,1,0,642,0,1450,0,602,0,1370,0,40,0,80,0
1720368288,0,9,2,1,0,696,0,1558,0,642,0,1450,0,54,0,108,0
1720368289,0,8,2,1,0,752,0,1670,0,696,0,1558,0,56,0,112,0
1720368290,0,7,2,1,0,810,0,1786,0,752,0,1670,0,58,0,116,0
1720368291,0,8,2,1,0,865,0,1896,0,810,0,1786,0,55,0,110,0
1720368292,0,7,2,1,0,915,0,2032,0,865,0,1896,0,50,0,136,0
1720368293,0,4,2,1,0,916,0,2054,0,915,0,2032,0,1,0,22,0
