"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720367575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720367576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720367577,0,1,0,0,0,17,0,38,0,0,0,0,0,17,0,38,0
1720367578,0,1,0,0,0,40,0,138,0,17,0,38,0,23,0,100,0
1720367579,0,2,0,0,0,41,0,174,0,40,0,138,0,1,0,36,0
1720367580,0,2,0,0,0,101,0,339,0,41,0,174,0,60,0,165,0
1720367581,0,3,0,0,0,162,0,461,0,101,0,339,0,61,0,122,0
1720367582,0,4,0,0,0,207,0,551,0,162,0,461,0,45,0,90,0
1720367583,0,6,1,0,0,261,0,659,0,207,0,551,0,54,0,108,0
1720367584,0,8,1,0,0,317,0,770,0,261,0,659,0,56,0,111,0
1720367585,0,9,1,0,0,369,0,874,0,317,0,770,0,52,0,104,0
1720367586,0,8,1,1,0,423,0,982,0,369,0,874,0,54,0,108,0
1720367587,0,11,2,1,0,472,0,1092,0,423,0,982,0,49,0,110,0
1720367588,0,9,2,1,0,522,0,1193,0,472,0,1092,0,50,0,101,0
1720367589,0,11,2,1,0,577,0,1303,0,522,0,1193,0,55,0,110,0
1720367590,0,12,2,1,0,617,0,1383,0,577,0,1303,0,40,0,80,0
1720367591,0,11,2,1,0,669,0,1487,0,617,0,1383,0,52,0,104,0
1720367592,0,8,2,1,0,721,0,1591,0,669,0,1487,0,52,0,104,0
1720367593,0,8,2,1,0,775,0,1699,0,721,0,1591,0,54,0,108,0
1720367594,0,7,2,1,0,829,0,1807,0,775,0,1699,0,54,0,108,0
1720367595,0,8,2,1,0,873,0,1895,0,829,0,1807,0,44,0,88,0
1720367596,0,7,2,1,0,929,0,2011,0,873,0,1895,0,56,0,116,0
1720367597,0,3,2,1,0,936,0,2072,0,929,0,2011,0,7,0,61,0
1720367598,0,2,2,1,0,979,0,2171,0,936,0,2072,0,43,0,99,0
1720367599,0,2,2,1,0,1044,0,2301,0,979,0,2171,0,65,0,130,0
1720367600,0,2,2,1,0,1106,0,2425,0,1044,0,2301,0,62,0,124,0
1720367601,0,2,2,1,0,1171,0,2553,0,1106,0,2425,0,65,0,128,0
1720367602,0,2,2,1,0,1217,0,2647,0,1171,0,2553,0,46,0,94,0
1720367603,0,1,2,1,0,1282,0,2777,0,1217,0,2647,0,65,0,130,0
1720367604,0,7,2,1,0,1349,0,2911,0,1282,0,2777,0,67,0,134,0
1720367605,0,10,2,1,0,1410,0,3031,0,1349,0,2911,0,61,0,120,0
1720367606,0,10,2,1,0,1473,0,3157,0,1410,0,3031,0,63,0,126,0
1720367607,0,10,2,1,0,1518,0,3239,0,1473,0,3157,0,45,0,82,0
1720367608,0,10,2,1,0,1564,0,3331,0,1518,0,3239,0,46,0,92,0
1720367609,0,10,2,1,0,1626,0,3455,0,1564,0,3331,0,62,0,124,0
1720367610,0,10,2,1,0,1689,0,3581,0,1626,0,3455,0,63,0,126,0
1720367611,0,10,2,1,0,1750,0,3703,0,1689,0,3581,0,61,0,122,0
1720367612,0,10,2,1,0,1764,0,3727,0,1750,0,3703,0,14,0,24,0
1720367613,0,10,2,1,0,1791,0,3771,0,1764,0,3727,0,27,0,44,0
1720367614,0,10,2,1,0,1845,0,3877,0,1791,0,3771,0,54,0,106,0
1720367615,0,11,2,1,0,1894,0,3975,0,1845,0,3877,0,49,0,98,0
1720367616,0,10,2,1,0,1942,0,4071,0,1894,0,3975,0,48,0,96,0
1720367617,0,11,2,1,0,1961,0,4140,0,1942,0,4071,0,19,0,69,0
1720367618,0,11,2,1,0,2009,0,4234,0,1961,0,4140,0,48,0,94,0
1720367619,0,11,2,1,0,2061,0,4338,0,2009,0,4234,0,52,0,104,0
1720367620,0,8,2,1,0,2102,0,4420,0,2061,0,4338,0,41,0,82,0
1720367621,0,7,2,1,0,2159,0,4534,0,2102,0,4420,0,57,0,114,0
1720367622,0,6,2,1,0,2213,0,4642,0,2159,0,4534,0,54,0,108,0
1720367623,0,6,2,1,0,2268,0,4752,0,2213,0,4642,0,55,0,110,0
1720367624,0,6,2,1,0,2324,0,4864,0,2268,0,4752,0,56,0,112,0
1720367625,0,5,2,1,0,2383,0,4982,0,2324,0,4864,0,59,0,118,0
1720367626,0,5,2,1,0,2436,0,5152,0,2383,0,4982,0,53,0,170,0
1720367627,0,4,2,1,0,2436,0,5152,0,2436,0,5152,0,0,0,0,0
1720367628,0,4,2,1,0,2493,0,5258,0,2436,0,5152,0,57,0,106,0
1720367629,0,4,2,1,0,2550,0,5374,0,2493,0,5258,0,57,0,116,0
1720367630,0,4,2,1,0,2608,0,5488,0,2550,0,5374,0,58,0,114,0
1720367631,0,4,2,1,0,2666,0,5604,0,2608,0,5488,0,58,0,116,0
1720367632,0,4,2,1,0,2725,0,5722,0,2666,0,5604,0,59,0,118,0
1720367633,0,4,2,1,0,2783,0,5838,0,2725,0,5722,0,58,0,116,0
1720367634,0,7,2,1,0,2824,0,5920,0,2783,0,5838,0,41,0,82,0
1720367635,0,8,2,1,0,2877,0,6026,0,2824,0,5920,0,53,0,106,0
