"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720368556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720368557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720368558,0,1,0,0,0,16,0,36,0,0,0,0,0,16,0,36,0
1720368559,0,1,0,0,0,38,0,128,0,16,0,36,0,22,0,92,0
1720368560,0,1,0,0,0,43,0,150,0,38,0,128,0,5,0,22,0
1720368561,0,2,0,0,0,92,0,315,0,43,0,150,0,49,0,165,0
1720368562,0,3,0,0,0,154,0,439,0,92,0,315,0,62,0,124,0
1720368563,0,4,0,0,0,215,0,561,0,154,0,439,0,61,0,122,0
1720368564,0,6,1,0,0,273,0,675,0,215,0,561,0,58,0,114,0
1720368565,0,8,1,0,0,316,0,762,0,273,0,675,0,43,0,87,0
1720368566,0,9,1,0,0,371,0,872,0,316,0,762,0,55,0,110,0
1720368567,0,8,1,1,0,426,0,982,0,371,0,872,0,55,0,110,0
1720368568,0,10,2,1,0,484,0,1102,0,426,0,982,0,58,0,120,0
1720368569,0,9,2,1,0,530,0,1193,0,484,0,1102,0,46,0,91,0
1720368570,0,9,2,1,0,567,0,1267,0,530,0,1193,0,37,0,74,0
1720368571,0,11,2,1,0,619,0,1371,0,567,0,1267,0,52,0,104,0
1720368572,0,11,2,1,0,668,0,1469,0,619,0,1371,0,49,0,98,0
1720368573,0,9,2,1,0,723,0,1579,0,668,0,1469,0,55,0,110,0
1720368574,0,8,2,1,0,778,0,1689,0,723,0,1579,0,55,0,110,0
1720368575,0,8,2,1,0,834,0,1801,0,778,0,1689,0,56,0,112,0
1720368576,0,8,2,1,0,876,0,1885,0,834,0,1801,0,42,0,84,0
1720368577,0,7,2,1,0,928,0,1989,0,876,0,1885,0,52,0,104,0
