"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720296576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296578,0,1,0,0,0,12,0,34,0,0,0,0,0,12,0,34,0
1720296579,0,1,0,0,0,29,0,129,0,12,0,34,0,17,0,95,0
1720296580,0,2,0,0,0,88,0,247,0,29,0,129,0,59,0,118,0
1720296581,0,3,0,0,0,152,0,375,0,88,0,247,0,64,0,128,0
1720296582,0,3,0,0,0,212,0,495,0,152,0,375,0,60,0,120,0
1720296583,0,4,0,0,0,270,0,611,0,212,0,495,0,58,0,116,0
1720296584,0,7,1,0,0,314,0,697,0,270,0,611,0,44,0,86,0
1720296585,0,9,1,0,0,369,0,808,0,314,0,697,0,55,0,111,0
1720296586,0,9,1,0,0,422,0,914,0,369,0,808,0,53,0,106,0
1720296587,0,8,2,1,0,478,0,1026,0,422,0,914,0,56,0,112,0
1720296588,0,11,2,1,0,531,0,1131,0,478,0,1026,0,53,0,105,0
1720296589,0,8,2,1,0,583,0,1235,0,531,0,1131,0,52,0,104,0
1720296590,0,11,2,1,0,636,0,1341,0,583,0,1235,0,53,0,106,0
1720296591,0,12,2,1,0,673,0,1415,0,636,0,1341,0,37,0,74,0
1720296592,0,11,2,1,0,727,0,1523,0,673,0,1415,0,54,0,108,0
1720296593,0,8,2,1,0,782,0,1633,0,727,0,1523,0,55,0,110,0
1720296594,0,8,2,1,0,837,0,1743,0,782,0,1633,0,55,0,110,0
1720296595,0,7,2,1,0,892,0,1853,0,837,0,1743,0,55,0,110,0
1720296596,0,7,2,1,0,945,0,1959,0,892,0,1853,0,53,0,106,0
1720296597,0,8,2,1,0,997,0,2121,0,945,0,1959,0,52,0,162,0
1720296598,0,2,2,1,0,997,0,2121,0,997,0,2121,0,0,0,0,0
1720296599,0,2,2,1,0,1044,0,2236,0,997,0,2121,0,47,0,115,0
1720296600,0,2,2,1,0,1110,0,2366,0,1044,0,2236,0,66,0,130,0
1720296601,0,2,2,1,0,1175,0,2498,0,1110,0,2366,0,65,0,132,0
1720296602,0,2,2,1,0,1239,0,2626,0,1175,0,2498,0,64,0,128,0
1720296603,0,1,2,1,0,1302,0,2752,0,1239,0,2626,0,63,0,126,0
1720296604,0,1,2,1,0,1353,0,2854,0,1302,0,2752,0,51,0,102,0
1720296605,0,10,2,1,0,1417,0,2980,0,1353,0,2854,0,64,0,126,0
1720296606,0,10,2,1,0,1479,0,3104,0,1417,0,2980,0,62,0,124,0
1720296607,0,10,2,1,0,1540,0,3226,0,1479,0,3104,0,61,0,122,0
1720296608,0,10,2,1,0,1593,0,3328,0,1540,0,3226,0,53,0,102,0
1720296609,0,10,2,1,0,1654,0,3450,0,1593,0,3328,0,61,0,122,0
1720296610,0,10,2,1,0,1700,0,3542,0,1654,0,3450,0,46,0,92,0
1720296611,0,10,2,1,0,1760,0,3662,0,1700,0,3542,0,60,0,120,0
1720296612,0,11,2,1,0,1817,0,3772,0,1760,0,3662,0,57,0,110,0
1720296613,0,11,2,1,0,1817,0,3772,0,1817,0,3772,0,0,0,0,0
1720296614,0,11,2,1,0,1873,0,3876,0,1817,0,3772,0,56,0,104,0
1720296615,0,11,2,1,0,1924,0,3978,0,1873,0,3876,0,51,0,102,0
1720296616,0,11,2,1,0,1975,0,4080,0,1924,0,3978,0,51,0,102,0
1720296617,0,11,2,1,0,2025,0,4205,0,1975,0,4080,0,50,0,125,0
1720296618,0,11,2,1,0,2026,0,4233,0,2025,0,4205,0,1,0,28,0
1720296619,0,11,2,1,0,2084,0,4327,0,2026,0,4233,0,58,0,94,0
1720296620,0,9,2,1,0,2138,0,4435,0,2084,0,4327,0,54,0,108,0
1720296621,0,6,2,1,0,2194,0,4547,0,2138,0,4435,0,56,0,112,0
1720296622,0,6,2,1,0,2250,0,4659,0,2194,0,4547,0,56,0,112,0
1720296623,0,6,2,1,0,2292,0,4743,0,2250,0,4659,0,42,0,84,0
1720296624,0,5,2,1,0,2344,0,4847,0,2292,0,4743,0,52,0,104,0
1720296625,0,5,2,1,0,2402,0,4963,0,2344,0,4847,0,58,0,116,0
1720296626,0,5,2,1,0,2459,0,5077,0,2402,0,4963,0,57,0,114,0
1720296627,0,5,2,1,0,2515,0,5220,0,2459,0,5077,0,56,0,143,0
1720296628,0,4,2,1,0,2518,0,5246,0,2515,0,5220,0,3,0,26,0
1720296629,0,4,2,1,0,2587,0,5386,0,2518,0,5246,0,69,0,140,0
1720296630,0,4,2,1,0,2631,0,5472,0,2587,0,5386,0,44,0,86,0
1720296631,0,4,2,1,0,2688,0,5586,0,2631,0,5472,0,57,0,114,0
1720296632,0,4,2,1,0,2746,0,5702,0,2688,0,5586,0,58,0,116,0
1720296633,0,3,2,1,0,2806,0,5822,0,2746,0,5702,0,60,0,120,0
1720296634,0,6,2,1,0,2862,0,5934,0,2806,0,5822,0,56,0,112,0
1720296635,0,8,2,1,0,2918,0,6046,0,2862,0,5934,0,56,0,112,0
1720296636,0,7,2,1,0,2959,0,6128,0,2918,0,6046,0,41,0,82,0
1720296637,0,5,2,1,0,3016,0,6244,0,2959,0,6128,0,57,0,116,0
1720296638,0,3,2,1,0,3049,0,6340,0,3016,0,6244,0,33,0,96,0
1720296639,0,4,2,1,0,3107,0,6454,0,3049,0,6340,0,58,0,114,0
1720296640,0,3,2,1,0,3170,0,6582,0,3107,0,6454,0,63,0,128,0
1720296641,0,4,2,1,0,3234,0,6708,0,3170,0,6582,0,64,0,126,0
1720296642,0,4,2,1,0,3294,0,6830,0,3234,0,6708,0,60,0,122,0
1720296643,0,1,2,1,0,3346,0,6934,0,3294,0,6830,0,52,0,104,0
1720296644,0,1,2,1,0,3394,0,7030,0,3346,0,6934,0,48,0,96,0
1720296645,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296646,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296647,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296648,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296649,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296650,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296651,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296652,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
1720296653,0,1,2,1,0,3394,0,7030,0,3394,0,7030,0,0,0,0,0
