"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720296701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296704,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720296705,0,0,0,0,0,28,0,173,0,0,0,2,0,28,0,171,0
1720296706,0,3,0,0,0,66,0,263,0,28,0,173,0,38,0,90,0
1720296707,0,2,0,0,0,109,0,363,0,66,0,263,0,43,0,100,0
1720296708,0,3,0,0,0,149,0,469,0,109,0,363,0,40,0,106,0
1720296709,0,4,0,0,0,191,0,579,0,149,0,469,0,42,0,110,0
1720296710,0,5,1,0,0,230,0,673,0,191,0,579,0,39,0,94,0
1720296711,0,6,1,0,0,268,0,764,0,230,0,673,0,38,0,91,0
1720296712,0,8,1,2,0,304,0,856,0,268,0,764,0,36,0,92,0
1720296713,0,8,1,2,0,304,0,856,0,304,0,856,0,0,0,0,0
1720296714,0,9,2,2,0,321,0,930,0,304,0,856,0,17,0,74,0
1720296715,0,9,2,2,0,360,0,1025,0,321,0,930,0,39,0,95,0
1720296716,0,7,2,2,0,395,0,1113,0,360,0,1025,0,35,0,88,0
1720296717,0,10,2,2,0,433,0,1207,0,395,0,1113,0,38,0,94,0
1720296718,0,9,2,2,0,471,0,1291,0,433,0,1207,0,38,0,84,0
1720296719,0,9,2,2,0,497,0,1351,0,471,0,1291,0,26,0,60,0
1720296720,0,9,2,2,0,535,0,1435,0,497,0,1351,0,38,0,84,0
1720296721,0,6,2,2,0,572,0,1529,0,535,0,1435,0,37,0,94,0
1720296722,0,6,2,2,0,611,0,1625,0,572,0,1529,0,39,0,96,0
1720296723,0,6,2,2,0,629,0,1716,0,611,0,1625,0,18,0,91,0
1720296724,0,7,2,2,0,650,0,1750,0,629,0,1716,0,21,0,34,0
1720296725,0,7,2,2,0,691,0,1850,0,650,0,1750,0,41,0,100,0
1720296726,0,4,2,2,0,733,0,1950,0,691,0,1850,0,42,0,100,0
1720296727,0,1,2,2,0,779,0,2052,0,733,0,1950,0,46,0,102,0
1720296728,0,1,2,2,0,825,0,2156,0,779,0,2052,0,46,0,104,0
1720296729,0,2,2,2,0,871,0,2262,0,825,0,2156,0,46,0,106,0
1720296730,0,1,2,2,0,921,0,2372,0,871,0,2262,0,50,0,110,0
1720296731,0,2,2,2,0,969,0,2480,0,921,0,2372,0,48,0,108,0
1720296732,0,1,2,2,0,1007,0,2564,0,969,0,2480,0,38,0,84,0
1720296733,0,1,2,2,0,1028,0,2686,0,1007,0,2564,0,21,0,122,0
1720296734,0,4,2,2,0,1028,0,2686,0,1028,0,2686,0,0,0,0,0
1720296735,0,9,2,2,0,1095,0,2843,0,1028,0,2686,0,67,0,157,0
1720296736,0,9,2,2,0,1133,0,2939,0,1095,0,2843,0,38,0,96,0
1720296737,0,8,2,2,0,1173,0,3039,0,1133,0,2939,0,40,0,100,0
1720296738,0,9,2,2,0,1202,0,3109,0,1173,0,3039,0,29,0,70,0
1720296739,0,8,2,2,0,1241,0,3209,0,1202,0,3109,0,39,0,100,0
1720296740,0,9,2,2,0,1284,0,3313,0,1241,0,3209,0,43,0,104,0
1720296741,0,9,2,2,0,1326,0,3425,0,1284,0,3313,0,42,0,112,0
1720296742,0,8,2,2,0,1348,0,3475,0,1326,0,3425,0,22,0,50,0
1720296743,0,10,2,2,0,1363,0,3536,0,1348,0,3475,0,15,0,61,0
1720296744,0,10,2,2,0,1393,0,3580,0,1363,0,3536,0,30,0,44,0
1720296745,0,9,2,2,0,1427,0,3664,0,1393,0,3580,0,34,0,84,0
1720296746,0,10,2,2,0,1465,0,3756,0,1427,0,3664,0,38,0,92,0
1720296747,0,9,2,2,0,1500,0,3842,0,1465,0,3756,0,35,0,86,0
1720296748,0,9,2,2,0,1530,0,3910,0,1500,0,3842,0,30,0,68,0
1720296749,0,9,2,2,0,1566,0,3996,0,1530,0,3910,0,36,0,86,0
1720296750,0,9,2,2,0,1606,0,4084,0,1566,0,3996,0,40,0,88,0
1720296751,0,9,2,2,0,1644,0,4176,0,1606,0,4084,0,38,0,92,0
1720296752,0,6,2,2,0,1680,0,4268,0,1644,0,4176,0,36,0,92,0
1720296753,0,6,2,2,0,1699,0,4363,0,1680,0,4268,0,19,0,95,0
1720296754,0,6,2,2,0,1721,0,4397,0,1699,0,4363,0,22,0,34,0
1720296755,0,5,2,2,0,1763,0,4515,0,1721,0,4397,0,42,0,118,0
1720296756,0,5,2,2,0,1802,0,4609,0,1763,0,4515,0,39,0,94,0
1720296757,0,5,2,2,0,1832,0,4677,0,1802,0,4609,0,30,0,68,0
1720296758,0,4,2,2,0,1870,0,4769,0,1832,0,4677,0,38,0,92,0
1720296759,0,4,2,2,0,1914,0,4869,0,1870,0,4769,0,44,0,100,0
1720296760,0,4,2,2,0,1957,0,4967,0,1914,0,4869,0,43,0,98,0
1720296761,0,3,2,2,0,1998,0,5069,0,1957,0,4967,0,41,0,102,0
1720296762,0,3,2,2,0,2043,0,5169,0,1998,0,5069,0,45,0,100,0
1720296763,0,3,2,2,0,2059,0,5256,0,2043,0,5169,0,16,0,87,0
1720296764,0,4,2,2,0,2059,0,5256,0,2059,0,5256,0,0,0,0,0
1720296765,0,4,2,2,0,2103,0,5371,0,2059,0,5256,0,44,0,115,0
1720296766,0,4,2,2,0,2146,0,5483,0,2103,0,5371,0,43,0,112,0
1720296767,0,3,2,2,0,2192,0,5591,0,2146,0,5483,0,46,0,108,0
1720296768,0,6,2,2,0,2238,0,5701,0,2192,0,5591,0,46,0,110,0
1720296769,0,6,2,2,0,2268,0,5779,0,2238,0,5701,0,30,0,78,0
1720296770,0,6,2,2,0,2313,0,5885,0,2268,0,5779,0,45,0,106,0
1720296771,0,6,2,2,0,2360,0,5999,0,2313,0,5885,0,47,0,114,0
1720296772,0,4,2,2,0,2361,0,6001,0,2360,0,5999,0,1,0,2,0
1720296773,0,3,2,2,0,2366,0,6100,0,2361,0,6001,0,5,0,99,0
1720296774,0,3,2,2,0,2405,0,6172,0,2366,0,6100,0,39,0,72,0
1720296775,0,3,2,2,0,2438,0,6252,0,2405,0,6172,0,33,0,80,0
1720296776,0,3,2,2,0,2477,0,6344,0,2438,0,6252,0,39,0,92,0
1720296777,0,3,2,2,0,2523,0,6448,0,2477,0,6344,0,46,0,104,0
1720296778,0,3,2,2,0,2572,0,6558,0,2523,0,6448,0,49,0,110,0
1720296779,0,1,2,2,0,2632,0,6698,0,2572,0,6558,0,60,0,140,0
1720296780,0,1,2,2,0,2656,0,6746,0,2632,0,6698,0,24,0,48,0
1720296781,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296782,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296783,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296784,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296785,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296786,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296787,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296788,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
1720296789,0,1,2,2,0,2656,0,6746,0,2656,0,6746,0,0,0,0,0
