"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720296430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296432,0,1,0,0,0,14,0,36,0,0,0,0,0,14,0,36,0
1720296433,0,1,0,0,0,55,0,162,0,14,0,36,0,41,0,126,0
1720296434,0,1,0,0,0,85,0,240,0,55,0,162,0,30,0,78,0
1720296435,0,2,0,0,0,123,0,344,0,85,0,240,0,38,0,104,0
1720296436,0,3,0,0,0,160,0,450,0,123,0,344,0,37,0,106,0
1720296437,0,3,0,0,0,199,0,560,0,160,0,450,0,39,0,110,0
1720296438,0,5,1,0,0,241,0,662,0,199,0,560,0,42,0,102,0
1720296439,0,5,1,0,0,271,0,740,0,241,0,662,0,30,0,78,0
1720296440,0,6,1,0,0,306,0,829,0,271,0,740,0,35,0,89,0
1720296441,0,8,1,1,0,347,0,927,0,306,0,829,0,41,0,98,0
1720296442,0,8,1,1,0,360,0,1006,0,347,0,927,0,13,0,79,0
1720296443,0,9,2,1,0,404,0,1086,0,360,0,1006,0,44,0,80,0
1720296444,0,8,2,1,0,437,0,1177,0,404,0,1086,0,33,0,91,0
1720296445,0,8,2,1,0,468,0,1251,0,437,0,1177,0,31,0,74,0
1720296446,0,8,2,1,0,503,0,1339,0,468,0,1251,0,35,0,88,0
1720296447,0,10,2,1,0,540,0,1431,0,503,0,1339,0,37,0,92,0
1720296448,0,9,2,1,0,579,0,1523,0,540,0,1431,0,39,0,92,0
1720296449,0,6,2,1,0,618,0,1621,0,579,0,1523,0,39,0,98,0
1720296450,0,6,2,1,0,643,0,1685,0,618,0,1621,0,25,0,64,0
1720296451,0,7,2,1,0,678,0,1777,0,643,0,1685,0,35,0,92,0
1720296452,0,6,2,1,0,690,0,1858,0,678,0,1777,0,12,0,81,0
1720296453,0,7,2,1,0,690,0,1858,0,690,0,1858,0,0,0,0,0
1720296454,0,4,2,1,0,751,0,1999,0,690,0,1858,0,61,0,141,0
1720296455,0,1,2,1,0,799,0,2109,0,751,0,1999,0,48,0,110,0
1720296456,0,1,2,1,0,835,0,2193,0,799,0,2109,0,36,0,84,0
1720296457,0,1,2,1,0,883,0,2303,0,835,0,2193,0,48,0,110,0
1720296458,0,1,2,1,0,931,0,2413,0,883,0,2303,0,48,0,110,0
1720296459,0,1,2,1,0,982,0,2531,0,931,0,2413,0,51,0,118,0
1720296460,0,2,2,1,0,1033,0,2649,0,982,0,2531,0,51,0,118,0
1720296461,0,1,2,1,0,1083,0,2777,0,1033,0,2649,0,50,0,128,0
1720296462,0,1,2,1,0,1116,0,2853,0,1083,0,2777,0,33,0,76,0
1720296463,0,3,2,1,0,1116,0,2853,0,1116,0,2853,0,0,0,0,0
1720296464,0,9,2,1,0,1173,0,2967,0,1116,0,2853,0,57,0,114,0
1720296465,0,8,2,1,0,1219,0,3097,0,1173,0,2967,0,46,0,130,0
1720296466,0,8,2,1,0,1265,0,3223,0,1219,0,3097,0,46,0,126,0
1720296467,0,8,2,1,0,1309,0,3343,0,1265,0,3223,0,44,0,120,0
1720296468,0,9,2,1,0,1339,0,3423,0,1309,0,3343,0,30,0,80,0
1720296469,0,9,2,1,0,1339,0,3423,0,1339,0,3423,0,0,0,0,0
1720296470,0,10,2,1,0,1386,0,3515,0,1339,0,3423,0,47,0,92,0
1720296471,0,9,2,1,0,1421,0,3605,0,1386,0,3515,0,35,0,90,0
1720296472,0,8,2,1,0,1428,0,3674,0,1421,0,3605,0,7,0,69,0
1720296473,0,10,2,1,0,1462,0,3724,0,1428,0,3674,0,34,0,50,0
1720296474,0,9,2,1,0,1497,0,3812,0,1462,0,3724,0,35,0,88,0
1720296475,0,9,2,1,0,1530,0,3900,0,1497,0,3812,0,33,0,88,0
1720296476,0,9,2,1,0,1565,0,3990,0,1530,0,3900,0,35,0,90,0
1720296477,0,9,2,1,0,1601,0,4082,0,1565,0,3990,0,36,0,92,0
1720296478,0,9,2,1,0,1626,0,4142,0,1601,0,4082,0,25,0,60,0
1720296479,0,9,2,1,0,1660,0,4230,0,1626,0,4142,0,34,0,88,0
1720296480,0,9,2,1,0,1697,0,4320,0,1660,0,4230,0,37,0,90,0
1720296481,0,6,2,1,0,1734,0,4410,0,1697,0,4320,0,37,0,90,0
1720296482,0,6,2,1,0,1745,0,4489,0,1734,0,4410,0,11,0,79,0
1720296483,0,6,2,1,0,1781,0,4557,0,1745,0,4489,0,36,0,68,0
1720296484,0,5,2,1,0,1820,0,4665,0,1781,0,4557,0,39,0,108,0
1720296485,0,5,2,1,0,1851,0,4737,0,1820,0,4665,0,31,0,72,0
1720296486,0,5,2,1,0,1889,0,4837,0,1851,0,4737,0,38,0,100,0
1720296487,0,4,2,1,0,1932,0,4935,0,1889,0,4837,0,43,0,98,0
1720296488,0,4,2,1,0,1973,0,5035,0,1932,0,4935,0,41,0,100,0
1720296489,0,3,2,1,0,2016,0,5137,0,1973,0,5035,0,43,0,102,0
1720296490,0,3,2,1,0,2047,0,5213,0,2016,0,5137,0,31,0,76,0
1720296491,0,3,2,1,0,2089,0,5311,0,2047,0,5213,0,42,0,98,0
1720296492,0,4,2,1,0,2105,0,5401,0,2089,0,5311,0,16,0,90,0
1720296493,0,4,2,1,0,2105,0,5401,0,2105,0,5401,0,0,0,0,0
1720296494,0,4,2,1,0,2158,0,5542,0,2105,0,5401,0,53,0,141,0
1720296495,0,3,2,1,0,2206,0,5660,0,2158,0,5542,0,48,0,118,0
1720296496,0,4,2,1,0,2251,0,5772,0,2206,0,5660,0,45,0,112,0
1720296497,0,6,2,1,0,2285,0,5858,0,2251,0,5772,0,34,0,86,0
