"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720296825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720296827,0,1,0,0,0,18,0,40,0,0,0,0,0,18,0,40,0
1720296828,0,1,0,0,0,23,0,68,0,18,0,40,0,5,0,28,0
1720296829,0,2,0,0,0,79,0,247,0,23,0,68,0,56,0,179,0
1720296830,0,3,0,0,0,143,0,375,0,79,0,247,0,64,0,128,0
1720296831,0,3,0,0,0,187,0,463,0,143,0,375,0,44,0,88,0
1720296832,0,4,0,0,0,246,0,579,0,187,0,463,0,59,0,116,0
1720296833,0,7,1,0,0,302,0,691,0,246,0,579,0,56,0,112,0
1720296834,0,9,1,0,0,358,0,804,0,302,0,691,0,56,0,113,0
1720296835,0,9,1,0,0,408,0,904,0,358,0,804,0,50,0,100,0
1720296836,0,9,1,1,0,466,0,1022,0,408,0,904,0,58,0,118,0
1720296837,0,11,2,1,0,520,0,1129,0,466,0,1022,0,54,0,107,0
1720296838,0,8,2,1,0,557,0,1203,0,520,0,1129,0,37,0,74,0
1720296839,0,10,2,1,0,608,0,1305,0,557,0,1203,0,51,0,102,0
1720296840,0,11,2,1,0,658,0,1405,0,608,0,1305,0,50,0,100,0
1720296841,0,11,2,1,0,711,0,1511,0,658,0,1405,0,53,0,106,0
1720296842,0,8,2,1,0,763,0,1615,0,711,0,1511,0,52,0,104,0
1720296843,0,7,2,1,0,813,0,1715,0,763,0,1615,0,50,0,100,0
1720296844,0,7,2,1,0,853,0,1795,0,813,0,1715,0,40,0,80,0
1720296845,0,7,2,1,0,907,0,1903,0,853,0,1795,0,54,0,108,0
1720296846,0,8,2,1,0,961,0,2011,0,907,0,1903,0,54,0,108,0
1720296847,0,3,2,1,0,971,0,2080,0,961,0,2011,0,10,0,69,0
1720296848,0,2,2,1,0,1010,0,2173,0,971,0,2080,0,39,0,93,0
1720296849,0,2,2,1,0,1073,0,2299,0,1010,0,2173,0,63,0,126,0
1720296850,0,1,2,1,0,1136,0,2425,0,1073,0,2299,0,63,0,126,0
1720296851,0,1,2,1,0,1186,0,2525,0,1136,0,2425,0,50,0,100,0
1720296852,0,2,2,1,0,1250,0,2653,0,1186,0,2525,0,64,0,128,0
1720296853,0,1,2,1,0,1314,0,2781,0,1250,0,2653,0,64,0,128,0
1720296854,0,1,2,1,0,1378,0,2909,0,1314,0,2781,0,64,0,128,0
1720296855,0,10,2,1,0,1440,0,3031,0,1378,0,2909,0,62,0,122,0
1720296856,0,10,2,1,0,1504,0,3159,0,1440,0,3031,0,64,0,128,0
1720296857,0,10,2,1,0,1555,0,3257,0,1504,0,3159,0,51,0,98,0
1720296858,0,10,2,1,0,1601,0,3349,0,1555,0,3257,0,46,0,92,0
1720296859,0,10,2,1,0,1663,0,3473,0,1601,0,3349,0,62,0,124,0
1720296860,0,10,2,1,0,1725,0,3597,0,1663,0,3473,0,62,0,124,0
1720296861,0,10,2,1,0,1768,0,3679,0,1725,0,3597,0,43,0,82,0
1720296862,0,10,2,1,0,1786,0,3699,0,1768,0,3679,0,18,0,20,0
1720296863,0,11,2,1,0,1836,0,3805,0,1786,0,3699,0,50,0,106,0
1720296864,0,11,2,1,0,1873,0,3879,0,1836,0,3805,0,37,0,74,0
1720296865,0,10,2,1,0,1923,0,3979,0,1873,0,3879,0,50,0,100,0
1720296866,0,10,2,1,0,1973,0,4081,0,1923,0,3979,0,50,0,102,0
1720296867,0,11,2,1,0,1980,0,4144,0,1973,0,4081,0,7,0,63,0
1720296868,0,11,2,1,0,2037,0,4236,0,1980,0,4144,0,57,0,92,0
