"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720367326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720367327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720367329,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720367330,0,0,0,0,0,14,0,145,0,0,0,2,0,14,0,143,0
1720367331,0,5,0,0,0,56,0,285,0,14,0,145,0,42,0,140,0
1720367332,0,2,0,0,0,97,0,395,0,56,0,285,0,41,0,110,0
1720367333,0,3,0,0,0,124,0,471,0,97,0,395,0,27,0,76,0
1720367334,0,4,0,0,0,159,0,565,0,124,0,471,0,35,0,94,0
1720367335,0,6,1,0,0,197,0,665,0,159,0,565,0,38,0,100,0
1720367336,0,8,1,0,0,238,0,768,0,197,0,665,0,41,0,103,0
1720367337,0,8,1,2,0,254,0,814,0,238,0,768,0,16,0,46,0
1720367338,0,8,2,2,0,259,0,852,0,254,0,814,0,5,0,38,0
1720367339,0,10,2,2,0,294,0,957,0,259,0,852,0,35,0,105,0
1720367340,0,8,2,2,0,318,0,1021,0,294,0,957,0,24,0,64,0
1720367341,0,8,2,2,0,354,0,1117,0,318,0,1021,0,36,0,96,0
1720367342,0,10,2,2,0,388,0,1209,0,354,0,1117,0,34,0,92,0
1720367343,0,10,2,2,0,422,0,1301,0,388,0,1209,0,34,0,92,0
1720367344,0,9,2,2,0,453,0,1393,0,422,0,1301,0,31,0,92,0
1720367345,0,7,2,2,0,481,0,1461,0,453,0,1393,0,28,0,68,0
1720367346,0,7,2,2,0,515,0,1559,0,481,0,1461,0,34,0,98,0
1720367347,0,6,2,2,0,548,0,1679,0,515,0,1559,0,33,0,120,0
1720367348,0,7,2,2,0,551,0,1714,0,548,0,1679,0,3,0,35,0
1720367349,0,7,2,2,0,595,0,1810,0,551,0,1714,0,44,0,96,0
1720367350,0,4,2,2,0,631,0,1914,0,595,0,1810,0,36,0,104,0
1720367351,0,1,2,2,0,659,0,1994,0,631,0,1914,0,28,0,80,0
1720367352,0,2,2,2,0,701,0,2102,0,659,0,1994,0,42,0,108,0
