time,id
1720367326.698448000,1848
1720367326.698449000,1849
1720367326.713521000,1851
1720367326.713522000,1852
1720367326.729112000,1854
1720367326.729113000,1855
1720367326.745308000,1857
1720367326.745310000,1858
1720367326.760743000,1860
1720367326.760744000,1861
1720367326.777333000,1863
1720367326.777334000,1864
1720367326.792657000,1866
1720367326.792658000,1867
1720367326.821436000,1869
1720367326.821437000,1870
1720367326.837343000,1872
1720367326.837345000,1873
1720367326.837346000,1875
1720367326.837347000,1877
1720367326.837400000,1880
1720367326.839083000,1883
1720367326.839138000,1886
1720367326.839324000,1902
1720367326.839346000,1904
1720367326.841122000,1914
1720367326.841224000,1922
1720367326.859344000,1931
1720367326.859345000,1932
1720367326.880091000,1934
1720367326.880092000,1935
1720367326.902459000,1937
1720367326.902460000,1938
1720367326.925988000,1940
1720367326.925991000,1941
1720367326.941820000,1943
1720367326.941822000,1944
1720367326.957135000,1946
1720367326.957137000,1947
1720367326.973004000,1949
1720367326.973005000,1950
1720367326.988963000,1952
1720367326.988965000,1953
1720367327.004914000,1955
1720367327.004915000,1956
1720367327.020888000,1958
1720367327.020890000,1959
1720367327.036938000,1961
1720367327.036940000,1962
1720367327.053465000,1964
1720367327.053467000,1965
1720367327.053469000,1967
1720367327.053570000,1969
1720367327.053572000,1970
1720367327.053573000,1971
1720367327.053608000,1973
1720367327.054160000,1974
1720367327.054205000,1976
1720367327.054207000,1977
1720367327.054272000,1979
1720367327.054274000,1980
1720367327.054299000,1982
1720367327.054301000,1983
1720367327.054335000,1985
1720367327.054336000,1986
1720367327.054374000,1987
1720367327.054419000,1989
1720367327.054420000,1990
1720367327.054462000,1992
1720367327.054478000,1993
1720367327.054538000,1995
1720367327.054539000,1996
1720367327.054584000,1998
1720367327.054585000,1999
1720367327.054612000,2001
1720367327.054638000,2003
1720367327.055239000,2006
1720367327.055266000,2009
1720367327.055296000,2011
1720367327.056476000,2014
1720367327.071559000,2023
1720367327.071561000,2024
1720367327.093402000,2025
1720367327.093404000,2026
1720367327.112549000,2027
1720367327.112550000,2028
1720367327.133880000,2029
1720367327.133881000,2030
1720367327.155219000,2031
1720367327.155221000,2032
1720367327.176082000,2033
1720367327.176083000,2034
1720367327.198516000,2035
1720367327.199004000,2036
1720367327.214592000,2037
1720367327.214593000,2038
1720367327.230174000,2039
1720367327.230175000,2040
1720367327.245270000,2041
1720367327.245272000,2042
1720367327.266417000,2043
1720367327.266418000,2044
1720367327.289758000,2045
1720367327.289759000,2046
1720367327.289760000,2048
1720367327.289818000,2049
1720367327.289819000,2051
1720367327.289819000,2052
1720367327.290397000,2054
1720367327.290397000,2055
1720367327.290426000,2056
1720367327.290428000,2057
1720367327.290443000,2059
1720367327.290463000,2060
1720367327.290474000,2061
1720367327.290519000,2062
1720367327.290520000,2063
1720367327.290566000,2064
1720367327.290567000,2065
1720367327.290593000,2066
1720367327.290593000,2067
1720367327.290647000,2068
1720367327.290648000,2069
1720367327.290666000,2070
1720367327.290667000,2071
1720367327.290683000,2072
1720367327.290722000,2074
1720367327.290722000,2075
1720367327.290747000,2076
1720367327.290782000,2077
1720367327.291353000,2078
1720367327.291384000,2079
1720367327.291385000,2080
1720367327.291435000,2081
1720367327.291436000,2082
1720367327.291461000,2083
1720367327.291473000,2085
1720367327.291515000,2086
1720367327.291526000,2087
1720367327.291536000,2088
1720367327.291575000,2089
1720367327.291575000,2090
1720367327.291606000,2091
1720367327.291606000,2092
1720367327.291640000,2093
1720367327.291641000,2094
1720367327.291672000,2095
1720367327.291673000,2096
1720367327.291719000,2097
1720367327.291720000,2098
1720367327.291770000,2099
1720367327.291781000,2101
1720367327.291800000,2102
1720367327.292372000,2103
1720367327.312376000,2104
1720367327.312377000,2105
1720367327.333643000,2106
1720367327.333643000,2107
1720367327.353669000,2108
1720367327.353670000,2109
1720367327.369306000,2110
1720367327.369307000,2111
1720367327.383786000,2112
1720367327.383787000,2113
1720367327.398931000,2114
1720367327.398932000,2115
1720367327.414595000,2116
1720367327.414596000,2117
1720367327.430154000,2118
1720367327.430155000,2119
1720367327.446320000,2120
1720367327.446321000,2121
1720367327.461326000,2122
1720367327.461327000,2123
1720367327.476870000,2124
1720367327.476871000,2125
1720367327.494624000,2126
1720367327.494625000,2127
1720367327.494683000,2129
1720367327.495213000,2133
1720367327.495276000,2138
1720367327.495354000,2144
1720367327.495384000,2146
1720367327.495415000,2148
1720367327.495446000,2151
1720367327.495494000,2154
1720367327.495548000,2158
1720367327.495596000,2161
1720367327.495610000,2163
1720367327.495669000,2166
1720367327.495679000,2168
1720367327.496293000,2171
1720367327.496344000,2175
1720367327.496357000,2177
1720367327.496418000,2180
1720367327.496447000,2182
1720367327.510989000,2185
1720367327.510990000,2186
1720367327.526556000,2187
1720367327.526557000,2188
1720367327.542092000,2189
1720367327.542092000,2190
1720367327.557644000,2191
1720367327.557645000,2192
1720367327.572646000,2193
1720367327.572646000,2194
1720367327.587652000,2195
1720367327.603211000,2196
1720367327.603212000,2197
1720367327.618233000,2198
1720367327.633819000,2199
1720367327.649345000,2200
1720367327.665029000,2201
1720367327.682113000,2202
1720367327.682115000,2203
1720367327.682116000,2205
1720367327.682176000,2207
1720367327.682178000,2210
1720367327.682218000,2214
1720367327.682258000,2217
1720367327.682313000,2220
1720367327.682344000,2223
1720367327.682358000,2225
1720367327.682379000,2227
1720367327.682405000,2229
1720367327.682438000,2231
1720367327.682505000,2234
1720367327.682529000,2236
1720367327.682556000,2238
1720367327.682597000,2241
1720367327.682619000,2243
1720367327.683199000,2244
1720367327.683230000,2246
1720367327.683231000,2247
1720367327.683249000,2248
1720367327.683272000,2250
1720367327.683294000,2251
1720367327.683338000,2253
1720367327.683350000,2254
1720367327.683385000,2256
1720367327.683386000,2257
1720367327.683418000,2259
1720367327.683418000,2260
1720367327.697360000,2261
1720367327.697361000,2262
1720367327.712932000,2263
1720367327.727889000,2264
1720367327.743165000,2265
1720367327.757405000,2266
1720367327.772727000,2267
1720367327.787037000,2268
1720367327.802556000,2269
1720367327.817333000,2270
1720367327.832630000,2271
1720367327.847382000,2272
1720367327.864890000,2273
1720367327.864891000,2274
1720367327.864893000,2276
1720367327.864960000,2279
1720367327.864961000,2280
1720367327.864970000,2282
1720367327.865001000,2283
1720367327.865002000,2285
1720367327.865020000,2286
1720367327.865588000,2288
1720367327.865656000,2289
1720367327.865705000,2291
1720367327.865706000,2292
1720367327.865711000,2294
1720367327.865739000,2295
1720367327.865740000,2296
1720367327.865768000,2298
1720367327.865797000,2299
1720367327.865798000,2301
1720367327.865826000,2302
1720367327.865850000,2304
1720367327.865866000,2305
1720367327.865891000,2307
1720367327.865924000,2309
1720367327.865936000,2310
1720367327.865960000,2312
1720367327.865973000,2313
1720367327.866001000,2315
1720367327.866014000,2316
1720367327.866604000,2318
1720367327.866605000,2319
1720367327.866641000,2321
1720367327.866686000,2324
1720367327.866721000,2327
1720367327.866768000,2331
1720367327.880500000,2332
1720367327.900171000,2333
1720367327.916574000,2334
1720367327.930776000,2335
1720367327.945549000,2336
1720367327.959755000,2337
1720367327.959756000,2338
1720367327.973976000,2339
1720367327.973977000,2340
1720367327.988757000,2341
1720367327.988758000,2342
1720367328.002982000,2344
1720367328.002983000,2345
1720367328.017753000,2347
1720367328.017754000,2348
1720367328.031968000,2350
1720367328.031969000,2351
1720367328.049557000,2353
1720367328.049564000,2354
1720367328.049595000,2356
1720367328.050125000,2360
1720367328.050183000,2365
1720367328.050252000,2371
1720367328.050305000,2375
1720367328.050376000,2380
1720367328.050979000,2382
1720367328.050979000,2383
1720367328.050995000,2385
1720367328.051020000,2388
1720367328.052147000,2389
1720367328.052155000,2390
1720367328.052180000,2392
1720367328.052189000,2393
1720367328.052789000,2394
1720367328.052790000,2395
1720367328.052793000,2397
1720367328.052836000,2399
1720367328.052851000,2401
1720367328.052895000,2404
1720367328.052944000,2407
1720367328.066734000,2411
1720367328.066735000,2412
1720367328.081540000,2414
1720367328.081541000,2415
1720367328.096521000,2417
1720367328.096522000,2418
1720367328.111020000,2420
1720367328.111021000,2421
1720367328.126014000,2423
1720367328.126016000,2424
1720367328.141611000,2426
1720367328.141612000,2427
1720367328.157018000,2429
1720367328.157020000,2430
1720367328.172414000,2432
1720367328.172416000,2433
1720367328.187351000,2435
1720367328.187353000,2436
1720367328.202912000,2438
1720367328.202913000,2439
1720367328.218400000,2441
1720367328.218401000,2442
1720367328.235533000,2444
1720367328.235535000,2445
1720367328.235536000,2447
1720367328.235560000,2449
1720367328.235576000,2452
1720367328.235650000,2455
1720367328.235673000,2457
1720367328.236268000,2459
1720367328.236289000,2462
1720367328.236317000,2464
1720367328.236357000,2467
1720367328.236382000,2469
1720367328.236438000,2472
1720367328.236472000,2474
1720367328.236534000,2477
1720367328.236564000,2479
1720367328.236589000,2481
1720367328.236659000,2484
1720367328.236668000,2486
1720367328.236700000,2488
1720367328.236727000,2490
1720367328.236775000,2493
1720367328.236795000,2495
1720367328.236848000,2498
1720367328.236874000,2500
1720367328.236907000,2502
1720367328.253091000,2503
1720367328.253093000,2504
1720367328.253094000,2506
1720367328.253138000,2509
1720367328.253188000,2513
1720367328.253209000,2515
1720367328.253247000,2518
1720367328.275476000,2520
1720367328.275477000,2521
1720367328.275478000,2523
1720367328.276063000,2524
1720367328.276064000,2525
1720367328.276089000,2527
1720367328.276089000,2528
1720367328.276129000,2529
1720367328.276139000,2530
1720367328.276140000,2532
1720367328.276168000,2533
1720367328.276233000,2535
1720367328.276234000,2536
1720367328.276258000,2538
1720367328.299057000,2539
1720367328.299058000,2540
1720367328.299060000,2542
1720367328.299667000,2546
1720367328.299714000,2550
1720367328.299743000,2553
1720367328.299808000,2557
