"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720365509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720365510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720365511,0,1,0,0,0,7,0,66,0,0,0,0,0,7,0,66,0
1720365512,0,2,0,0,0,31,0,204,0,7,0,66,0,24,0,138,0
1720365513,0,2,0,0,0,70,0,318,0,31,0,204,0,39,0,114,0
1720365514,0,3,0,0,0,98,0,398,0,70,0,318,0,28,0,80,0
1720365515,0,3,0,0,0,138,0,502,0,98,0,398,0,40,0,104,0
1720365516,0,4,0,0,0,173,0,600,0,138,0,502,0,35,0,98,0
1720365517,0,6,1,0,0,209,0,702,0,173,0,600,0,36,0,102,0
1720365518,0,7,1,0,0,247,0,801,0,209,0,702,0,38,0,99,0
1720365519,0,8,1,0,0,281,0,895,0,247,0,801,0,34,0,94,0
1720365520,0,7,1,1,0,310,0,1014,0,281,0,895,0,29,0,119,0
1720365521,0,9,2,1,0,330,0,1046,0,310,0,1014,0,20,0,32,0
1720365522,0,9,2,1,0,358,0,1123,0,330,0,1046,0,28,0,77,0
1720365523,0,7,2,1,0,392,0,1213,0,358,0,1123,0,34,0,90,0
1720365524,0,9,2,1,0,427,0,1307,0,392,0,1213,0,35,0,94,0
1720365525,0,10,2,1,0,458,0,1397,0,427,0,1307,0,31,0,90,0
1720365526,0,10,2,1,0,482,0,1461,0,458,0,1397,0,24,0,64,0
1720365527,0,8,2,1,0,514,0,1551,0,482,0,1461,0,32,0,90,0
1720365528,0,4,2,1,0,552,0,1643,0,514,0,1551,0,38,0,92,0
1720365529,0,6,2,1,0,583,0,1729,0,552,0,1643,0,31,0,86,0
1720365530,0,6,2,1,0,602,0,1826,0,583,0,1729,0,19,0,97,0
1720365531,0,6,2,1,0,602,0,1826,0,602,0,1826,0,0,0,0,0
1720365532,0,7,2,1,0,634,0,1840,0,602,0,1826,0,32,0,14,0
1720365533,0,7,2,1,0,669,0,2005,0,634,0,1840,0,35,0,165,0
1720365534,0,2,2,1,0,710,0,2117,0,669,0,2005,0,41,0,112,0
1720365535,0,2,2,1,0,755,0,2231,0,710,0,2117,0,45,0,114,0
1720365536,0,1,2,1,0,800,0,2347,0,755,0,2231,0,45,0,116,0
1720365537,0,1,2,1,0,831,0,2433,0,800,0,2347,0,31,0,86,0
