"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720365658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720365659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720365660,0,1,0,0,0,10,0,22,0,0,0,0,0,10,0,22,0
1720365661,0,1,0,0,0,38,0,124,0,10,0,22,0,28,0,102,0
1720365662,0,1,0,0,0,41,0,169,0,38,0,124,0,3,0,45,0
1720365663,0,2,0,0,0,100,0,319,0,41,0,169,0,59,0,150,0
1720365664,0,2,0,0,0,145,0,409,0,100,0,319,0,45,0,90,0
1720365665,0,3,0,0,0,201,0,521,0,145,0,409,0,56,0,112,0
1720365666,0,4,0,0,0,255,0,629,0,201,0,521,0,54,0,108,0
1720365667,0,6,1,0,0,310,0,737,0,255,0,629,0,55,0,108,0
1720365668,0,8,1,0,0,362,0,842,0,310,0,737,0,52,0,105,0
1720365669,0,8,1,2,0,406,0,930,0,362,0,842,0,44,0,88,0
1720365670,0,8,2,2,0,406,0,930,0,406,0,930,0,0,0,0,0
1720365671,0,10,2,2,0,436,0,1023,0,406,0,930,0,30,0,93,0
1720365672,0,10,2,2,0,487,0,1125,0,436,0,1023,0,51,0,102,0
1720365673,0,9,2,2,0,538,0,1227,0,487,0,1125,0,51,0,102,0
1720365674,0,12,2,2,0,590,0,1331,0,538,0,1227,0,52,0,104,0
1720365675,0,11,2,2,0,641,0,1433,0,590,0,1331,0,51,0,102,0
1720365676,0,9,2,2,0,682,0,1515,0,641,0,1433,0,41,0,82,0
1720365677,0,8,2,2,0,737,0,1625,0,682,0,1515,0,55,0,110,0
1720365678,0,8,2,2,0,793,0,1737,0,737,0,1625,0,56,0,112,0
1720365679,0,7,2,2,0,847,0,1845,0,793,0,1737,0,54,0,108,0
1720365680,0,7,2,2,0,865,0,1932,0,847,0,1845,0,18,0,87,0
1720365681,0,5,2,2,0,923,0,2036,0,865,0,1932,0,58,0,104,0
1720365682,0,2,2,2,0,969,0,2130,0,923,0,2036,0,46,0,94,0
1720365683,0,2,2,2,0,1035,0,2262,0,969,0,2130,0,66,0,132,0
1720365684,0,1,2,2,0,1103,0,2398,0,1035,0,2262,0,68,0,136,0
1720365685,0,2,2,2,0,1166,0,2524,0,1103,0,2398,0,63,0,126,0
1720365686,0,2,2,2,0,1233,0,2658,0,1166,0,2524,0,67,0,134,0
