"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720366252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720366253,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720366254,0,1,0,0,0,28,0,94,0,0,0,2,0,28,0,92,0
1720366255,0,1,0,0,0,35,0,126,0,28,0,94,0,7,0,32,0
1720366256,0,2,0,0,0,77,0,285,0,35,0,126,0,42,0,159,0
1720366257,0,2,0,0,0,122,0,375,0,77,0,285,0,45,0,90,0
1720366258,0,3,0,0,0,180,0,491,0,122,0,375,0,58,0,116,0
1720366259,0,4,0,0,0,239,0,609,0,180,0,491,0,59,0,118,0
1720366260,0,6,1,0,0,292,0,713,0,239,0,609,0,53,0,104,0
1720366261,0,8,1,0,0,345,0,820,0,292,0,713,0,53,0,107,0
1720366262,0,10,1,0,0,399,0,928,0,345,0,820,0,54,0,108,0
1720366263,0,8,2,1,0,444,0,1062,0,399,0,928,0,45,0,134,0
1720366264,0,10,2,1,0,468,0,1094,0,444,0,1062,0,24,0,32,0
1720366265,0,9,2,1,0,518,0,1193,0,468,0,1094,0,50,0,99,0
1720366266,0,10,2,1,0,569,0,1295,0,518,0,1193,0,51,0,102,0
1720366267,0,11,2,1,0,619,0,1395,0,569,0,1295,0,50,0,100,0
1720366268,0,11,2,1,0,672,0,1501,0,619,0,1395,0,53,0,106,0
1720366269,0,9,2,1,0,722,0,1601,0,672,0,1501,0,50,0,100,0
1720366270,0,7,2,1,0,779,0,1715,0,722,0,1601,0,57,0,114,0
1720366271,0,8,2,1,0,818,0,1793,0,779,0,1715,0,39,0,78,0
1720366272,0,7,2,1,0,872,0,1901,0,818,0,1793,0,54,0,108,0
1720366273,0,7,2,1,0,906,0,2029,0,872,0,1901,0,34,0,128,0
1720366274,0,5,2,1,0,906,0,2029,0,906,0,2029,0,0,0,0,0
1720366275,0,2,2,1,0,971,0,2174,0,906,0,2029,0,65,0,145,0
1720366276,0,2,2,1,0,1036,0,2306,0,971,0,2174,0,65,0,132,0
1720366277,0,1,2,1,0,1098,0,2430,0,1036,0,2306,0,62,0,124,0
1720366278,0,2,2,1,0,1145,0,2524,0,1098,0,2430,0,47,0,94,0
1720366279,0,2,2,1,0,1207,0,2646,0,1145,0,2524,0,62,0,122,0
1720366280,0,1,2,1,0,1269,0,2772,0,1207,0,2646,0,62,0,126,0
1720366281,0,3,2,1,0,1331,0,2896,0,1269,0,2772,0,62,0,124,0
1720366282,0,9,2,1,0,1393,0,3018,0,1331,0,2896,0,62,0,122,0
1720366283,0,10,2,1,0,1456,0,3144,0,1393,0,3018,0,63,0,126,0
1720366284,0,10,2,1,0,1499,0,3220,0,1456,0,3144,0,43,0,76,0
1720366285,0,10,2,1,0,1560,0,3342,0,1499,0,3220,0,61,0,122,0
1720366286,0,10,2,1,0,1605,0,3432,0,1560,0,3342,0,45,0,90,0
1720366287,0,11,2,1,0,1666,0,3554,0,1605,0,3432,0,61,0,122,0
1720366288,0,10,2,1,0,1727,0,3676,0,1666,0,3554,0,61,0,122,0
1720366289,0,10,2,1,0,1761,0,3740,0,1727,0,3676,0,34,0,64,0
1720366290,0,10,2,1,0,1781,0,3772,0,1761,0,3740,0,20,0,32,0
1720366291,0,10,2,1,0,1831,0,3870,0,1781,0,3772,0,50,0,98,0
1720366292,0,11,2,1,0,1881,0,3970,0,1831,0,3870,0,50,0,100,0
1720366293,0,10,2,1,0,1911,0,4079,0,1881,0,3970,0,30,0,109,0
1720366294,0,10,2,1,0,1937,0,4111,0,1911,0,4079,0,26,0,32,0
1720366295,0,10,2,1,0,1981,0,4197,0,1937,0,4111,0,44,0,86,0
1720366296,0,10,2,1,0,2030,0,4295,0,1981,0,4197,0,49,0,98,0
1720366297,0,7,2,1,0,2085,0,4405,0,2030,0,4295,0,55,0,110,0
1720366298,0,6,2,1,0,2140,0,4515,0,2085,0,4405,0,55,0,110,0
1720366299,0,6,2,1,0,2195,0,4625,0,2140,0,4515,0,55,0,110,0
1720366300,0,6,2,1,0,2238,0,4711,0,2195,0,4625,0,43,0,86,0
1720366301,0,6,2,1,0,2293,0,4821,0,2238,0,4711,0,55,0,110,0
1720366302,0,5,2,1,0,2353,0,4941,0,2293,0,4821,0,60,0,120,0
1720366303,0,4,2,1,0,2384,0,5064,0,2353,0,4941,0,31,0,123,0
1720366304,0,4,2,1,0,2416,0,5100,0,2384,0,5064,0,32,0,36,0
1720366305,0,4,2,1,0,2475,0,5236,0,2416,0,5100,0,59,0,136,0
1720366306,0,4,2,1,0,2534,0,5354,0,2475,0,5236,0,59,0,118,0
1720366307,0,5,2,1,0,2578,0,5442,0,2534,0,5354,0,44,0,88,0
1720366308,0,5,2,1,0,2638,0,5562,0,2578,0,5442,0,60,0,120,0
1720366309,0,4,2,1,0,2698,0,5682,0,2638,0,5562,0,60,0,120,0
1720366310,0,6,2,1,0,2756,0,5800,0,2698,0,5682,0,58,0,118,0
1720366311,0,8,2,1,0,2810,0,5906,0,2756,0,5800,0,54,0,106,0
1720366312,0,8,2,1,0,2863,0,6012,0,2810,0,5906,0,53,0,106,0
1720366313,0,6,2,1,0,2919,0,6158,0,2863,0,6012,0,56,0,146,0
1720366314,0,3,2,1,0,2947,0,6218,0,2919,0,6158,0,28,0,60,0
1720366315,0,3,2,1,0,2995,0,6314,0,2947,0,6218,0,48,0,96,0
1720366316,0,4,2,1,0,3059,0,6440,0,2995,0,6314,0,64,0,126,0
1720366317,0,4,2,1,0,3120,0,6564,0,3059,0,6440,0,61,0,124,0
1720366318,0,4,2,1,0,3181,0,6686,0,3120,0,6564,0,61,0,122,0
1720366319,0,1,2,1,0,3243,0,6810,0,3181,0,6686,0,62,0,124,0
1720366320,0,1,2,1,0,3302,0,6928,0,3243,0,6810,0,59,0,118,0
1720366321,0,1,2,1,0,3324,0,6972,0,3302,0,6928,0,22,0,44,0
1720366322,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366323,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366324,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366325,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366326,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366327,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366328,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366329,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
1720366330,0,1,2,1,0,3324,0,6972,0,3324,0,6972,0,0,0,0,0
