"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720366350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720366351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720366352,0,1,0,0,0,10,0,18,0,0,0,0,0,10,0,18,0
1720366353,0,1,0,0,0,30,0,100,0,10,0,18,0,20,0,82,0
1720366354,0,1,0,0,0,67,0,212,0,30,0,100,0,37,0,112,0
1720366355,0,2,0,0,0,106,0,320,0,67,0,212,0,39,0,108,0
1720366356,0,2,0,0,0,144,0,430,0,106,0,320,0,38,0,110,0
1720366357,0,3,0,0,0,180,0,538,0,144,0,430,0,36,0,108,0
1720366358,0,4,0,0,0,210,0,620,0,180,0,538,0,30,0,82,0
1720366359,0,5,1,0,0,247,0,722,0,210,0,620,0,37,0,102,0
1720366360,0,6,1,0,0,284,0,817,0,247,0,722,0,37,0,95,0
1720366361,0,7,1,0,0,316,0,909,0,284,0,817,0,32,0,92,0
1720366362,0,8,1,2,0,317,0,911,0,316,0,909,0,1,0,2,0
1720366363,0,8,2,2,0,336,0,1003,0,317,0,911,0,19,0,92,0
1720366364,0,10,2,2,0,362,0,1072,0,336,0,1003,0,26,0,69,0
1720366365,0,8,2,2,0,397,0,1158,0,362,0,1072,0,35,0,86,0
1720366366,0,8,2,2,0,432,0,1250,0,397,0,1158,0,35,0,92,0
1720366367,0,10,2,2,0,465,0,1336,0,432,0,1250,0,33,0,86,0
1720366368,0,10,2,2,0,498,0,1426,0,465,0,1336,0,33,0,90,0
1720366369,0,9,2,2,0,531,0,1518,0,498,0,1426,0,33,0,92,0
1720366370,0,7,2,2,0,557,0,1588,0,531,0,1518,0,26,0,70,0
1720366371,0,7,2,2,0,591,0,1684,0,557,0,1588,0,34,0,96,0
1720366372,0,6,2,2,0,609,0,1785,0,591,0,1684,0,18,0,101,0
