"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720289210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720289211,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720289212,0,1,0,0,0,30,0,72,0,0,0,2,0,30,0,70,0
1720289213,0,1,0,0,0,79,0,184,0,30,0,72,0,49,0,112,0
1720289214,0,2,0,0,0,121,0,294,0,79,0,184,0,42,0,110,0
1720289215,0,2,0,0,0,168,0,408,0,121,0,294,0,47,0,114,0
1720289216,0,3,0,0,0,209,0,516,0,168,0,408,0,41,0,108,0
1720289217,0,4,0,0,0,250,0,620,0,209,0,516,0,41,0,104,0
1720289218,0,5,1,0,0,294,0,722,0,250,0,620,0,44,0,102,0
1720289219,0,6,1,0,0,323,0,793,0,294,0,722,0,29,0,71,0
1720289220,0,8,1,0,0,359,0,883,0,323,0,793,0,36,0,90,0
1720289221,0,8,1,2,0,377,0,921,0,359,0,883,0,18,0,38,0
1720289222,0,8,2,2,0,386,0,975,0,377,0,921,0,9,0,54,0
1720289223,0,10,2,2,0,424,0,1076,0,386,0,975,0,38,0,101,0
1720289224,0,7,2,2,0,463,0,1162,0,424,0,1076,0,39,0,86,0
1720289225,0,9,2,2,0,490,0,1232,0,463,0,1162,0,27,0,70,0
1720289226,0,10,2,2,0,526,0,1324,0,490,0,1232,0,36,0,92,0
1720289227,0,10,2,2,0,560,0,1414,0,526,0,1324,0,34,0,90,0
1720289228,0,8,2,2,0,596,0,1502,0,560,0,1414,0,36,0,88,0
1720289229,0,6,2,2,0,633,0,1596,0,596,0,1502,0,37,0,94,0
1720289230,0,7,2,2,0,672,0,1688,0,633,0,1596,0,39,0,92,0
1720289231,0,6,2,2,0,696,0,1799,0,672,0,1688,0,24,0,111,0
1720289232,0,7,2,2,0,711,0,1803,0,696,0,1799,0,15,0,4,0
1720289233,0,7,2,2,0,747,0,1911,0,711,0,1803,0,36,0,108,0
1720289234,0,4,2,2,0,789,0,2015,0,747,0,1911,0,42,0,104,0
1720289235,0,2,2,2,0,835,0,2121,0,789,0,2015,0,46,0,106,0
1720289236,0,2,2,2,0,884,0,2235,0,835,0,2121,0,49,0,114,0
1720289237,0,1,2,2,0,915,0,2317,0,884,0,2235,0,31,0,82,0
1720289238,0,1,2,2,0,964,0,2425,0,915,0,2317,0,49,0,108,0
1720289239,0,2,2,2,0,1014,0,2537,0,964,0,2425,0,50,0,112,0
1720289240,0,1,2,2,0,1067,0,2659,0,1014,0,2537,0,53,0,122,0
1720289241,0,1,2,2,0,1106,0,2811,0,1067,0,2659,0,39,0,152,0
1720289242,0,6,2,2,0,1106,0,2811,0,1106,0,2811,0,0,0,0,0
1720289243,0,9,2,2,0,1154,0,2930,0,1106,0,2811,0,48,0,119,0
1720289244,0,9,2,2,0,1196,0,3032,0,1154,0,2930,0,42,0,102,0
1720289245,0,8,2,2,0,1231,0,3128,0,1196,0,3032,0,35,0,96,0
1720289246,0,9,2,2,0,1272,0,3226,0,1231,0,3128,0,41,0,98,0
1720289247,0,8,2,2,0,1302,0,3302,0,1272,0,3226,0,30,0,76,0
1720289248,0,9,2,2,0,1342,0,3408,0,1302,0,3302,0,40,0,106,0
1720289249,0,8,2,2,0,1385,0,3510,0,1342,0,3408,0,43,0,102,0
1720289250,0,9,2,2,0,1427,0,3610,0,1385,0,3510,0,42,0,100,0
1720289251,0,10,2,2,0,1434,0,3667,0,1427,0,3610,0,7,0,57,0
1720289252,0,10,2,2,0,1459,0,3699,0,1434,0,3667,0,25,0,32,0
1720289253,0,9,2,2,0,1490,0,3765,0,1459,0,3699,0,31,0,66,0
1720289254,0,10,2,2,0,1523,0,3853,0,1490,0,3765,0,33,0,88,0
1720289255,0,9,2,2,0,1563,0,3947,0,1523,0,3853,0,40,0,94,0
1720289256,0,10,2,2,0,1599,0,4035,0,1563,0,3947,0,36,0,88,0
1720289257,0,10,2,2,0,1625,0,4099,0,1599,0,4035,0,26,0,64,0
1720289258,0,9,2,2,0,1662,0,4189,0,1625,0,4099,0,37,0,90,0
1720289259,0,7,2,2,0,1697,0,4275,0,1662,0,4189,0,35,0,86,0
1720289260,0,6,2,2,0,1736,0,4367,0,1697,0,4275,0,39,0,92,0
1720289261,0,6,2,2,0,1767,0,4490,0,1736,0,4367,0,31,0,123,0
1720289262,0,6,2,2,0,1787,0,4502,0,1767,0,4490,0,20,0,12,0
1720289263,0,6,2,2,0,1821,0,4600,0,1787,0,4502,0,34,0,98,0
1720289264,0,5,2,2,0,1860,0,4700,0,1821,0,4600,0,39,0,100,0
1720289265,0,5,2,2,0,1901,0,4804,0,1860,0,4700,0,41,0,104,0
1720289266,0,5,2,2,0,1944,0,4906,0,1901,0,4804,0,43,0,102,0
1720289267,0,4,2,2,0,1985,0,5008,0,1944,0,4906,0,41,0,102,0
1720289268,0,3,2,2,0,2023,0,5108,0,1985,0,5008,0,38,0,100,0
1720289269,0,3,2,2,0,2056,0,5186,0,2023,0,5108,0,33,0,78,0
1720289270,0,3,2,2,0,2097,0,5288,0,2056,0,5186,0,41,0,102,0
1720289271,0,4,2,2,0,2124,0,5418,0,2097,0,5288,0,27,0,130,0
1720289272,0,4,2,2,0,2124,0,5418,0,2124,0,5418,0,0,0,0,0
1720289273,0,4,2,2,0,2172,0,5529,0,2124,0,5418,0,48,0,111,0
