"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720289369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720289370,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720289371,0,1,0,0,0,26,0,68,0,0,0,2,0,26,0,66,0
1720289372,0,1,0,0,0,79,0,186,0,26,0,68,0,53,0,118,0
1720289373,0,2,0,0,0,131,0,306,0,79,0,186,0,52,0,120,0
1720289374,0,2,0,0,0,176,0,412,0,131,0,306,0,45,0,106,0
1720289375,0,3,0,0,0,223,0,518,0,176,0,412,0,47,0,106,0
1720289376,0,3,0,0,0,255,0,598,0,223,0,518,0,32,0,80,0
1720289377,0,5,1,0,0,296,0,696,0,255,0,598,0,41,0,98,0
1720289378,0,6,1,0,0,337,0,791,0,296,0,696,0,41,0,95,0
1720289379,0,7,1,0,0,380,0,883,0,337,0,791,0,43,0,92,0
1720289380,0,7,1,2,0,392,0,913,0,380,0,883,0,12,0,30,0
1720289381,0,8,2,2,0,408,0,981,0,392,0,913,0,16,0,68,0
1720289382,0,10,2,2,0,438,0,1053,0,408,0,981,0,30,0,72,0
1720289383,0,8,2,2,0,475,0,1144,0,438,0,1053,0,37,0,91,0
1720289384,0,9,2,2,0,514,0,1242,0,475,0,1144,0,39,0,98,0
1720289385,0,10,2,2,0,552,0,1338,0,514,0,1242,0,38,0,96,0
1720289386,0,10,2,2,0,590,0,1428,0,552,0,1338,0,38,0,90,0
1720289387,0,9,2,2,0,617,0,1494,0,590,0,1428,0,27,0,66,0
1720289388,0,7,2,2,0,655,0,1590,0,617,0,1494,0,38,0,96,0
1720289389,0,6,2,2,0,694,0,1680,0,655,0,1590,0,39,0,90,0
1720289390,0,7,2,2,0,724,0,1809,0,694,0,1680,0,30,0,129,0
1720289391,0,7,2,2,0,746,0,1829,0,724,0,1809,0,22,0,20,0
1720289392,0,7,2,2,0,788,0,1941,0,746,0,1829,0,42,0,112,0
1720289393,0,3,2,2,0,821,0,2021,0,788,0,1941,0,33,0,80,0
1720289394,0,1,2,2,0,870,0,2127,0,821,0,2021,0,49,0,106,0
1720289395,0,2,2,2,0,915,0,2233,0,870,0,2127,0,45,0,106,0
1720289396,0,2,2,2,0,963,0,2347,0,915,0,2233,0,48,0,114,0
1720289397,0,1,2,2,0,1016,0,2465,0,963,0,2347,0,53,0,118,0
1720289398,0,2,2,2,0,1065,0,2579,0,1016,0,2465,0,49,0,114,0
1720289399,0,1,2,2,0,1110,0,2693,0,1065,0,2579,0,45,0,114,0
1720289400,0,1,2,2,0,1153,0,2843,0,1110,0,2693,0,43,0,150,0
1720289401,0,6,2,2,0,1154,0,2847,0,1153,0,2843,0,1,0,4,0
1720289402,0,9,2,2,0,1206,0,2973,0,1154,0,2847,0,52,0,126,0
1720289403,0,8,2,2,0,1245,0,3071,0,1206,0,2973,0,39,0,98,0
1720289404,0,8,2,2,0,1281,0,3163,0,1245,0,3071,0,36,0,92,0
1720289405,0,9,2,2,0,1319,0,3259,0,1281,0,3163,0,38,0,96,0
1720289406,0,9,2,2,0,1347,0,3331,0,1319,0,3259,0,28,0,72,0
1720289407,0,8,2,2,0,1384,0,3431,0,1347,0,3331,0,37,0,100,0
1720289408,0,9,2,2,0,1424,0,3537,0,1384,0,3431,0,40,0,106,0
1720289409,0,9,2,2,0,1467,0,3639,0,1424,0,3537,0,43,0,102,0
1720289410,0,10,2,2,0,1472,0,3698,0,1467,0,3639,0,5,0,59,0
1720289411,0,10,2,2,0,1497,0,3730,0,1472,0,3698,0,25,0,32,0
