"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720289066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720289067,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720289068,0,1,0,0,0,27,0,70,0,0,0,2,0,27,0,68,0
1720289069,0,1,0,0,0,70,0,186,0,27,0,70,0,43,0,116,0
1720289070,0,2,0,0,0,115,0,290,0,70,0,186,0,45,0,104,0
1720289071,0,2,0,0,0,160,0,402,0,115,0,290,0,45,0,112,0
1720289072,0,3,0,0,0,196,0,482,0,160,0,402,0,36,0,80,0
1720289073,0,4,0,0,0,239,0,588,0,196,0,482,0,43,0,106,0
1720289074,0,4,1,0,0,280,0,686,0,239,0,588,0,41,0,98,0
1720289075,0,6,1,0,0,319,0,785,0,280,0,686,0,39,0,99,0
1720289076,0,8,1,0,0,355,0,883,0,319,0,785,0,36,0,98,0
1720289077,0,8,1,2,0,369,0,915,0,355,0,883,0,14,0,32,0
1720289078,0,9,2,2,0,384,0,981,0,369,0,915,0,15,0,66,0
1720289079,0,10,2,2,0,414,0,1054,0,384,0,981,0,30,0,73,0
1720289080,0,7,2,2,0,450,0,1144,0,414,0,1054,0,36,0,90,0
1720289081,0,9,2,2,0,490,0,1238,0,450,0,1144,0,40,0,94,0
1720289082,0,10,2,2,0,529,0,1330,0,490,0,1238,0,39,0,92,0
1720289083,0,11,2,2,0,558,0,1398,0,529,0,1330,0,29,0,68,0
1720289084,0,9,2,2,0,596,0,1494,0,558,0,1398,0,38,0,96,0
1720289085,0,6,2,2,0,637,0,1590,0,596,0,1494,0,41,0,96,0
1720289086,0,6,2,2,0,674,0,1684,0,637,0,1590,0,37,0,94,0
1720289087,0,7,2,2,0,706,0,1815,0,674,0,1684,0,32,0,131,0
1720289088,0,7,2,2,0,725,0,1825,0,706,0,1815,0,19,0,10,0
1720289089,0,7,2,2,0,769,0,1939,0,725,0,1825,0,44,0,114,0
1720289090,0,3,2,2,0,802,0,2015,0,769,0,1939,0,33,0,76,0
1720289091,0,1,2,2,0,848,0,2119,0,802,0,2015,0,46,0,104,0
1720289092,0,2,2,2,0,894,0,2233,0,848,0,2119,0,46,0,114,0
1720289093,0,1,2,2,0,942,0,2347,0,894,0,2233,0,48,0,114,0
1720289094,0,1,2,2,0,993,0,2461,0,942,0,2347,0,51,0,114,0
1720289095,0,2,2,2,0,1039,0,2563,0,993,0,2461,0,46,0,102,0
1720289096,0,1,2,2,0,1075,0,2645,0,1039,0,2563,0,36,0,82,0
1720289097,0,1,2,2,0,1122,0,2809,0,1075,0,2645,0,47,0,164,0
1720289098,0,5,2,2,0,1122,0,2809,0,1122,0,2809,0,0,0,0,0
1720289099,0,9,2,2,0,1169,0,2928,0,1122,0,2809,0,47,0,119,0
1720289100,0,8,2,2,0,1206,0,3030,0,1169,0,2928,0,37,0,102,0
1720289101,0,9,2,2,0,1237,0,3106,0,1206,0,3030,0,31,0,76,0
1720289102,0,9,2,2,0,1274,0,3200,0,1237,0,3106,0,37,0,94,0
1720289103,0,9,2,2,0,1311,0,3296,0,1274,0,3200,0,37,0,96,0
1720289104,0,9,2,2,0,1348,0,3400,0,1311,0,3296,0,37,0,104,0
1720289105,0,9,2,2,0,1378,0,3484,0,1348,0,3400,0,30,0,84,0
1720289106,0,9,2,2,0,1424,0,3602,0,1378,0,3484,0,46,0,118,0
1720289107,0,10,2,2,0,1445,0,3678,0,1424,0,3602,0,21,0,76,0
1720289108,0,10,2,2,0,1470,0,3710,0,1445,0,3678,0,25,0,32,0
1720289109,0,8,2,2,0,1506,0,3790,0,1470,0,3710,0,36,0,80,0
1720289110,0,8,2,2,0,1532,0,3854,0,1506,0,3790,0,26,0,64,0
1720289111,0,9,2,2,0,1566,0,3944,0,1532,0,3854,0,34,0,90,0
1720289112,0,9,2,2,0,1604,0,4032,0,1566,0,3944,0,38,0,88,0
1720289113,0,9,2,2,0,1641,0,4110,0,1604,0,4032,0,37,0,78,0
1720289114,0,9,2,2,0,1680,0,4202,0,1641,0,4110,0,39,0,92,0
1720289115,0,9,2,2,0,1705,0,4264,0,1680,0,4202,0,25,0,62,0
1720289116,0,7,2,2,0,1741,0,4354,0,1705,0,4264,0,36,0,90,0
1720289117,0,6,2,2,0,1771,0,4481,0,1741,0,4354,0,30,0,127,0
1720289118,0,6,2,2,0,1788,0,4483,0,1771,0,4481,0,17,0,2,0
1720289119,0,5,2,2,0,1831,0,4607,0,1788,0,4483,0,43,0,124,0
1720289120,0,5,2,2,0,1861,0,4677,0,1831,0,4607,0,30,0,70,0
1720289121,0,5,2,2,0,1901,0,4777,0,1861,0,4677,0,40,0,100,0
1720289122,0,4,2,2,0,1941,0,4877,0,1901,0,4777,0,40,0,100,0
1720289123,0,4,2,2,0,1983,0,4983,0,1941,0,4877,0,42,0,106,0
1720289124,0,4,2,2,0,2028,0,5087,0,1983,0,4983,0,45,0,104,0
1720289125,0,3,2,2,0,2070,0,5189,0,2028,0,5087,0,42,0,102,0
1720289126,0,3,2,2,0,2114,0,5295,0,2070,0,5189,0,44,0,106,0
1720289127,0,3,2,2,0,2144,0,5409,0,2114,0,5295,0,30,0,114,0
1720289128,0,4,2,2,0,2145,0,5415,0,2144,0,5409,0,1,0,6,0
1720289129,0,4,2,2,0,2180,0,5498,0,2145,0,5415,0,35,0,83,0
1720289130,0,4,2,2,0,2230,0,5628,0,2180,0,5498,0,50,0,130,0
