"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720289531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720289532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720289533,0,1,0,0,0,12,0,34,0,0,0,0,0,12,0,34,0
1720289534,0,1,0,0,0,57,0,130,0,12,0,34,0,45,0,96,0
1720289535,0,1,0,0,0,92,0,212,0,57,0,130,0,35,0,82,0
1720289536,0,2,0,0,0,141,0,324,0,92,0,212,0,49,0,112,0
1720289537,0,2,0,0,0,188,0,430,0,141,0,324,0,47,0,106,0
1720289538,0,3,0,0,0,235,0,536,0,188,0,430,0,47,0,106,0
1720289539,0,4,0,0,0,281,0,642,0,235,0,536,0,46,0,106,0
1720289540,0,7,1,0,0,321,0,744,0,281,0,642,0,40,0,102,0
1720289541,0,7,1,0,0,355,0,819,0,321,0,744,0,34,0,75,0
1720289542,0,7,1,0,0,394,0,907,0,355,0,819,0,39,0,88,0
1720289543,0,7,1,2,0,396,0,911,0,394,0,907,0,2,0,4,0
1720289544,0,8,2,2,0,421,0,1007,0,396,0,911,0,25,0,96,0
1720289545,0,10,2,2,0,449,0,1076,0,421,0,1007,0,28,0,69,0
1720289546,0,8,2,2,0,489,0,1166,0,449,0,1076,0,40,0,90,0
1720289547,0,8,2,2,0,527,0,1258,0,489,0,1166,0,38,0,92,0
1720289548,0,10,2,2,0,563,0,1346,0,527,0,1258,0,36,0,88,0
1720289549,0,10,2,2,0,600,0,1436,0,563,0,1346,0,37,0,90,0
1720289550,0,9,2,2,0,641,0,1534,0,600,0,1436,0,41,0,98,0
1720289551,0,7,2,2,0,671,0,1610,0,641,0,1534,0,30,0,76,0
1720289552,0,6,2,2,0,710,0,1696,0,671,0,1610,0,39,0,86,0
1720289553,0,6,2,2,0,730,0,1793,0,710,0,1696,0,20,0,97,0
1720289554,0,7,2,2,0,761,0,1845,0,730,0,1793,0,31,0,52,0
1720289555,0,7,2,2,0,803,0,1947,0,761,0,1845,0,42,0,102,0
1720289556,0,4,2,2,0,836,0,2027,0,803,0,1947,0,33,0,80,0
1720289557,0,1,2,2,0,885,0,2141,0,836,0,2027,0,49,0,114,0
1720289558,0,2,2,2,0,934,0,2247,0,885,0,2141,0,49,0,106,0
1720289559,0,2,2,2,0,983,0,2359,0,934,0,2247,0,49,0,112,0
1720289560,0,1,2,2,0,1031,0,2475,0,983,0,2359,0,48,0,116,0
1720289561,0,2,2,2,0,1078,0,2581,0,1031,0,2475,0,47,0,106,0
1720289562,0,1,2,2,0,1128,0,2697,0,1078,0,2581,0,50,0,116,0
1720289563,0,1,2,2,0,1149,0,2813,0,1128,0,2697,0,21,0,116,0
1720289564,0,5,2,2,0,1170,0,2823,0,1149,0,2813,0,21,0,10,0
1720289565,0,9,2,2,0,1215,0,2970,0,1170,0,2823,0,45,0,147,0
1720289566,0,9,2,2,0,1254,0,3068,0,1215,0,2970,0,39,0,98,0
1720289567,0,9,2,2,0,1293,0,3166,0,1254,0,3068,0,39,0,98,0
1720289568,0,9,2,2,0,1322,0,3240,0,1293,0,3166,0,29,0,74,0
1720289569,0,9,2,2,0,1361,0,3338,0,1322,0,3240,0,39,0,98,0
1720289570,0,9,2,2,0,1406,0,3444,0,1361,0,3338,0,45,0,106,0
1720289571,0,9,2,2,0,1446,0,3556,0,1406,0,3444,0,40,0,112,0
1720289572,0,9,2,2,0,1482,0,3638,0,1446,0,3556,0,36,0,82,0
1720289573,0,9,2,2,0,1488,0,3683,0,1482,0,3638,0,6,0,45,0
1720289574,0,9,2,2,0,1517,0,3717,0,1488,0,3683,0,29,0,34,0
1720289575,0,9,2,2,0,1551,0,3803,0,1517,0,3717,0,34,0,86,0
1720289576,0,9,2,2,0,1586,0,3891,0,1551,0,3803,0,35,0,88,0
1720289577,0,9,2,2,0,1624,0,3981,0,1586,0,3891,0,38,0,90,0
1720289578,0,10,2,2,0,1662,0,4073,0,1624,0,3981,0,38,0,92,0
1720289579,0,9,2,2,0,1690,0,4139,0,1662,0,4073,0,28,0,66,0
