time,id
1720289210.443463000,1949
1720289210.443464000,1950
1720289210.457844000,1952
1720289210.457845000,1953
1720289210.482397000,1955
1720289210.482438000,1956
1720289210.497034000,1958
1720289210.497036000,1959
1720289210.511421000,1961
1720289210.511422000,1962
1720289210.525980000,1964
1720289210.525982000,1965
1720289210.550855000,1967
1720289210.550856000,1968
1720289210.568315000,1970
1720289210.568316000,1971
1720289210.568388000,1973
1720289210.568651000,1981
1720289210.569426000,2001
1720289210.569482000,2002
1720289210.569715000,2024
1720289210.583601000,2029
1720289210.583602000,2030
1720289210.598279000,2032
1720289210.598281000,2033
1720289210.613152000,2035
1720289210.613154000,2036
1720289210.627792000,2038
1720289210.627793000,2039
1720289210.642330000,2041
1720289210.642331000,2042
1720289210.667045000,2044
1720289210.667047000,2045
1720289210.681810000,2047
1720289210.681812000,2048
1720289210.696369000,2050
1720289210.696370000,2051
1720289210.710858000,2053
1720289210.710859000,2054
1720289210.725448000,2056
1720289210.725449000,2057
1720289210.750198000,2059
1720289210.750200000,2060
1720289210.767811000,2062
1720289210.767814000,2063
1720289210.767815000,2065
1720289210.767816000,2066
1720289210.768066000,2067
1720289210.768068000,2068
1720289210.768068000,2069
1720289210.768070000,2070
1720289210.768072000,2072
1720289210.768072000,2074
1720289210.768073000,2075
1720289210.768075000,2076
1720289210.768208000,2078
1720289210.768209000,2079
1720289210.768210000,2080
1720289210.768211000,2081
1720289210.768212000,2082
1720289210.768213000,2084
1720289210.768214000,2085
1720289210.768297000,2086
1720289210.768298000,2088
1720289210.768299000,2089
1720289210.768347000,2090
1720289210.768348000,2091
1720289210.768377000,2092
1720289210.768393000,2093
1720289210.768434000,2094
1720289210.768435000,2095
1720289210.768486000,2096
1720289210.768487000,2097
1720289210.768538000,2098
1720289210.768539000,2099
1720289210.768591000,2100
1720289210.768592000,2101
1720289210.768645000,2102
1720289210.768646000,2103
1720289210.768694000,2104
1720289210.768695000,2105
1720289210.768728000,2106
1720289210.768729000,2107
1720289210.768768000,2108
1720289210.768769000,2109
1720289210.768800000,2110
1720289210.768816000,2111
1720289210.768851000,2112
1720289210.768897000,2113
1720289210.768928000,2114
1720289210.768963000,2115
1720289210.768981000,2116
1720289210.769025000,2117
1720289210.769100000,2118
1720289210.769121000,2119
1720289210.769122000,2120
1720289210.787828000,2121
1720289210.787829000,2122
1720289210.809151000,2123
1720289210.809153000,2124
1720289210.828738000,2125
1720289210.828740000,2126
1720289210.844888000,2127
1720289210.844889000,2128
1720289210.859772000,2129
1720289210.859773000,2130
1720289210.874474000,2131
1720289210.874475000,2132
1720289210.889178000,2133
1720289210.889180000,2134
1720289210.904759000,2135
1720289210.904760000,2136
1720289210.921402000,2137
1720289210.921403000,2138
1720289210.938938000,2139
1720289210.938939000,2140
1720289210.954005000,2141
1720289210.954006000,2142
1720289210.970029000,2143
1720289210.970031000,2144
1720289210.970036000,2146
1720289210.970150000,2150
1720289210.970154000,2155
1720289210.970185000,2161
1720289210.970232000,2163
1720289210.970234000,2164
1720289210.970294000,2166
1720289210.970352000,2169
1720289210.970444000,2172
1720289210.970446000,2174
1720289210.970448000,2177
1720289210.970529000,2180
1720289210.970547000,2184
1720289210.970563000,2186
1720289210.970624000,2189
1720289210.970704000,2193
1720289210.970724000,2198
1720289210.970762000,2200
1720289210.970762000,2201
1720289210.984801000,2202
1720289210.984802000,2203
1720289210.999387000,2204
1720289210.999388000,2205
1720289211.014274000,2206
1720289211.014275000,2207
1720289211.028971000,2208
1720289211.028973000,2209
1720289211.043514000,2210
1720289211.043515000,2211
1720289211.058044000,2212
1720289211.058045000,2213
1720289211.082859000,2214
1720289211.082860000,2215
1720289211.097483000,2216
1720289211.097484000,2217
1720289211.112151000,2218
1720289211.112152000,2219
1720289211.126816000,2220
1720289211.126817000,2221
1720289211.141505000,2222
1720289211.141506000,2223
1720289211.167257000,2224
1720289211.167258000,2225
1720289211.167258000,2227
1720289211.167259000,2228
1720289211.167379000,2230
1720289211.167381000,2232
1720289211.167382000,2234
1720289211.167384000,2237
1720289211.167419000,2240
1720289211.167454000,2244
1720289211.167514000,2249
1720289211.167558000,2252
1720289211.167610000,2256
1720289211.167666000,2261
1720289211.167731000,2266
1720289211.167835000,2272
1720289211.167878000,2278
1720289211.188843000,2283
1720289211.188844000,2284
1720289211.205542000,2285
1720289211.205543000,2286
1720289211.219938000,2287
1720289211.219950000,2288
1720289211.234601000,2289
1720289211.234602000,2290
1720289211.252072000,2291
1720289211.252073000,2292
1720289211.268784000,2293
1720289211.283207000,2294
1720289211.283208000,2295
1720289211.305362000,2296
1720289211.322040000,2297
1720289211.336373000,2298
1720289211.356121000,2299
1720289211.373910000,2300
1720289211.373913000,2301
1720289211.373915000,2303
1720289211.373916000,2307
1720289211.374061000,2310
1720289211.374062000,2311
1720289211.374067000,2313
1720289211.374069000,2316
1720289211.374116000,2320
1720289211.374160000,2323
1720289211.374161000,2324
1720289211.374193000,2326
1720289211.374206000,2327
1720289211.374249000,2329
1720289211.374273000,2330
1720289211.374298000,2332
1720289211.374367000,2333
1720289211.374386000,2335
1720289211.374433000,2338
1720289211.374464000,2340
1720289211.374519000,2343
1720289211.374520000,2344
1720289211.374552000,2345
1720289211.374577000,2347
1720289211.374597000,2349
1720289211.374625000,2352
1720289211.374681000,2354
1720289211.374700000,2357
1720289211.388751000,2359
1720289211.388753000,2360
1720289211.403520000,2361
1720289211.417998000,2362
1720289211.432471000,2363
1720289211.447101000,2364
1720289211.464426000,2365
1720289211.479453000,2366
1720289211.496134000,2367
1720289211.512227000,2368
1720289211.528207000,2369
1720289211.545315000,2370
1720289211.561478000,2371
1720289211.561629000,2372
1720289211.561660000,2373
1720289211.561677000,2374
1720289211.561738000,2375
1720289211.561739000,2376
1720289211.561788000,2378
1720289211.561807000,2379
1720289211.561842000,2380
1720289211.561874000,2381
1720289211.561945000,2382
1720289211.561946000,2383
1720289211.561980000,2384
1720289211.561987000,2385
1720289211.562038000,2386
1720289211.562070000,2387
1720289211.562084000,2388
1720289211.562116000,2389
1720289211.562147000,2390
1720289211.562209000,2391
1720289211.562210000,2392
1720289211.562245000,2393
1720289211.562246000,2394
1720289211.562267000,2395
1720289211.562286000,2396
1720289211.562356000,2397
1720289211.562373000,2398
1720289211.562374000,2399
1720289211.562398000,2400
1720289211.562414000,2401
1720289211.562487000,2402
1720289211.562488000,2403
1720289211.562490000,2404
1720289211.562513000,2405
1720289211.562569000,2406
1720289211.562605000,2407
1720289211.562606000,2408
1720289211.562625000,2409
1720289211.562794000,2410
1720289211.562795000,2411
1720289211.562906000,2412
1720289211.562907000,2413
1720289211.562947000,2414
1720289211.562948000,2415
1720289211.562949000,2416
1720289211.562995000,2417
1720289211.562996000,2418
1720289211.563025000,2419
1720289211.563053000,2421
1720289211.563054000,2422
1720289211.563127000,2424
1720289211.563128000,2425
1720289211.563372000,2426
1720289211.563400000,2427
1720289211.563415000,2428
1720289211.577295000,2430
1720289211.592484000,2431
1720289211.617670000,2432
1720289211.632277000,2433
1720289211.647033000,2434
1720289211.661616000,2435
1720289211.661618000,2436
1720289211.677316000,2437
1720289211.677318000,2438
1720289211.692213000,2439
1720289211.692215000,2440
1720289211.717819000,2442
1720289211.717820000,2443
1720289211.732383000,2445
1720289211.732384000,2446
1720289211.747639000,2448
1720289211.747640000,2449
1720289211.763862000,2451
1720289211.763864000,2452
1720289211.763865000,2454
1720289211.763929000,2455
1720289211.763930000,2457
1720289211.763951000,2459
1720289211.763981000,2461
1720289211.764010000,2463
1720289211.764035000,2465
1720289211.764071000,2468
1720289211.764147000,2472
1720289211.764167000,2474
1720289211.764186000,2476
1720289211.764252000,2479
1720289211.764279000,2481
1720289211.764280000,2483
1720289211.764315000,2486
1720289211.764328000,2488
1720289211.764475000,2491
1720289211.764476000,2493
1720289211.764477000,2494
1720289211.764543000,2495
1720289211.764544000,2496
1720289211.764575000,2497
1720289211.764612000,2499
1720289211.764613000,2500
1720289211.764676000,2502
1720289211.764677000,2503
1720289211.764715000,2504
1720289211.764716000,2505
1720289211.764748000,2507
1720289211.764749000,2508
1720289211.780534000,2509
1720289211.780535000,2510
1720289211.796187000,2512
1720289211.796189000,2513
1720289211.810929000,2515
1720289211.810930000,2516
1720289211.825999000,2518
1720289211.826000000,2519
1720289211.851290000,2521
1720289211.851292000,2522
1720289211.866168000,2524
1720289211.866169000,2525
1720289211.881015000,2527
1720289211.881017000,2528
1720289211.896763000,2530
1720289211.896765000,2531
1720289211.911231000,2533
1720289211.911233000,2534
1720289211.926216000,2536
1720289211.926218000,2537
1720289211.951408000,2539
1720289211.951410000,2540
1720289211.967972000,2542
1720289211.967974000,2543
1720289211.967977000,2545
1720289211.968076000,2549
1720289211.968077000,2550
1720289211.968110000,2552
1720289211.968153000,2555
1720289211.968175000,2559
1720289211.968245000,2564
1720289211.968298000,2568
1720289211.968416000,2573
1720289211.968439000,2578
1720289211.968489000,2583
1720289211.968580000,2586
1720289211.968582000,2589
1720289211.968620000,2593
1720289211.968634000,2595
1720289211.968684000,2598
1720289211.968685000,2599
1720289211.985157000,2601
1720289211.985159000,2602
1720289211.985160000,2604
1720289211.985231000,2608
1720289211.985232000,2612
1720289211.985271000,2617
1720289212.001099000,2618
1720289212.001101000,2619
1720289212.001112000,2621
1720289212.001194000,2625
1720289212.001238000,2630
1720289212.001305000,2636
1720289212.020229000,2637
1720289212.020230000,2638
1720289212.020232000,2640
1720289212.020298000,2644
1720289212.020346000,2649
1720289212.020381000,2653
1720289212.020434000,2658
1720289212.020462000,2660
1720289212.037316000,2661
1720289212.037317000,2662
1720289212.037319000,2664
1720289212.037423000,2668
1720289212.037424000,2670
1720289212.037426000,2673
1720289212.037472000,2677
1720289212.037530000,2682
1720289212.037580000,2686
1720289212.054182000,2687
1720289212.054183000,2688
1720289212.054267000,2690
1720289212.054281000,2693
1720289212.054282000,2696
1720289212.054397000,2698
1720289212.054398000,2701
1720289212.054399000,2703
1720289212.054433000,2705
1720289212.054479000,2707
1720289212.054503000,2709
1720289212.054517000,2710
1720289212.054539000,2712
1720289212.073423000,2713
1720289212.073425000,2714
1720289212.073427000,2716
1720289212.073519000,2720
1720289212.073621000,2725
1720289212.073652000,2730
1720289212.073670000,2733
1720289212.073701000,2736
1720289212.091875000,2739
1720289212.091877000,2740
1720289212.091879000,2742
1720289212.091974000,2746
1720289212.091976000,2750
1720289212.092007000,2755
1720289212.092040000,2758
1720289212.092092000,2762
1720289212.114154000,2765
1720289212.114156000,2766
1720289212.114260000,2768
1720289212.114261000,2769
1720289212.114263000,2770
1720289212.114264000,2772
1720289212.114265000,2773
1720289212.114266000,2775
1720289212.114268000,2776
1720289212.114365000,2778
1720289212.114367000,2779
1720289212.114367000,2781
1720289212.114369000,2782
1720289212.114401000,2784
1720289212.114403000,2785
1720289212.114476000,2787
1720289212.114478000,2788
1720289212.114491000,2790
1720289212.136284000,2791
1720289212.136287000,2792
1720289212.136371000,2794
1720289212.136373000,2798
1720289212.136464000,2803
1720289212.136474000,2806
1720289212.136506000,2810
1720289212.136554000,2813
1720289212.136590000,2816
1720289212.154066000,2818
1720289212.154068000,2819
1720289212.154071000,2821
1720289212.154193000,2825
1720289212.154230000,2829
1720289212.154282000,2833
1720289212.154352000,2837
1720289212.154408000,2841
1720289212.154431000,2844
1720289212.170764000,2846
1720289212.170765000,2847
1720289212.170767000,2849
1720289212.170820000,2853
1720289212.194978000,2856
1720289212.194980000,2857
1720289212.194983000,2859
1720289212.195059000,2863
1720289212.195084000,2864
1720289212.195123000,2866
1720289212.195130000,2868
1720289212.195170000,2871
1720289212.195233000,2874
1720289212.195327000,2876
1720289212.195329000,2877
1720289212.195395000,2879
1720289212.195397000,2880
1720289212.195483000,2882
1720289212.195494000,2883
1720289212.195570000,2885
1720289212.195571000,2886
1720289212.195683000,2888
1720289212.195698000,2889
1720289212.195703000,2891
1720289212.195704000,2892
1720289212.195747000,2893
1720289212.195785000,2894
1720289212.195786000,2895
1720289212.195818000,2896
1720289212.195819000,2897
1720289212.195833000,2898
1720289212.195833000,2899
1720289212.195853000,2900
1720289212.195877000,2901
1720289212.195900000,2903
1720289212.195952000,2906
1720289212.195952000,2907
1720289212.218312000,2908
1720289212.218314000,2909
1720289212.218369000,2911
1720289212.218369000,2912
1720289212.218423000,2913
1720289212.218506000,2915
1720289212.218507000,2916
1720289212.218508000,2917
1720289212.218568000,2919
1720289212.218569000,2920
1720289212.218641000,2921
1720289212.218642000,2922
1720289212.218671000,2923
1720289212.218672000,2924
1720289212.218700000,2925
1720289212.218701000,2926
1720289212.218748000,2927
1720289212.218749000,2928
1720289212.218750000,2929
1720289212.218751000,2930
1720289212.235312000,2931
1720289212.235313000,2932
1720289212.235378000,2934
1720289212.235431000,2936
1720289212.235442000,2937
1720289212.235498000,2938
1720289212.235528000,2939
1720289212.235534000,2940
1720289212.235581000,2941
1720289212.235608000,2942
1720289212.235609000,2943
1720289212.235674000,2944
1720289212.235675000,2945
1720289212.235685000,2946
1720289212.235691000,2947
1720289212.235716000,2948
1720289212.235719000,2949
1720289212.235769000,2950
1720289212.235784000,2951
1720289212.235797000,2952
1720289212.235801000,2954
1720289212.256286000,2955
1720289212.256287000,2956
1720289212.256369000,2958
1720289212.256371000,2962
1720289212.256372000,2965
1720289212.256373000,2967
1720289212.256392000,2968
1720289212.256393000,2970
1720289212.256438000,2972
1720289212.256479000,2975
1720289212.256481000,2976
1720289212.256507000,2978
1720289212.280430000,2979
1720289212.280432000,2980
1720289212.280435000,2982
1720289212.280558000,2986
1720289212.280566000,2995
1720289212.280622000,2999
1720289212.280645000,3002
1720289212.302253000,3003
1720289212.302255000,3004
1720289212.302313000,3006
1720289212.302348000,3010
1720289212.302350000,3012
1720289212.302372000,3015
1720289212.302414000,3019
1720289212.302456000,3023
1720289212.302520000,3026
1720289212.328780000,3029
1720289212.328783000,3030
1720289212.328786000,3032
1720289212.328859000,3036
1720289212.328923000,3045
1720289212.328993000,3052
1720289212.349315000,3054
1720289212.349318000,3055
1720289212.349319000,3057
1720289212.349414000,3061
1720289212.349420000,3065
1720289212.349458000,3070
1720289212.349471000,3072
1720289212.349522000,3075
1720289212.349537000,3077
1720289212.349545000,3078
1720289212.367166000,3079
1720289212.367168000,3080
1720289212.367170000,3082
1720289212.367234000,3085
1720289212.367236000,3088
1720289212.367274000,3091
1720289212.367301000,3094
1720289212.367393000,3097
1720289212.367416000,3101
1720289212.367416000,3102
1720289212.367428000,3103
1720289212.390553000,3104
1720289212.390554000,3105
1720289212.390595000,3107
1720289212.390596000,3108
1720289212.390704000,3109
1720289212.390705000,3110
1720289212.390840000,3112
1720289212.390841000,3113
1720289212.390842000,3114
1720289212.390883000,3116
1720289212.390896000,3117
1720289212.390974000,3119
1720289212.390988000,3120
1720289212.390989000,3121
1720289212.391061000,3123
1720289212.391062000,3126
1720289212.391072000,3128
1720289212.408810000,3130
1720289212.408812000,3131
1720289212.408813000,3133
1720289212.408883000,3137
1720289212.408903000,3140
1720289212.408935000,3143
1720289212.409002000,3147
1720289212.409100000,3152
1720289212.426932000,3156
1720289212.427174000,3157
1720289212.427207000,3158
1720289212.427227000,3159
1720289212.427262000,3160
1720289212.427307000,3162
1720289212.427317000,3164
1720289212.427390000,3166
1720289212.427399000,3169
1720289212.427479000,3171
1720289212.427483000,3174
1720289212.427546000,3175
1720289212.427547000,3176
1720289212.428270000,3177
1720289212.428296000,3178
1720289212.428320000,3179
1720289212.443286000,3181
1720289212.443288000,3182
1720289212.443290000,3184
1720289212.443361000,3188
1720289212.443411000,3193
1720289212.443466000,3197
1720289212.443511000,3202
1720289212.443597000,3207
1720289212.443695000,3212
1720289212.443745000,3220
1720289212.459440000,3222
1720289212.459442000,3223
1720289212.459444000,3225
1720289212.459497000,3229
1720289212.459520000,3234
1720289212.476384000,3237
1720289212.476386000,3238
1720289212.476388000,3240
1720289212.476449000,3244
1720289212.476478000,3249
1720289212.476543000,3253
1720289212.476719000,3257
1720289212.476719000,3260
1720289212.493259000,3261
1720289212.493260000,3262
1720289212.493262000,3264
1720289212.493347000,3268
1720289212.493349000,3272
1720289212.493358000,3276
1720289212.493426000,3281
1720289212.493427000,3283
1720289212.510346000,3285
1720289212.510348000,3286
1720289212.510349000,3288
1720289212.510433000,3292
1720289212.510444000,3296
1720289212.510520000,3301
1720289212.510617000,3308
1720289212.527351000,3311
1720289212.527353000,3312
1720289212.527356000,3314
1720289212.527424000,3318
1720289212.527431000,3322
1720289212.527472000,3326
1720289212.527500000,3329
1720289212.527541000,3332
1720289212.527549000,3334
1720289212.552388000,3335
1720289212.552389000,3336
1720289212.552390000,3338
1720289212.552457000,3342
1720289212.552471000,3346
1720289212.552500000,3349
1720289212.552575000,3352
1720289212.552605000,3355
1720289212.552628000,3358
1720289212.577280000,3360
1720289212.577284000,3361
1720289212.577285000,3363
1720289212.577353000,3367
1720289212.577367000,3371
1720289212.577438000,3374
1720289212.577470000,3376
1720289212.577512000,3379
1720289212.577512000,3380
1720289212.577553000,3381
1720289212.577604000,3383
1720289212.577605000,3384
1720289212.595172000,3385
1720289212.595176000,3386
1720289212.595277000,3388
1720289212.595279000,3391
1720289212.595288000,3395
1720289212.595323000,3399
1720289212.595377000,3402
1720289212.595406000,3406
1720289212.595407000,3408
1720289212.612057000,3409
1720289212.612058000,3410
1720289212.612129000,3412
1720289212.612156000,3416
1720289212.612228000,3421
1720289212.612353000,3429
1720289212.628858000,3437
1720289212.628860000,3438
1720289212.628863000,3440
1720289212.628925000,3444
1720289212.628928000,3449
1720289212.629041000,3459
1720289212.645573000,3463
1720289212.645575000,3464
1720289212.645655000,3466
1720289212.645663000,3470
1720289212.645708000,3475
1720289212.645787000,3481
1720289212.662423000,3488
1720289212.662425000,3489
1720289212.665616000,3491
1720289212.665617000,3492
1720289212.665618000,3494
1720289212.665619000,3496
1720289212.665620000,3499
1720289212.665621000,3503
1720289212.665622000,3505
1720289212.665623000,3508
1720289212.679225000,3511
1720289212.679227000,3512
1720289212.679284000,3514
1720289212.679301000,3518
1720289212.679420000,3527
1720289212.695965000,3532
1720289212.695966000,3533
1720289212.695967000,3535
1720289212.696030000,3539
1720289212.696055000,3543
1720289212.696124000,3549
1720289212.713079000,3551
1720289212.713081000,3552
1720289212.713083000,3554
1720289212.713086000,3558
1720289212.713177000,3565
1720289212.730232000,3567
1720289212.730233000,3568
1720289212.730235000,3570
1720289212.730286000,3574
1720289212.730325000,3579
1720289212.730331000,3581
1720289212.744695000,3583
1720289212.759061000,3584
1720289212.799949000,3585
1720289212.803756000,3586
1720289212.819140000,3587
1720289212.834892000,3588
1720289212.849953000,3589
1720289212.864427000,3590
1720289212.879080000,3591
1720289212.894683000,3592
1720289212.910330000,3593
1720289212.928110000,3594
1720289212.928111000,3595
1720289212.928113000,3597
1720289212.928217000,3601
1720289212.928273000,3606
1720289212.947806000,3611
1720289212.947807000,3612
1720289212.947809000,3614
1720289212.947885000,3618
1720289212.947917000,3624
1720289212.965811000,3631
1720289212.965813000,3632
1720289212.965823000,3634
1720289212.965889000,3638
1720289212.965941000,3643
1720289212.966046000,3650
1720289212.983586000,3655
1720289212.983587000,3656
1720289212.983654000,3658
1720289212.983663000,3662
1720289212.983729000,3667
1720289212.983776000,3671
1720289212.983837000,3676
1720289213.002417000,3678
1720289213.002419000,3679
1720289213.002420000,3681
1720289213.002481000,3685
1720289213.002551000,3689
1720289213.002560000,3692
1720289213.002583000,3695
1720289213.002612000,3697
1720289213.002650000,3698
1720289213.002669000,3699
1720289213.002669000,3700
1720289213.002682000,3701
1720289213.021248000,3703
1720289213.021250000,3704
1720289213.021252000,3706
1720289213.021329000,3710
1720289213.021331000,3713
1720289213.021379000,3716
1720289213.021446000,3720
1720289213.021472000,3723
1720289213.021503000,3725
1720289213.021604000,3727
1720289213.038657000,3730
1720289213.038659000,3731
1720289213.038660000,3733
1720289213.038726000,3737
1720289213.038775000,3740
1720289213.038821000,3743
1720289213.038850000,3746
1720289213.038901000,3749
1720289213.038957000,3753
1720289213.039018000,3758
1720289213.055818000,3759
1720289213.055819000,3760
1720289213.055821000,3762
1720289213.055911000,3766
1720289213.055913000,3770
1720289213.055954000,3774
1720289213.055999000,3778
1720289213.056059000,3783
1720289213.074366000,3786
1720289213.074367000,3787
1720289213.074368000,3789
1720289213.074444000,3793
1720289213.074483000,3797
1720289213.074539000,3801
1720289213.074592000,3806
1720289213.074633000,3810
