time,id
1720290164.169619000,3981
1720290164.169661000,3982
1720290164.184438000,3984
1720290164.184487000,3985
1720290164.199144000,3987
1720290164.199182000,3988
1720290164.214438000,3990
1720290164.214471000,3991
1720290164.228961000,3993
1720290164.229000000,3994
1720290164.243563000,3996
1720290164.243595000,3997
1720290164.268519000,3999
1720290164.268568000,4000
1720290164.283186000,4002
1720290164.283217000,4003
1720290164.299507000,4005
1720290164.299562000,4006
1720290164.299600000,4008
1720290164.299630000,4009
1720290164.300488000,4011
1720290164.300508000,4014
1720290164.300520000,4022
1720290164.300981000,4024
1720290164.301600000,4030
1720290164.301609000,4032
1720290164.301620000,4048
1720290164.301741000,4054
1720290164.302303000,4058
1720290164.314802000,4064
1720290164.314836000,4065
1720290164.329709000,4067
1720290164.329756000,4068
1720290164.344936000,4070
1720290164.344987000,4071
1720290164.369670000,4073
1720290164.369702000,4074
1720290164.384461000,4076
1720290164.384494000,4077
1720290164.399415000,4079
1720290164.399464000,4080
1720290164.417722000,4082
1720290164.417758000,4083
1720290164.438889000,4085
1720290164.438921000,4086
1720290164.459109000,4088
1720290164.459144000,4089
1720290164.480293000,4091
1720290164.480625000,4092
1720290164.480664000,4093
1720290164.498420000,4094
1720290164.498463000,4095
1720290164.522733000,4097
1720290164.522779000,4098
1720290164.522815000,4100
1720290164.522863000,4103
1720290164.522900000,4106
1720290164.522932000,4109
1720290164.522967000,4112
1720290164.523002000,4116
1720290164.523033000,4118
1720290164.523062000,4120
1720290164.523095000,4123
1720290164.523123000,4125
1720290164.523157000,4128
1720290164.523189000,4130
1720290164.523221000,4132
1720290164.523256000,4134
1720290164.523312000,4136
1720290164.523349000,4139
1720290164.523380000,4140
1720290164.524363000,4142
1720290164.524786000,4143
1720290164.543994000,4156
1720290164.544090000,4157
1720290164.563403000,4158
1720290164.563501000,4159
1720290164.580897000,4160
1720290164.580984000,4161
1720290164.601554000,4162
1720290164.601642000,4163
1720290164.617230000,4164
1720290164.617317000,4165
1720290164.632678000,4166
1720290164.632761000,4167
1720290164.657042000,4168
1720290164.657158000,4169
1720290164.676896000,4170
1720290164.676994000,4171
1720290164.691572000,4172
1720290164.691661000,4173
1720290164.706350000,4174
1720290164.706461000,4175
1720290164.720941000,4176
1720290164.721031000,4177
1720290164.736911000,4178
1720290164.736946000,4179
1720290164.736974000,4181
1720290164.737010000,4185
1720290164.737054000,4190
1720290164.737103000,4195
1720290164.737144000,4201
1720290164.737181000,4206
1720290164.737218000,4211
1720290164.737260000,4216
1720290164.737306000,4221
1720290164.737343000,4226
1720290164.737381000,4232
1720290164.737434000,4234
1720290164.737472000,4235
1720290164.737507000,4236
1720290164.752539000,4237
1720290164.752630000,4238
1720290164.767116000,4239
1720290164.767209000,4240
1720290164.781686000,4241
1720290164.781765000,4242
1720290164.804627000,4243
1720290164.804702000,4244
1720290164.827595000,4245
1720290164.827686000,4246
1720290164.841971000,4247
1720290164.842051000,4248
1720290164.856445000,4249
1720290164.856525000,4250
1720290164.877659000,4251
1720290164.877755000,4252
1720290164.893996000,4253
1720290164.894114000,4254
1720290164.909246000,4255
1720290164.909340000,4256
1720290164.926059000,4257
1720290164.926130000,4258
1720290164.946740000,4259
1720290164.946773000,4260
1720290164.946806000,4262
1720290164.946839000,4264
1720290164.946872000,4267
1720290164.946896000,4270
1720290164.946916000,4272
1720290164.946940000,4274
1720290164.946967000,4277
1720290164.946986000,4278
1720290164.947006000,4279
1720290164.947034000,4281
1720290164.947056000,4283
1720290164.947075000,4284
1720290164.947098000,4286
1720290164.947119000,4287
1720290164.947140000,4288
1720290164.947159000,4289
1720290164.947181000,4291
1720290164.947200000,4292
1720290164.947223000,4294
1720290164.947244000,4295
1720290164.947263000,4296
1720290164.947314000,4298
1720290164.947342000,4299
1720290164.947366000,4301
1720290164.947388000,4302
1720290164.947406000,4303
1720290164.947429000,4305
1720290164.947450000,4306
1720290164.947469000,4307
1720290164.947499000,4309
1720290164.947519000,4310
1720290164.947541000,4311
1720290164.947559000,4312
1720290164.947587000,4314
1720290164.947623000,4316
1720290164.947645000,4317
1720290164.964972000,4318
1720290164.965045000,4319
1720290164.980618000,4320
1720290164.980693000,4321
1720290165.000336000,4322
1720290165.000410000,4323
1720290165.017410000,4324
1720290165.017488000,4325
1720290165.031857000,4326
1720290165.031925000,4327
1720290165.053183000,4328
1720290165.067703000,4329
1720290165.067781000,4330
1720290165.084857000,4331
1720290165.102330000,4332
1720290165.120827000,4333
1720290165.135788000,4334
1720290165.151954000,4335
1720290165.151985000,4336
1720290165.152015000,4338
1720290165.152054000,4342
1720290165.152099000,4347
1720290165.152146000,4352
1720290165.152190000,4358
1720290165.152238000,4365
1720290165.152276000,4372
1720290165.152319000,4378
1720290165.152354000,4382
1720290165.152387000,4387
1720290165.152420000,4391
1720290165.174333000,4394
1720290165.174416000,4395
1720290165.189619000,4396
1720290165.205988000,4397
1720290165.223934000,4398
1720290165.238474000,4399
1720290165.253137000,4400
1720290165.276368000,4401
1720290165.296677000,4402
1720290165.311381000,4403
1720290165.326884000,4404
1720290165.342833000,4405
1720290165.358902000,4406
1720290165.358949000,4407
1720290165.358978000,4409
1720290165.359012000,4413
1720290165.359046000,4414
1720290165.359086000,4416
1720290165.359134000,4419
1720290165.359181000,4423
1720290165.359229000,4427
1720290165.359276000,4431
1720290165.359340000,4436
1720290165.359373000,4438
1720290165.359419000,4441
1720290165.359457000,4444
1720290165.359501000,4448
1720290165.359538000,4450
1720290165.359574000,4453
1720290165.359606000,4455
1720290165.359641000,4458
1720290165.359673000,4460
1720290165.359709000,4463
1720290165.374374000,4465
1720290165.389579000,4466
1720290165.405162000,4467
1720290165.429631000,4468
1720290165.450261000,4469
1720290165.465999000,4470
1720290165.466093000,4471
1720290165.480542000,4472
1720290165.480634000,4473
1720290165.496034000,4474
1720290165.496084000,4475
1720290165.511353000,4477
1720290165.511403000,4478
1720290165.526704000,4480
1720290165.526746000,4481
1720290165.541924000,4483
1720290165.541967000,4484
1720290165.559373000,4486
1720290165.559423000,4487
1720290165.559465000,4489
1720290165.559501000,4491
1720290165.559533000,4493
1720290165.559577000,4496
1720290165.559611000,4499
1720290165.559643000,4502
1720290165.559675000,4505
1720290165.559706000,4508
1720290165.559732000,4509
1720290165.559762000,4511
1720290165.559786000,4512
1720290165.559817000,4514
1720290165.559848000,4515
1720290165.559877000,4517
1720290165.559905000,4518
1720290165.559931000,4520
1720290165.559961000,4523
1720290165.559994000,4526
1720290165.560017000,4527
1720290165.560043000,4529
1720290165.560072000,4531
1720290165.560097000,4532
1720290165.560127000,4534
1720290165.560151000,4536
1720290165.560182000,4539
1720290165.560205000,4540
1720290165.560233000,4542
1720290165.583631000,4544
1720290165.583674000,4545
1720290165.606451000,4547
1720290165.606483000,4548
1720290165.621118000,4550
1720290165.621168000,4551
1720290165.635812000,4553
1720290165.635846000,4554
1720290165.650980000,4556
1720290165.651028000,4557
1720290165.666455000,4559
1720290165.666499000,4560
1720290165.683225000,4562
1720290165.683258000,4563
1720290165.699393000,4565
1720290165.699425000,4566
1720290165.715053000,4568
1720290165.715102000,4569
1720290165.730171000,4571
1720290165.730211000,4572
1720290165.745892000,4574
1720290165.745935000,4575
1720290165.763342000,4577
1720290165.763389000,4578
1720290165.763436000,4580
1720290165.763484000,4584
1720290165.763531000,4589
1720290165.763572000,4592
1720290165.763614000,4596
1720290165.763653000,4599
1720290165.763689000,4602
1720290165.763728000,4606
1720290165.763762000,4609
1720290165.763801000,4613
1720290165.763833000,4616
1720290165.763872000,4620
1720290165.763903000,4622
1720290165.763944000,4625
1720290165.763978000,4628
1720290165.764016000,4632
1720290165.764052000,4635
1720290165.781067000,4636
1720290165.781113000,4637
1720290165.781153000,4639
1720290165.781211000,4643
1720290165.781256000,4647
1720290165.781303000,4651
1720290165.797261000,4653
1720290165.797320000,4654
1720290165.797356000,4656
1720290165.797398000,4657
1720290165.797428000,4659
1720290165.797452000,4660
1720290165.797482000,4662
1720290165.797504000,4663
1720290165.797533000,4665
1720290165.797558000,4666
1720290165.797594000,4668
1720290165.797621000,4670
1720290165.814078000,4672
1720290165.814271000,4673
1720290165.814312000,4674
1720290165.814347000,4676
1720290165.815427000,4677
1720290165.815608000,4678
1720290165.815794000,4679
1720290165.815820000,4680
1720290165.815849000,4682
1720290165.815870000,4683
1720290165.815894000,4685
1720290165.815925000,4688
1720290165.815958000,4692
1720290165.816009000,4695
1720290165.831145000,4696
1720290165.831186000,4697
1720290165.831217000,4699
1720290165.831251000,4703
1720290165.831315000,4708
1720290165.831354000,4712
1720290165.831386000,4715
1720290165.831414000,4718
1720290165.848053000,4722
1720290165.848088000,4723
1720290165.848116000,4725
1720290165.848151000,4729
1720290165.848181000,4731
1720290165.848211000,4734
1720290165.848244000,4738
1720290165.848281000,4743
1720290165.848345000,4747
1720290165.865014000,4748
1720290165.865049000,4749
1720290165.865078000,4751
1720290165.865107000,4755
1720290165.865146000,4760
1720290165.865185000,4766
1720290165.865234000,4771
1720290165.865274000,4773
1720290165.883814000,4774
1720290165.883877000,4775
1720290165.883920000,4777
1720290165.883973000,4781
1720290165.884024000,4785
1720290165.884082000,4790
1720290165.884118000,4795
1720290165.884148000,4797
1720290165.903329000,4800
1720290165.903378000,4801
1720290165.903404000,4803
1720290165.903426000,4804
1720290165.903456000,4805
1720290165.903484000,4806
1720290165.903505000,4807
1720290165.903527000,4809
1720290165.903550000,4810
1720290165.903579000,4811
1720290165.903602000,4813
1720290165.903625000,4814
1720290165.903647000,4815
1720290165.903669000,4816
1720290165.903690000,4817
1720290165.903714000,4818
1720290165.903737000,4819
1720290165.903761000,4821
1720290165.903788000,4822
1720290165.903823000,4823
1720290165.903844000,4824
1720290165.922661000,4826
1720290165.922698000,4827
1720290165.922734000,4829
1720290165.922762000,4831
1720290165.922784000,4832
1720290165.922815000,4834
1720290165.922837000,4835
1720290165.922861000,4837
1720290165.922881000,4838
1720290165.922900000,4840
