"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720290335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720290336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720290337,0,1,0,0,0,12,0,34,0,0,0,0,0,12,0,34,0
1720290338,0,1,0,0,0,30,0,131,0,12,0,34,0,18,0,97,0
1720290339,0,2,0,0,0,91,0,253,0,30,0,131,0,61,0,122,0
1720290340,0,3,0,0,0,150,0,371,0,91,0,253,0,59,0,118,0
1720290341,0,3,0,0,0,209,0,489,0,150,0,371,0,59,0,118,0
1720290342,0,4,0,0,0,254,0,579,0,209,0,489,0,45,0,90,0
1720290343,0,7,1,0,0,311,0,691,0,254,0,579,0,57,0,112,0
1720290344,0,8,1,0,0,365,0,800,0,311,0,691,0,54,0,109,0
1720290345,0,9,1,0,0,419,0,908,0,365,0,800,0,54,0,108,0
1720290346,0,7,2,1,0,479,0,1028,0,419,0,908,0,60,0,120,0
1720290347,0,12,2,1,0,523,0,1118,0,479,0,1028,0,44,0,90,0
1720290348,0,8,2,1,0,570,0,1211,0,523,0,1118,0,47,0,93,0
1720290349,0,12,2,1,0,624,0,1319,0,570,0,1211,0,54,0,108,0
1720290350,0,12,2,1,0,678,0,1427,0,624,0,1319,0,54,0,108,0
1720290351,0,11,2,1,0,730,0,1531,0,678,0,1427,0,52,0,104,0
1720290352,0,8,2,1,0,786,0,1643,0,730,0,1531,0,56,0,112,0
1720290353,0,8,2,1,0,827,0,1725,0,786,0,1643,0,41,0,82,0
1720290354,0,8,2,1,0,882,0,1835,0,827,0,1725,0,55,0,110,0
1720290355,0,8,2,1,0,938,0,1947,0,882,0,1835,0,56,0,112,0
1720290356,0,7,2,1,0,995,0,2072,0,938,0,1947,0,57,0,125,0
1720290357,0,2,2,1,0,1003,0,2133,0,995,0,2072,0,8,0,61,0
1720290358,0,2,2,1,0,1056,0,2258,0,1003,0,2133,0,53,0,125,0
1720290359,0,2,2,1,0,1121,0,2390,0,1056,0,2258,0,65,0,132,0
1720290360,0,2,2,1,0,1187,0,2522,0,1121,0,2390,0,66,0,132,0
1720290361,0,2,2,1,0,1233,0,2614,0,1187,0,2522,0,46,0,92,0
1720290362,0,2,2,1,0,1297,0,2740,0,1233,0,2614,0,64,0,126,0
1720290363,0,3,2,1,0,1363,0,2874,0,1297,0,2740,0,66,0,134,0
1720290364,0,10,2,1,0,1424,0,2994,0,1363,0,2874,0,61,0,120,0
1720290365,0,11,2,1,0,1487,0,3120,0,1424,0,2994,0,63,0,126,0
1720290366,0,10,2,1,0,1548,0,3242,0,1487,0,3120,0,61,0,122,0
1720290367,0,10,2,1,0,1586,0,3314,0,1548,0,3242,0,38,0,72,0
1720290368,0,10,2,1,0,1649,0,3440,0,1586,0,3314,0,63,0,126,0
1720290369,0,10,2,1,0,1710,0,3562,0,1649,0,3440,0,61,0,122,0
1720290370,0,11,2,1,0,1769,0,3680,0,1710,0,3562,0,59,0,118,0
1720290371,0,11,2,1,0,1830,0,3802,0,1769,0,3680,0,61,0,122,0
1720290372,0,11,2,1,0,1861,0,3860,0,1830,0,3802,0,31,0,58,0
1720290373,0,11,2,1,0,1879,0,3868,0,1861,0,3860,0,18,0,8,0
1720290374,0,10,2,1,0,1928,0,3984,0,1879,0,3868,0,49,0,116,0
1720290375,0,10,2,1,0,1977,0,4082,0,1928,0,3984,0,49,0,98,0
1720290376,0,11,2,1,0,2029,0,4188,0,1977,0,4082,0,52,0,106,0
1720290377,0,11,2,1,0,2048,0,4253,0,2029,0,4188,0,19,0,65,0
1720290378,0,11,2,1,0,2098,0,4351,0,2048,0,4253,0,50,0,98,0
1720290379,0,9,2,1,0,2141,0,4437,0,2098,0,4351,0,43,0,86,0
1720290380,0,7,2,1,0,2197,0,4551,0,2141,0,4437,0,56,0,114,0
1720290381,0,6,2,1,0,2251,0,4659,0,2197,0,4551,0,54,0,108,0
1720290382,0,6,2,1,0,2306,0,4769,0,2251,0,4659,0,55,0,110,0
1720290383,0,5,2,1,0,2361,0,4879,0,2306,0,4769,0,55,0,110,0
1720290384,0,5,2,1,0,2418,0,4993,0,2361,0,4879,0,57,0,114,0
1720290385,0,5,2,1,0,2461,0,5079,0,2418,0,4993,0,43,0,86,0
1720290386,0,4,2,1,0,2520,0,5196,0,2461,0,5079,0,59,0,117,0
1720290387,0,4,2,1,0,2530,0,5277,0,2520,0,5196,0,10,0,81,0
1720290388,0,4,2,1,0,2596,0,5401,0,2530,0,5277,0,66,0,124,0
1720290389,0,4,2,1,0,2653,0,5515,0,2596,0,5401,0,57,0,114,0
1720290390,0,4,2,1,0,2709,0,5627,0,2653,0,5515,0,56,0,112,0
1720290391,0,4,2,1,0,2752,0,5713,0,2709,0,5627,0,43,0,86,0
