"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720290504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720290505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720290506,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720290507,0,1,0,0,0,42,0,104,0,0,0,2,0,42,0,102,0
1720290508,0,1,0,0,0,88,0,212,0,42,0,104,0,46,0,108,0
1720290509,0,2,0,0,0,133,0,326,0,88,0,212,0,45,0,114,0
1720290510,0,2,0,0,0,177,0,428,0,133,0,326,0,44,0,102,0
1720290511,0,3,0,0,0,223,0,536,0,177,0,428,0,46,0,108,0
1720290512,0,3,0,0,0,267,0,640,0,223,0,536,0,44,0,104,0
1720290513,0,5,1,0,0,296,0,708,0,267,0,640,0,29,0,68,0
1720290514,0,6,1,0,0,335,0,803,0,296,0,708,0,39,0,95,0
1720290515,0,8,1,0,0,373,0,897,0,335,0,803,0,38,0,94,0
1720290516,0,8,1,2,0,378,0,907,0,373,0,897,0,5,0,10,0
1720290517,0,8,2,2,0,402,0,999,0,378,0,907,0,24,0,92,0
1720290518,0,10,2,2,0,431,0,1074,0,402,0,999,0,29,0,75,0
1720290519,0,8,2,2,0,466,0,1158,0,431,0,1074,0,35,0,84,0
1720290520,0,8,2,2,0,505,0,1248,0,466,0,1158,0,39,0,90,0
1720290521,0,10,2,2,0,542,0,1336,0,505,0,1248,0,37,0,88,0
1720290522,0,10,2,2,0,578,0,1434,0,542,0,1336,0,36,0,98,0
1720290523,0,9,2,2,0,608,0,1504,0,578,0,1434,0,30,0,70,0
1720290524,0,7,2,2,0,650,0,1602,0,608,0,1504,0,42,0,98,0
1720290525,0,7,2,2,0,690,0,1696,0,650,0,1602,0,40,0,94,0
1720290526,0,6,2,2,0,709,0,1789,0,690,0,1696,0,19,0,93,0
1720290527,0,7,2,2,0,733,0,1817,0,709,0,1789,0,24,0,28,0
1720290528,0,7,2,2,0,773,0,1919,0,733,0,1817,0,40,0,102,0
1720290529,0,5,2,2,0,813,0,2021,0,773,0,1919,0,40,0,102,0
1720290530,0,1,2,2,0,861,0,2133,0,813,0,2021,0,48,0,112,0
1720290531,0,2,2,2,0,896,0,2221,0,861,0,2133,0,35,0,88,0
1720290532,0,1,2,2,0,942,0,2329,0,896,0,2221,0,46,0,108,0
1720290533,0,1,2,2,0,994,0,2443,0,942,0,2329,0,52,0,114,0
1720290534,0,2,2,2,0,1041,0,2551,0,994,0,2443,0,47,0,108,0
1720290535,0,2,2,2,0,1080,0,2657,0,1041,0,2551,0,39,0,106,0
1720290536,0,1,2,2,0,1099,0,2771,0,1080,0,2657,0,19,0,114,0
1720290537,0,2,2,2,0,1099,0,2771,0,1099,0,2771,0,0,0,0,0
1720290538,0,9,2,2,0,1157,0,2906,0,1099,0,2771,0,58,0,135,0
1720290539,0,8,2,2,0,1199,0,3004,0,1157,0,2906,0,42,0,98,0
1720290540,0,9,2,2,0,1236,0,3100,0,1199,0,3004,0,37,0,96,0
1720290541,0,8,2,2,0,1277,0,3204,0,1236,0,3100,0,41,0,104,0
1720290542,0,9,2,2,0,1305,0,3278,0,1277,0,3204,0,28,0,74,0
1720290543,0,8,2,2,0,1344,0,3382,0,1305,0,3278,0,39,0,104,0
1720290544,0,9,2,2,0,1383,0,3492,0,1344,0,3382,0,39,0,110,0
1720290545,0,8,2,2,0,1421,0,3588,0,1383,0,3492,0,38,0,96,0
1720290546,0,10,2,2,0,1425,0,3634,0,1421,0,3588,0,4,0,46,0
1720290547,0,10,2,2,0,1453,0,3674,0,1425,0,3634,0,28,0,40,0
1720290548,0,10,2,2,0,1489,0,3764,0,1453,0,3674,0,36,0,90,0
1720290549,0,9,2,2,0,1525,0,3852,0,1489,0,3764,0,36,0,88,0
1720290550,0,9,2,2,0,1559,0,3934,0,1525,0,3852,0,34,0,82,0
1720290551,0,9,2,2,0,1594,0,4024,0,1559,0,3934,0,35,0,90,0
1720290552,0,10,2,2,0,1621,0,4090,0,1594,0,4024,0,27,0,66,0
1720290553,0,10,2,2,0,1659,0,4182,0,1621,0,4090,0,38,0,92,0
1720290554,0,8,2,2,0,1695,0,4270,0,1659,0,4182,0,36,0,88,0
1720290555,0,6,2,2,0,1732,0,4364,0,1695,0,4270,0,37,0,94,0
1720290556,0,6,2,2,0,1748,0,4457,0,1732,0,4364,0,16,0,93,0
1720290557,0,6,2,2,0,1781,0,4517,0,1748,0,4457,0,33,0,60,0
1720290558,0,5,2,2,0,1813,0,4595,0,1781,0,4517,0,32,0,78,0
1720290559,0,5,2,2,0,1853,0,4689,0,1813,0,4595,0,40,0,94,0
1720290560,0,5,2,2,0,1892,0,4787,0,1853,0,4689,0,39,0,98,0
1720290561,0,4,2,2,0,1932,0,4891,0,1892,0,4787,0,40,0,104,0
1720290562,0,4,2,2,0,1973,0,4989,0,1932,0,4891,0,41,0,98,0
1720290563,0,3,2,2,0,2016,0,5089,0,1973,0,4989,0,43,0,100,0
1720290564,0,3,2,2,0,2052,0,5169,0,2016,0,5089,0,36,0,80,0
1720290565,0,4,2,2,0,2097,0,5277,0,2052,0,5169,0,45,0,108,0
1720290566,0,4,2,2,0,2116,0,5385,0,2097,0,5277,0,19,0,108,0
1720290567,0,4,2,2,0,2116,0,5385,0,2116,0,5385,0,0,0,0,0
1720290568,0,4,2,2,0,2176,0,5526,0,2116,0,5385,0,60,0,141,0
1720290569,0,4,2,2,0,2208,0,5604,0,2176,0,5526,0,32,0,78,0
1720290570,0,6,2,2,0,2254,0,5716,0,2208,0,5604,0,46,0,112,0
1720290571,0,6,2,2,0,2297,0,5820,0,2254,0,5716,0,43,0,104,0
1720290572,0,6,2,2,0,2337,0,5926,0,2297,0,5820,0,40,0,106,0
1720290573,0,5,2,2,0,2384,0,6040,0,2337,0,5926,0,47,0,114,0
1720290574,0,3,2,2,0,2436,0,6164,0,2384,0,6040,0,52,0,124,0
1720290575,0,3,2,2,0,2453,0,6202,0,2436,0,6164,0,17,0,38,0
1720290576,0,3,2,2,0,2470,0,6275,0,2453,0,6202,0,17,0,73,0
1720290577,0,3,2,2,0,2507,0,6333,0,2470,0,6275,0,37,0,58,0
1720290578,0,3,2,2,0,2544,0,6425,0,2507,0,6333,0,37,0,92,0
1720290579,0,3,2,2,0,2591,0,6529,0,2544,0,6425,0,47,0,104,0
1720290580,0,1,2,2,0,2634,0,6631,0,2591,0,6529,0,43,0,102,0
1720290581,0,1,2,2,0,2699,0,6773,0,2634,0,6631,0,65,0,142,0
1720290582,0,1,2,2,0,2735,0,6845,0,2699,0,6773,0,36,0,72,0
1720290583,0,1,2,2,0,2741,0,6857,0,2735,0,6845,0,6,0,12,0
1720290584,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
1720290585,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
1720290586,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
1720290587,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
1720290588,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
1720290589,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
1720290590,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
1720290591,0,1,2,2,0,2741,0,6857,0,2741,0,6857,0,0,0,0,0
