"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720291295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720291296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720291297,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720291298,0,1,0,0,0,13,0,34,0,0,0,2,0,13,0,32,0
1720291299,0,2,0,0,0,71,0,213,0,13,0,34,0,58,0,179,0
1720291300,0,3,0,0,0,132,0,335,0,71,0,213,0,61,0,122,0
1720291301,0,3,0,0,0,192,0,455,0,132,0,335,0,60,0,120,0
1720291302,0,3,0,0,0,238,0,545,0,192,0,455,0,46,0,90,0
1720291303,0,4,1,0,0,295,0,659,0,238,0,545,0,57,0,114,0
1720291304,0,7,1,0,0,348,0,766,0,295,0,659,0,53,0,107,0
1720291305,0,8,1,0,0,403,0,876,0,348,0,766,0,55,0,110,0
1720291306,0,9,1,1,0,459,0,988,0,403,0,876,0,56,0,112,0
1720291307,0,11,2,1,0,496,0,1105,0,459,0,988,0,37,0,117,0
1720291308,0,8,2,1,0,542,0,1180,0,496,0,1105,0,46,0,75,0
1720291309,0,8,2,1,0,584,0,1264,0,542,0,1180,0,42,0,84,0
1720291310,0,11,2,1,0,636,0,1368,0,584,0,1264,0,52,0,104,0
1720291311,0,12,2,1,0,688,0,1472,0,636,0,1368,0,52,0,104,0
1720291312,0,11,2,1,0,742,0,1580,0,688,0,1472,0,54,0,108,0
1720291313,0,8,2,1,0,798,0,1692,0,742,0,1580,0,56,0,112,0
1720291314,0,8,2,1,0,840,0,1776,0,798,0,1692,0,42,0,84,0
1720291315,0,8,2,1,0,895,0,1886,0,840,0,1776,0,55,0,110,0
1720291316,0,7,2,1,0,950,0,1996,0,895,0,1886,0,55,0,110,0
1720291317,0,8,2,1,0,971,0,2092,0,950,0,1996,0,21,0,96,0
1720291318,0,2,2,1,0,1000,0,2171,0,971,0,2092,0,29,0,79,0
1720291319,0,2,2,1,0,1068,0,2305,0,1000,0,2171,0,68,0,134,0
1720291320,0,2,2,1,0,1118,0,2407,0,1068,0,2305,0,50,0,102,0
1720291321,0,2,2,1,0,1184,0,2539,0,1118,0,2407,0,66,0,132,0
1720291322,0,3,2,1,0,1247,0,2665,0,1184,0,2539,0,63,0,126,0
1720291323,0,1,2,1,0,1311,0,2793,0,1247,0,2665,0,64,0,128,0
1720291324,0,1,2,1,0,1374,0,2919,0,1311,0,2793,0,63,0,126,0
1720291325,0,10,2,1,0,1436,0,3041,0,1374,0,2919,0,62,0,122,0
1720291326,0,10,2,1,0,1497,0,3163,0,1436,0,3041,0,61,0,122,0
1720291327,0,10,2,1,0,1549,0,3263,0,1497,0,3163,0,52,0,100,0
1720291328,0,10,2,1,0,1595,0,3355,0,1549,0,3263,0,46,0,92,0
1720291329,0,10,2,1,0,1656,0,3477,0,1595,0,3355,0,61,0,122,0
1720291330,0,10,2,1,0,1718,0,3601,0,1656,0,3477,0,62,0,124,0
1720291331,0,10,2,1,0,1737,0,3635,0,1718,0,3601,0,19,0,34,0
1720291332,0,10,2,1,0,1774,0,3699,0,1737,0,3635,0,37,0,64,0
1720291333,0,10,2,1,0,1814,0,3779,0,1774,0,3699,0,40,0,80,0
1720291334,0,11,2,1,0,1867,0,3883,0,1814,0,3779,0,53,0,104,0
1720291335,0,10,2,1,0,1919,0,3987,0,1867,0,3883,0,52,0,104,0
1720291336,0,11,2,1,0,1969,0,4087,0,1919,0,3987,0,50,0,100,0
1720291337,0,10,2,1,0,1985,0,4170,0,1969,0,4087,0,16,0,83,0
1720291338,0,11,2,1,0,2020,0,4218,0,1985,0,4170,0,35,0,48,0
1720291339,0,11,2,1,0,2071,0,4320,0,2020,0,4218,0,51,0,102,0
1720291340,0,7,2,1,0,2125,0,4428,0,2071,0,4320,0,54,0,108,0
1720291341,0,6,2,1,0,2177,0,4532,0,2125,0,4428,0,52,0,104,0
1720291342,0,6,2,1,0,2231,0,4640,0,2177,0,4532,0,54,0,108,0
1720291343,0,6,2,1,0,2285,0,4748,0,2231,0,4640,0,54,0,108,0
1720291344,0,6,2,1,0,2340,0,4858,0,2285,0,4748,0,55,0,110,0
1720291345,0,5,2,1,0,2395,0,4968,0,2340,0,4858,0,55,0,110,0
1720291346,0,5,2,1,0,2440,0,5058,0,2395,0,4968,0,45,0,90,0
1720291347,0,4,2,1,0,2465,0,5163,0,2440,0,5058,0,25,0,105,0
1720291348,0,4,2,1,0,2503,0,5241,0,2465,0,5163,0,38,0,78,0
1720291349,0,4,2,1,0,2561,0,5355,0,2503,0,5241,0,58,0,114,0
1720291350,0,4,2,1,0,2618,0,5469,0,2561,0,5355,0,57,0,114,0
1720291351,0,4,2,1,0,2673,0,5579,0,2618,0,5469,0,55,0,110,0
1720291352,0,4,2,1,0,2730,0,5693,0,2673,0,5579,0,57,0,114,0
1720291353,0,4,2,1,0,2786,0,5807,0,2730,0,5693,0,56,0,114,0
1720291354,0,7,2,1,0,2827,0,5887,0,2786,0,5807,0,41,0,80,0
1720291355,0,7,2,1,0,2880,0,5993,0,2827,0,5887,0,53,0,106,0
1720291356,0,7,2,1,0,2934,0,6101,0,2880,0,5993,0,54,0,108,0
1720291357,0,4,2,1,0,2980,0,6223,0,2934,0,6101,0,46,0,122,0
1720291358,0,3,2,1,0,3005,0,6251,0,2980,0,6223,0,25,0,28,0
1720291359,0,4,2,1,0,3070,0,6403,0,3005,0,6251,0,65,0,152,0
1720291360,0,4,2,1,0,3132,0,6527,0,3070,0,6403,0,62,0,124,0
