"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720290163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720290164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720290165,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720290166,0,1,0,0,0,18,0,79,0,0,0,2,0,18,0,77,0
1720290167,0,1,0,0,0,61,0,187,0,18,0,79,0,43,0,108,0
1720290168,0,2,0,0,0,122,0,309,0,61,0,187,0,61,0,122,0
1720290169,0,2,0,0,0,180,0,425,0,122,0,309,0,58,0,116,0
1720290170,0,3,0,0,0,241,0,547,0,180,0,425,0,61,0,122,0
1720290171,0,4,1,0,0,298,0,659,0,241,0,547,0,57,0,112,0
1720290172,0,6,1,0,0,353,0,770,0,298,0,659,0,55,0,111,0
1720290173,0,9,1,0,0,404,0,872,0,353,0,770,0,51,0,102,0
1720290174,0,9,1,0,0,444,0,952,0,404,0,872,0,40,0,80,0
1720290175,0,8,2,1,0,490,0,1083,0,444,0,952,0,46,0,131,0
1720290176,0,11,2,1,0,530,0,1144,0,490,0,1083,0,40,0,61,0
1720290177,0,9,2,1,0,583,0,1250,0,530,0,1144,0,53,0,106,0
1720290178,0,10,2,1,0,634,0,1352,0,583,0,1250,0,51,0,102,0
1720290179,0,12,2,1,0,686,0,1456,0,634,0,1352,0,52,0,104,0
1720290180,0,11,2,1,0,727,0,1538,0,686,0,1456,0,41,0,82,0
1720290181,0,8,2,1,0,782,0,1648,0,727,0,1538,0,55,0,110,0
1720290182,0,8,2,1,0,837,0,1758,0,782,0,1648,0,55,0,110,0
1720290183,0,7,2,1,0,891,0,1866,0,837,0,1758,0,54,0,108,0
1720290184,0,7,2,1,0,944,0,1972,0,891,0,1866,0,53,0,106,0
1720290185,0,8,2,1,0,969,0,2076,0,944,0,1972,0,25,0,104,0
1720290186,0,3,2,1,0,969,0,2076,0,969,0,2076,0,0,0,0,0
1720290187,0,2,2,1,0,1044,0,2247,0,969,0,2076,0,75,0,171,0
1720290188,0,2,2,1,0,1109,0,2377,0,1044,0,2247,0,65,0,130,0
1720290189,0,1,2,1,0,1173,0,2505,0,1109,0,2377,0,64,0,128,0
1720290190,0,2,2,1,0,1237,0,2631,0,1173,0,2505,0,64,0,126,0
1720290191,0,1,2,1,0,1300,0,2759,0,1237,0,2631,0,63,0,128,0
1720290192,0,1,2,1,0,1365,0,2889,0,1300,0,2759,0,65,0,130,0
1720290193,0,7,2,1,0,1412,0,2981,0,1365,0,2889,0,47,0,92,0
1720290194,0,10,2,1,0,1475,0,3107,0,1412,0,2981,0,63,0,126,0
1720290195,0,9,2,1,0,1529,0,3215,0,1475,0,3107,0,54,0,108,0
1720290196,0,10,2,1,0,1587,0,3325,0,1529,0,3215,0,58,0,110,0
1720290197,0,10,2,1,0,1651,0,3453,0,1587,0,3325,0,64,0,128,0
1720290198,0,10,2,1,0,1696,0,3543,0,1651,0,3453,0,45,0,90,0
1720290199,0,10,2,1,0,1754,0,3659,0,1696,0,3543,0,58,0,116,0
1720290200,0,11,2,1,0,1765,0,3675,0,1754,0,3659,0,11,0,16,0
1720290201,0,10,2,1,0,1787,0,3751,0,1765,0,3675,0,22,0,76,0
1720290202,0,10,2,1,0,1841,0,3859,0,1787,0,3751,0,54,0,108,0
1720290203,0,11,2,1,0,1893,0,3961,0,1841,0,3859,0,52,0,102,0
1720290204,0,11,2,1,0,1931,0,4037,0,1893,0,3961,0,38,0,76,0
1720290205,0,11,2,1,0,1959,0,4146,0,1931,0,4037,0,28,0,109,0
1720290206,0,11,2,1,0,1995,0,4194,0,1959,0,4146,0,36,0,48,0
1720290207,0,11,2,1,0,2046,0,4296,0,1995,0,4194,0,51,0,102,0
1720290208,0,8,2,1,0,2102,0,4408,0,2046,0,4296,0,56,0,112,0
1720290209,0,7,2,1,0,2156,0,4516,0,2102,0,4408,0,54,0,108,0
1720290210,0,6,2,1,0,2196,0,4596,0,2156,0,4516,0,40,0,80,0
1720290211,0,6,2,1,0,2249,0,4702,0,2196,0,4596,0,53,0,106,0
1720290212,0,5,2,1,0,2303,0,4810,0,2249,0,4702,0,54,0,108,0
1720290213,0,5,2,1,0,2358,0,4920,0,2303,0,4810,0,55,0,110,0
1720290214,0,4,2,1,0,2413,0,5030,0,2358,0,4920,0,55,0,110,0
1720290215,0,4,2,1,0,2435,0,5136,0,2413,0,5030,0,22,0,106,0
1720290216,0,4,2,1,0,2479,0,5224,0,2435,0,5136,0,44,0,88,0
1720290217,0,4,2,1,0,2522,0,5312,0,2479,0,5224,0,43,0,88,0
1720290218,0,4,2,1,0,2582,0,5430,0,2522,0,5312,0,60,0,118,0
1720290219,0,5,2,1,0,2640,0,5546,0,2582,0,5430,0,58,0,116,0
1720290220,0,4,2,1,0,2698,0,5662,0,2640,0,5546,0,58,0,116,0
1720290221,0,4,2,1,0,2756,0,5778,0,2698,0,5662,0,58,0,116,0
1720290222,0,7,2,1,0,2812,0,5890,0,2756,0,5778,0,56,0,112,0
1720290223,0,8,2,1,0,2864,0,5994,0,2812,0,5890,0,52,0,104,0
1720290224,0,7,2,1,0,2904,0,6074,0,2864,0,5994,0,40,0,80,0
1720290225,0,5,2,1,0,2963,0,6218,0,2904,0,6074,0,59,0,144,0
1720290226,0,3,2,1,0,2985,0,6244,0,2963,0,6218,0,22,0,26,0
1720290227,0,4,2,1,0,3050,0,6394,0,2985,0,6244,0,65,0,150,0
1720290228,0,4,2,1,0,3115,0,6524,0,3050,0,6394,0,65,0,130,0
1720290229,0,4,2,1,0,3179,0,6650,0,3115,0,6524,0,64,0,126,0
1720290230,0,3,2,1,0,3225,0,6744,0,3179,0,6650,0,46,0,94,0
1720290231,0,1,2,1,0,3287,0,6868,0,3225,0,6744,0,62,0,124,0
1720290232,0,1,2,1,0,3351,0,6996,0,3287,0,6868,0,64,0,128,0
1720290233,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290234,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290235,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290236,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290237,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290238,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290239,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290240,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
1720290241,0,1,2,1,0,3351,0,6996,0,3351,0,6996,0,0,0,0,0
