"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720430183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720430184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720430185,0,1,0,0,0,6,0,12,0,0,0,0,0,6,0,12,0
1720430186,0,4,0,0,0,57,0,130,0,6,0,12,0,51,0,118,0
1720430187,0,5,1,0,0,91,0,204,0,57,0,130,0,34,0,74,0
1720430188,0,5,1,0,0,104,0,266,0,91,0,204,0,13,0,62,0
1720430189,0,8,1,0,0,157,0,416,0,104,0,266,0,53,0,150,0
1720430190,0,10,2,0,0,217,0,536,0,157,0,416,0,60,0,120,0
1720430191,0,12,2,0,0,269,0,639,0,217,0,536,0,52,0,103,0
1720430192,0,18,2,0,0,320,0,739,0,269,0,639,0,51,0,100,0
1720430193,0,18,3,0,0,357,0,811,0,320,0,739,0,37,0,72,0
1720430194,0,19,3,0,0,403,0,908,0,357,0,811,0,46,0,97,0
1720430195,0,18,3,1,0,434,0,986,0,403,0,908,0,31,0,78,0
1720430196,0,20,3,1,0,465,0,1050,0,434,0,986,0,31,0,64,0
1720430197,0,18,3,1,0,517,0,1132,0,465,0,1050,0,52,0,82,0
1720430198,0,12,3,1,0,562,0,1220,0,517,0,1132,0,45,0,88,0
1720430199,0,11,3,1,0,616,0,1358,0,562,0,1220,0,54,0,138,0
1720430200,0,10,3,1,0,676,0,1480,0,616,0,1358,0,60,0,122,0
1720430201,0,11,3,1,0,732,0,1600,0,676,0,1480,0,56,0,120,0
1720430202,0,13,3,1,0,790,0,1708,0,732,0,1600,0,58,0,108,0
1720430203,0,11,3,1,0,848,0,1812,0,790,0,1708,0,58,0,104,0
1720430204,0,9,3,1,0,891,0,1900,0,848,0,1812,0,43,0,88,0
1720430205,0,11,3,1,0,911,0,1995,0,891,0,1900,0,20,0,95,0
1720430206,0,5,3,1,0,945,0,2100,0,911,0,1995,0,34,0,105,0
1720430207,0,5,3,1,0,1011,0,2268,0,945,0,2100,0,66,0,168,0
1720430208,0,5,3,1,0,1078,0,2434,0,1011,0,2268,0,67,0,166,0
1720430209,0,6,3,1,0,1144,0,2574,0,1078,0,2434,0,66,0,140,0
1720430210,0,3,3,1,0,1210,0,2734,0,1144,0,2574,0,66,0,160,0
1720430211,0,13,3,1,0,1261,0,2842,0,1210,0,2734,0,51,0,108,0
1720430212,0,18,3,1,0,1312,0,2916,0,1261,0,2842,0,51,0,74,0
1720430213,0,20,3,1,0,1326,0,2979,0,1312,0,2916,0,14,0,63,0
1720430214,0,21,3,1,0,1340,0,3043,0,1326,0,2979,0,14,0,64,0
1720430215,0,19,3,1,0,1342,0,3055,0,1340,0,3043,0,2,0,12,0
1720430216,0,19,3,1,0,1364,0,3063,0,1342,0,3055,0,22,0,8,0
1720430217,0,12,3,1,0,1392,0,3125,0,1364,0,3063,0,28,0,62,0
1720430218,0,11,3,1,0,1411,0,3211,0,1392,0,3125,0,19,0,86,0
1720430219,0,12,3,1,0,1429,0,3302,0,1411,0,3211,0,18,0,91,0
1720430220,0,10,3,1,0,1453,0,3402,0,1429,0,3302,0,24,0,100,0
1720430221,0,8,3,1,0,1471,0,3495,0,1453,0,3402,0,18,0,93,0
1720430222,0,10,3,1,0,1514,0,3587,0,1471,0,3495,0,43,0,92,0
1720430223,0,10,3,1,0,1535,0,3663,0,1514,0,3587,0,21,0,76,0
1720430224,0,11,3,1,0,1555,0,3755,0,1535,0,3663,0,20,0,92,0
1720430225,0,11,3,1,0,1565,0,3824,0,1555,0,3755,0,10,0,69,0
1720430226,0,11,3,1,0,1603,0,3914,0,1565,0,3824,0,38,0,90,0
1720430227,0,10,3,1,0,1658,0,4014,0,1603,0,3914,0,55,0,100,0
