"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720430537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720430538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720430541,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720430542,0,11,1,0,0,22,0,138,0,0,0,2,0,22,0,136,0
1720430543,0,8,1,0,0,50,0,254,0,22,0,138,0,28,0,116,0
1720430544,0,10,2,0,0,79,0,356,0,50,0,254,0,29,0,102,0
1720430545,0,10,2,0,0,102,0,431,0,79,0,356,0,23,0,75,0
1720430546,0,13,2,0,0,129,0,507,0,102,0,431,0,27,0,76,0
1720430547,0,16,3,0,0,157,0,593,0,129,0,507,0,28,0,86,0
1720430548,0,17,3,2,0,177,0,651,0,157,0,593,0,20,0,58,0
1720430549,0,17,3,2,0,177,0,651,0,177,0,651,0,0,0,0,0
1720430550,0,21,3,2,0,193,0,717,0,177,0,651,0,16,0,66,0
1720430551,0,17,3,2,0,221,0,795,0,193,0,717,0,28,0,78,0
1720430552,0,15,3,2,0,248,0,871,0,221,0,795,0,27,0,76,0
1720430553,0,10,3,2,0,261,0,950,0,248,0,871,0,13,0,79,0
1720430554,0,12,3,2,0,277,0,1044,0,261,0,950,0,16,0,94,0
1720430555,0,8,3,2,0,300,0,1139,0,277,0,1044,0,23,0,95,0
1720430556,0,9,3,2,0,325,0,1245,0,300,0,1139,0,25,0,106,0
1720430557,0,10,3,2,0,356,0,1339,0,325,0,1245,0,31,0,94,0
1720430558,0,9,3,2,0,384,0,1417,0,356,0,1339,0,28,0,78,0
1720430559,0,8,3,2,0,400,0,1498,0,384,0,1417,0,16,0,81,0
1720430560,0,11,3,2,0,426,0,1566,0,400,0,1498,0,26,0,68,0
1720430561,0,9,3,2,0,447,0,1638,0,426,0,1566,0,21,0,72,0
1720430562,0,5,3,2,0,467,0,1731,0,447,0,1638,0,20,0,93,0
1720430563,0,5,3,2,0,493,0,1872,0,467,0,1731,0,26,0,141,0
1720430564,0,4,3,2,0,513,0,1999,0,493,0,1872,0,20,0,127,0
1720430565,0,4,3,2,0,546,0,2155,0,513,0,1999,0,33,0,156,0
1720430566,0,5,3,2,0,579,0,2265,0,546,0,2155,0,33,0,110,0
1720430567,0,2,3,2,0,603,0,2379,0,579,0,2265,0,24,0,114,0
1720430568,0,1,3,2,0,636,0,2503,0,603,0,2379,0,33,0,124,0
1720430569,0,16,3,2,0,666,0,2579,0,636,0,2503,0,30,0,76,0
1720430570,0,18,3,2,0,688,0,2627,0,666,0,2579,0,22,0,48,0
1720430571,0,15,3,2,0,716,0,2685,0,688,0,2627,0,28,0,58,0
1720430572,0,17,3,2,0,726,0,2730,0,716,0,2685,0,10,0,45,0
1720430573,0,17,3,2,0,741,0,2780,0,726,0,2730,0,15,0,50,0
1720430574,0,18,3,2,0,756,0,2840,0,741,0,2780,0,15,0,60,0
1720430575,0,11,3,2,0,770,0,2905,0,756,0,2840,0,14,0,65,0
1720430576,0,8,3,2,0,786,0,2987,0,770,0,2905,0,16,0,82,0
1720430577,0,6,3,2,0,808,0,3080,0,786,0,2987,0,22,0,93,0
1720430578,0,12,3,2,0,827,0,3170,0,808,0,3080,0,19,0,90,0
1720430579,0,10,3,2,0,835,0,3225,0,827,0,3170,0,8,0,55,0
1720430580,0,9,3,2,0,835,0,3225,0,835,0,3225,0,0,0,0,0
1720430581,0,10,3,2,0,835,0,3225,0,835,0,3225,0,0,0,0,0
1720430582,0,7,3,2,0,887,0,3251,0,835,0,3225,0,52,0,26,0
1720430583,0,10,3,2,0,902,0,3346,0,887,0,3251,0,15,0,95,0
1720430584,0,10,3,2,0,916,0,3413,0,902,0,3346,0,14,0,67,0
1720430585,0,10,3,2,0,931,0,3498,0,916,0,3413,0,15,0,85,0
1720430586,0,10,3,2,0,947,0,3587,0,931,0,3498,0,16,0,89,0
1720430587,0,9,3,2,0,964,0,3675,0,947,0,3587,0,17,0,88,0
1720430588,0,9,3,2,0,978,0,3753,0,964,0,3675,0,14,0,78,0
1720430589,0,9,3,2,0,992,0,3836,0,978,0,3753,0,14,0,83,0
1720430590,0,9,3,2,0,996,0,3864,0,992,0,3836,0,4,0,28,0
1720430591,0,8,3,2,0,996,0,3864,0,996,0,3864,0,0,0,0,0
1720430592,0,8,3,2,0,1036,0,3935,0,996,0,3864,0,40,0,71,0
1720430593,0,8,3,2,0,1050,0,4012,0,1036,0,3935,0,14,0,77,0
1720430594,0,7,3,2,0,1063,0,4092,0,1050,0,4012,0,13,0,80,0
1720430595,0,8,3,2,0,1077,0,4178,0,1063,0,4092,0,14,0,86,0
1720430596,0,8,3,2,0,1093,0,4273,0,1077,0,4178,0,16,0,95,0
1720430597,0,8,3,2,0,1103,0,4342,0,1093,0,4273,0,10,0,69,0
1720430598,0,8,3,2,0,1117,0,4421,0,1103,0,4342,0,14,0,79,0
1720430599,0,7,3,2,0,1131,0,4502,0,1117,0,4421,0,14,0,81,0
1720430600,0,10,3,2,0,1137,0,4549,0,1131,0,4502,0,6,0,47,0
1720430601,0,11,3,2,0,1168,0,4583,0,1137,0,4549,0,31,0,34,0
1720430602,0,11,3,2,0,1183,0,4666,0,1168,0,4583,0,15,0,83,0
1720430603,0,10,3,2,0,1197,0,4733,0,1183,0,4666,0,14,0,67,0
1720430604,0,10,3,2,0,1211,0,4804,0,1197,0,4733,0,14,0,71,0
1720430605,0,7,3,2,0,1225,0,4876,0,1211,0,4804,0,14,0,72,0
1720430606,0,8,3,2,0,1249,0,4987,0,1225,0,4876,0,24,0,111,0
1720430607,0,8,3,2,0,1265,0,5088,0,1249,0,4987,0,16,0,101,0
1720430608,0,8,3,2,0,1277,0,5163,0,1265,0,5088,0,12,0,75,0
1720430609,0,8,3,2,0,1291,0,5257,0,1277,0,5163,0,14,0,94,0
1720430610,0,9,3,2,0,1291,0,5257,0,1291,0,5257,0,0,0,0,0
1720430611,0,6,3,2,0,1330,0,5307,0,1291,0,5257,0,39,0,50,0
1720430612,0,6,3,2,0,1367,0,5407,0,1330,0,5307,0,37,0,100,0
1720430613,0,6,3,2,0,1417,0,5581,0,1367,0,5407,0,50,0,174,0
1720430614,0,6,3,2,0,1425,0,5603,0,1417,0,5581,0,8,0,22,0
1720430615,0,6,3,2,0,1425,0,5603,0,1425,0,5603,0,0,0,0,0
1720430616,0,6,3,2,0,1425,0,5603,0,1425,0,5603,0,0,0,0,0
1720430617,0,6,3,2,0,1425,0,5603,0,1425,0,5603,0,0,0,0,0
1720430618,0,6,3,2,0,1425,0,5603,0,1425,0,5603,0,0,0,0,0
1720430619,0,6,3,2,0,1425,0,5603,0,1425,0,5603,0,0,0,0,0
1720430620,0,6,3,2,0,1425,0,5603,0,1425,0,5603,0,0,0,0,0
1720430621,0,6,3,2,0,1425,0,5603,0,1425,0,5603,0,0,0,0,0
