"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720430872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720430873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720430876,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720430877,0,13,1,0,0,21,0,140,0,0,0,2,0,21,0,138,0
1720430878,0,9,1,0,0,45,0,272,0,21,0,140,0,24,0,132,0
1720430879,0,11,2,0,0,74,0,378,0,45,0,272,0,29,0,106,0
1720430880,0,12,2,0,0,105,0,483,0,74,0,378,0,31,0,105,0
1720430881,0,15,2,0,0,133,0,561,0,105,0,483,0,28,0,78,0
1720430882,0,15,3,0,0,152,0,623,0,133,0,561,0,19,0,62,0
1720430883,0,16,3,2,0,175,0,681,0,152,0,623,0,23,0,58,0
1720430884,0,21,3,2,0,175,0,681,0,175,0,681,0,0,0,0,0
1720430885,0,18,3,2,0,197,0,749,0,175,0,681,0,22,0,68,0
1720430886,0,15,3,2,0,222,0,817,0,197,0,749,0,25,0,68,0
1720430887,0,7,3,2,0,239,0,886,0,222,0,817,0,17,0,69,0
1720430888,0,7,3,2,0,253,0,954,0,239,0,886,0,14,0,68,0
1720430889,0,11,3,2,0,288,0,1092,0,253,0,954,0,35,0,138,0
1720430890,0,7,3,2,0,309,0,1166,0,288,0,1092,0,21,0,74,0
1720430891,0,10,3,2,0,341,0,1276,0,309,0,1166,0,32,0,110,0
1720430892,0,10,3,2,0,369,0,1374,0,341,0,1276,0,28,0,98,0
1720430893,0,10,3,2,0,399,0,1451,0,369,0,1374,0,30,0,77,0
1720430894,0,10,3,2,0,409,0,1529,0,399,0,1451,0,10,0,78,0
1720430895,0,10,3,2,0,442,0,1615,0,409,0,1529,0,33,0,86,0
1720430896,0,10,3,2,0,464,0,1683,0,442,0,1615,0,22,0,68,0
1720430897,0,4,3,2,0,486,0,1777,0,464,0,1683,0,22,0,94,0
1720430898,0,5,3,2,0,515,0,1945,0,486,0,1777,0,29,0,168,0
1720430899,0,4,3,2,0,548,0,2079,0,515,0,1945,0,33,0,134,0
1720430900,0,4,3,2,0,581,0,2209,0,548,0,2079,0,33,0,130,0
1720430901,0,6,3,2,0,614,0,2319,0,581,0,2209,0,33,0,110,0
1720430902,0,2,3,2,0,649,0,2481,0,614,0,2319,0,35,0,162,0
1720430903,0,4,3,2,0,677,0,2589,0,649,0,2481,0,28,0,108,0
1720430904,0,15,3,2,0,700,0,2639,0,677,0,2589,0,23,0,50,0
1720430905,0,14,3,2,0,723,0,2701,0,700,0,2639,0,23,0,62,0
1720430906,0,15,3,2,0,749,0,2761,0,723,0,2701,0,26,0,60,0
1720430907,0,19,3,2,0,769,0,2809,0,749,0,2761,0,20,0,48,0
1720430908,0,17,3,2,0,792,0,2870,0,769,0,2809,0,23,0,61,0
1720430909,0,17,3,2,0,807,0,2930,0,792,0,2870,0,15,0,60,0
1720430910,0,9,3,2,0,819,0,2981,0,807,0,2930,0,12,0,51,0
1720430911,0,11,3,2,0,840,0,3076,0,819,0,2981,0,21,0,95,0
1720430912,0,10,3,2,0,859,0,3176,0,840,0,3076,0,19,0,100,0
1720430913,0,9,3,2,0,875,0,3271,0,859,0,3176,0,16,0,95,0
1720430914,0,10,3,2,0,883,0,3318,0,875,0,3271,0,8,0,47,0
1720430915,0,10,3,2,0,883,0,3318,0,883,0,3318,0,0,0,0,0
1720430916,0,10,3,2,0,883,0,3318,0,883,0,3318,0,0,0,0,0
1720430917,0,9,3,2,0,932,0,3340,0,883,0,3318,0,49,0,22,0
1720430918,0,10,3,2,0,945,0,3418,0,932,0,3340,0,13,0,78,0
1720430919,0,10,3,2,0,960,0,3499,0,945,0,3418,0,15,0,81,0
1720430920,0,10,3,2,0,975,0,3571,0,960,0,3499,0,15,0,72,0
1720430921,0,9,3,2,0,990,0,3653,0,975,0,3571,0,15,0,82,0
1720430922,0,10,3,2,0,1006,0,3738,0,990,0,3653,0,16,0,85,0
1720430923,0,10,3,2,0,1019,0,3821,0,1006,0,3738,0,13,0,83,0
1720430924,0,9,3,2,0,1030,0,3882,0,1019,0,3821,0,11,0,61,0
1720430925,0,9,3,2,0,1040,0,3948,0,1030,0,3882,0,10,0,66,0
1720430926,0,8,3,2,0,1040,0,3948,0,1040,0,3948,0,0,0,0,0
1720430927,0,7,3,2,0,1082,0,4022,0,1040,0,3948,0,42,0,74,0
1720430928,0,8,3,2,0,1095,0,4105,0,1082,0,4022,0,13,0,83,0
1720430929,0,8,3,2,0,1109,0,4198,0,1095,0,4105,0,14,0,93,0
1720430930,0,8,3,2,0,1123,0,4278,0,1109,0,4198,0,14,0,80,0
1720430931,0,8,3,2,0,1134,0,4340,0,1123,0,4278,0,11,0,62,0
1720430932,0,8,3,2,0,1151,0,4444,0,1134,0,4340,0,17,0,104,0
1720430933,0,7,3,2,0,1165,0,4531,0,1151,0,4444,0,14,0,87,0
1720430934,0,8,3,2,0,1178,0,4619,0,1165,0,4531,0,13,0,88,0
1720430935,0,9,3,2,0,1185,0,4664,0,1178,0,4619,0,7,0,45,0
1720430936,0,9,3,2,0,1206,0,4676,0,1185,0,4664,0,21,0,12,0
1720430937,0,9,3,2,0,1240,0,4794,0,1206,0,4676,0,34,0,118,0
1720430938,0,10,3,2,0,1256,0,4867,0,1240,0,4794,0,16,0,73,0
1720430939,0,10,3,2,0,1269,0,4934,0,1256,0,4867,0,13,0,67,0
1720430940,0,8,3,2,0,1284,0,5010,0,1269,0,4934,0,15,0,76,0
1720430941,0,8,3,2,0,1301,0,5100,0,1284,0,5010,0,17,0,90,0
1720430942,0,7,3,2,0,1324,0,5219,0,1301,0,5100,0,23,0,119,0
1720430943,0,7,3,2,0,1342,0,5312,0,1324,0,5219,0,18,0,93,0
1720430944,0,8,3,2,0,1355,0,5401,0,1342,0,5312,0,13,0,89,0
1720430945,0,7,3,2,0,1355,0,5401,0,1355,0,5401,0,0,0,0,0
1720430946,0,7,3,2,0,1400,0,5465,0,1355,0,5401,0,45,0,64,0
1720430947,0,7,3,2,0,1432,0,5567,0,1400,0,5465,0,32,0,102,0
1720430948,0,7,3,2,0,1472,0,5705,0,1432,0,5567,0,40,0,138,0
1720430949,0,7,3,2,0,1494,0,5767,0,1472,0,5705,0,22,0,62,0
1720430950,0,7,3,2,0,1494,0,5767,0,1494,0,5767,0,0,0,0,0
1720430951,0,7,3,2,0,1494,0,5767,0,1494,0,5767,0,0,0,0,0
1720430952,0,7,3,2,0,1494,0,5767,0,1494,0,5767,0,0,0,0,0
1720430953,0,7,3,2,0,1494,0,5767,0,1494,0,5767,0,0,0,0,0
1720430954,0,7,3,2,0,1494,0,5767,0,1494,0,5767,0,0,0,0,0
1720430955,0,7,3,2,0,1494,0,5767,0,1494,0,5767,0,0,0,0,0
1720430956,0,7,3,2,0,1494,0,5767,0,1494,0,5767,0,0,0,0,0
