"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720431034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720431035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720431036,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720431037,0,1,0,0,0,42,0,102,0,0,0,2,0,42,0,100,0
1720431038,0,4,1,0,0,102,0,198,0,42,0,102,0,60,0,96,0
1720431039,0,5,1,0,0,122,0,278,0,102,0,198,0,20,0,80,0
1720431040,0,8,1,0,0,164,0,417,0,122,0,278,0,42,0,139,0
1720431041,0,9,2,0,0,221,0,535,0,164,0,417,0,57,0,118,0
1720431042,0,12,2,0,0,276,0,646,0,221,0,535,0,55,0,111,0
1720431043,0,16,2,0,0,313,0,718,0,276,0,646,0,37,0,72,0
1720431044,0,18,3,0,0,361,0,812,0,313,0,718,0,48,0,94,0
1720431045,0,19,3,0,0,405,0,899,0,361,0,812,0,44,0,87,0
1720431046,0,19,3,1,0,436,0,981,0,405,0,899,0,31,0,82,0
1720431047,0,20,3,1,0,463,0,1035,0,436,0,981,0,27,0,54,0
1720431048,0,19,3,1,0,497,0,1105,0,463,0,1035,0,34,0,70,0
1720431049,0,9,3,1,0,554,0,1219,0,497,0,1105,0,57,0,114,0
1720431050,0,7,3,1,0,604,0,1317,0,554,0,1219,0,50,0,98,0
1720431051,0,15,3,1,0,669,0,1457,0,604,0,1317,0,65,0,140,0
1720431052,0,10,3,1,0,728,0,1581,0,669,0,1457,0,59,0,124,0
1720431053,0,11,3,1,0,771,0,1657,0,728,0,1581,0,43,0,76,0
1720431054,0,12,3,1,0,836,0,1787,0,771,0,1657,0,65,0,130,0
1720431055,0,10,3,1,0,882,0,1867,0,836,0,1787,0,46,0,80,0
1720431056,0,12,3,1,0,906,0,1962,0,882,0,1867,0,24,0,95,0
1720431057,0,5,3,1,0,928,0,2042,0,906,0,1962,0,22,0,80,0
1720431058,0,5,3,1,0,983,0,2202,0,928,0,2042,0,55,0,160,0
1720431059,0,4,3,1,0,1051,0,2372,0,983,0,2202,0,68,0,170,0
1720431060,0,7,3,1,0,1117,0,2522,0,1051,0,2372,0,66,0,150,0
1720431061,0,3,3,1,0,1184,0,2678,0,1117,0,2522,0,67,0,156,0
1720431062,0,6,3,1,0,1240,0,2798,0,1184,0,2678,0,56,0,120,0
1720431063,0,20,3,1,0,1306,0,2900,0,1240,0,2798,0,66,0,102,0
1720431064,0,18,3,1,0,1321,0,2950,0,1306,0,2900,0,15,0,50,0
1720431065,0,17,3,1,0,1332,0,3001,0,1321,0,2950,0,11,0,51,0
1720431066,0,15,3,1,0,1342,0,3050,0,1332,0,3001,0,10,0,49,0
1720431067,0,22,3,1,0,1342,0,3056,0,1342,0,3050,0,0,0,6,0
1720431068,0,12,3,1,0,1370,0,3128,0,1342,0,3056,0,28,0,72,0
1720431069,0,12,3,1,0,1381,0,3181,0,1370,0,3128,0,11,0,53,0
1720431070,0,8,3,1,0,1411,0,3295,0,1381,0,3181,0,30,0,114,0
1720431071,0,10,3,1,0,1426,0,3364,0,1411,0,3295,0,15,0,69,0
1720431072,0,12,3,1,0,1477,0,3476,0,1426,0,3364,0,51,0,112,0
1720431073,0,12,3,1,0,1516,0,3566,0,1477,0,3476,0,39,0,90,0
1720431074,0,8,3,1,0,1576,0,3686,0,1516,0,3566,0,60,0,120,0
1720431075,0,13,3,1,0,1627,0,3790,0,1576,0,3686,0,51,0,104,0
1720431076,0,11,3,1,0,1656,0,3887,0,1627,0,3790,0,29,0,97,0
1720431077,0,11,3,1,0,1680,0,3949,0,1656,0,3887,0,24,0,62,0
1720431078,0,10,3,1,0,1739,0,4055,0,1680,0,3949,0,59,0,106,0
1720431079,0,10,3,1,0,1790,0,4155,0,1739,0,4055,0,51,0,100,0
1720431080,0,10,3,1,0,1830,0,4229,0,1790,0,4155,0,40,0,74,0
1720431081,0,10,3,1,0,1869,0,4327,0,1830,0,4229,0,39,0,98,0
1720431082,0,10,3,1,0,1883,0,4414,0,1869,0,4327,0,14,0,87,0
1720431083,0,10,3,1,0,1900,0,4502,0,1883,0,4414,0,17,0,88,0
1720431084,0,9,3,1,0,1927,0,4607,0,1900,0,4502,0,27,0,105,0
1720431085,0,9,3,1,0,1940,0,4692,0,1927,0,4607,0,13,0,85,0
1720431086,0,8,3,1,0,1954,0,4791,0,1940,0,4692,0,14,0,99,0
1720431087,0,8,3,1,0,1998,0,4879,0,1954,0,4791,0,44,0,88,0
1720431088,0,8,3,1,0,2041,0,4963,0,1998,0,4879,0,43,0,84,0
1720431089,0,9,3,1,0,2099,0,5067,0,2041,0,4963,0,58,0,104,0
1720431090,0,8,3,1,0,2131,0,5166,0,2099,0,5067,0,32,0,99,0
1720431091,0,8,3,1,0,2146,0,5256,0,2131,0,5166,0,15,0,90,0
1720431092,0,11,3,1,0,2192,0,5375,0,2146,0,5256,0,46,0,119,0
1720431093,0,11,3,1,0,2224,0,5449,0,2192,0,5375,0,32,0,74,0
1720431094,0,12,3,1,0,2237,0,5519,0,2224,0,5449,0,13,0,70,0
1720431095,0,11,3,1,0,2251,0,5590,0,2237,0,5519,0,14,0,71,0
1720431096,0,8,3,1,0,2270,0,5671,0,2251,0,5590,0,19,0,81,0
1720431097,0,9,3,1,0,2276,0,5709,0,2270,0,5671,0,6,0,38,0
1720431098,0,9,3,1,0,2344,0,5815,0,2276,0,5709,0,68,0,106,0
1720431099,0,9,3,1,0,2408,0,5941,0,2344,0,5815,0,64,0,126,0
1720431100,0,9,3,1,0,2472,0,6047,0,2408,0,5941,0,64,0,106,0
1720431101,0,7,3,1,0,2499,0,6169,0,2472,0,6047,0,27,0,122,0
1720431102,0,7,3,1,0,2549,0,6311,0,2499,0,6169,0,50,0,142,0
1720431103,0,7,3,1,0,2584,0,6381,0,2549,0,6311,0,35,0,70,0
1720431104,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
1720431105,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
1720431106,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
1720431107,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
1720431108,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
1720431109,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
1720431110,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
1720431111,0,7,3,1,0,2584,0,6381,0,2584,0,6381,0,0,0,0,0
