"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720429242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720429243,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720429244,0,1,0,0,0,45,0,106,0,0,0,2,0,45,0,104,0
1720429245,0,4,1,0,0,91,0,192,0,45,0,106,0,46,0,86,0
1720429246,0,5,1,0,0,115,0,274,0,91,0,192,0,24,0,82,0
1720429247,0,8,1,0,0,151,0,383,0,115,0,274,0,36,0,109,0
1720429248,0,10,2,0,0,211,0,513,0,151,0,383,0,60,0,130,0
1720429249,0,13,2,0,0,266,0,624,0,211,0,513,0,55,0,111,0
1720429250,0,17,2,0,0,319,0,726,0,266,0,624,0,53,0,102,0
1720429251,0,19,3,0,0,369,0,826,0,319,0,726,0,50,0,100,0
1720429252,0,21,3,0,0,417,0,923,0,369,0,826,0,48,0,97,0
1720429253,0,21,3,1,0,441,0,981,0,417,0,923,0,24,0,58,0
1720429254,0,22,3,1,0,471,0,1060,0,441,0,981,0,30,0,79,0
1720429255,0,13,3,1,0,525,0,1140,0,471,0,1060,0,54,0,80,0
1720429256,0,12,3,1,0,571,0,1240,0,525,0,1140,0,46,0,100,0
1720429257,0,12,3,1,0,635,0,1376,0,571,0,1240,0,64,0,136,0
1720429258,0,13,3,1,0,697,0,1498,0,635,0,1376,0,62,0,122,0
1720429259,0,11,3,1,0,757,0,1632,0,697,0,1498,0,60,0,134,0
1720429260,0,12,3,1,0,802,0,1710,0,757,0,1632,0,45,0,78,0
1720429261,0,11,3,1,0,862,0,1826,0,802,0,1710,0,60,0,116,0
1720429262,0,12,3,1,0,921,0,1932,0,862,0,1826,0,59,0,106,0
1720429263,0,8,3,1,0,936,0,2034,0,921,0,1932,0,15,0,102,0
1720429264,0,5,3,1,0,982,0,2173,0,936,0,2034,0,46,0,139,0
1720429265,0,5,3,1,0,1044,0,2323,0,982,0,2173,0,62,0,150,0
1720429266,0,6,3,1,0,1091,0,2461,0,1044,0,2323,0,47,0,138,0
1720429267,0,5,3,1,0,1160,0,2605,0,1091,0,2461,0,69,0,144,0
1720429268,0,2,3,1,0,1225,0,2763,0,1160,0,2605,0,65,0,158,0
1720429269,0,19,3,1,0,1286,0,2873,0,1225,0,2763,0,61,0,110,0
1720429270,0,20,3,1,0,1323,0,2941,0,1286,0,2873,0,37,0,68,0
1720429271,0,21,3,1,0,1334,0,2993,0,1323,0,2941,0,11,0,52,0
1720429272,0,20,3,1,0,1350,0,3060,0,1334,0,2993,0,16,0,67,0
