"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720429442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720429443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720429444,0,1,0,0,0,7,0,10,0,0,0,0,0,7,0,10,0
1720429445,0,4,0,0,0,60,0,134,0,7,0,10,0,53,0,124,0
1720429446,0,4,1,0,0,91,0,192,0,60,0,134,0,31,0,58,0
1720429447,0,5,1,0,0,114,0,276,0,91,0,192,0,23,0,84,0
1720429448,0,8,1,0,0,165,0,421,0,114,0,276,0,51,0,145,0
1720429449,0,10,2,0,0,223,0,537,0,165,0,421,0,58,0,116,0
1720429450,0,12,2,0,0,277,0,642,0,223,0,537,0,54,0,105,0
1720429451,0,17,2,0,0,326,0,742,0,277,0,642,0,49,0,100,0
1720429452,0,18,3,0,0,377,0,838,0,326,0,742,0,51,0,96,0
1720429453,0,18,3,0,0,409,0,907,0,377,0,838,0,32,0,69,0
1720429454,0,20,3,1,0,440,0,992,0,409,0,907,0,31,0,85,0
1720429455,0,21,3,1,0,471,0,1058,0,440,0,992,0,31,0,66,0
1720429456,0,17,3,1,0,524,0,1146,0,471,0,1058,0,53,0,88,0
1720429457,0,12,3,1,0,578,0,1250,0,524,0,1146,0,54,0,104,0
1720429458,0,11,3,1,0,635,0,1382,0,578,0,1250,0,57,0,132,0
1720429459,0,13,3,1,0,698,0,1500,0,635,0,1382,0,63,0,118,0
1720429460,0,11,3,1,0,743,0,1600,0,698,0,1500,0,45,0,100,0
1720429461,0,11,3,1,0,800,0,1708,0,743,0,1600,0,57,0,108,0
1720429462,0,12,3,1,0,858,0,1814,0,800,0,1708,0,58,0,106,0
1720429463,0,12,3,1,0,911,0,1912,0,858,0,1814,0,53,0,98,0
1720429464,0,9,3,1,0,923,0,2023,0,911,0,1912,0,12,0,111,0
1720429465,0,5,3,1,0,960,0,2124,0,923,0,2023,0,37,0,101,0
1720429466,0,5,3,1,0,1027,0,2290,0,960,0,2124,0,67,0,166,0
1720429467,0,5,3,1,0,1075,0,2412,0,1027,0,2290,0,48,0,122,0
1720429468,0,6,3,1,0,1143,0,2556,0,1075,0,2412,0,68,0,144,0
1720429469,0,3,3,1,0,1210,0,2716,0,1143,0,2556,0,67,0,160,0
1720429470,0,11,3,1,0,1273,0,2844,0,1210,0,2716,0,63,0,128,0
1720429471,0,14,3,1,0,1323,0,2920,0,1273,0,2844,0,50,0,76,0
1720429472,0,21,3,1,0,1337,0,2981,0,1323,0,2920,0,14,0,61,0
1720429473,0,19,3,1,0,1347,0,3026,0,1337,0,2981,0,10,0,45,0
1720429474,0,19,3,1,0,1351,0,3043,0,1347,0,3026,0,4,0,17,0
1720429475,0,19,3,1,0,1378,0,3061,0,1351,0,3043,0,27,0,18,0
1720429476,0,12,3,1,0,1405,0,3127,0,1378,0,3061,0,27,0,66,0
1720429477,0,11,3,1,0,1432,0,3235,0,1405,0,3127,0,27,0,108,0
1720429478,0,11,3,1,0,1464,0,3341,0,1432,0,3235,0,32,0,106,0
1720429479,0,10,3,1,0,1515,0,3447,0,1464,0,3341,0,51,0,106,0
1720429480,0,12,3,1,0,1538,0,3531,0,1515,0,3447,0,23,0,84,0
1720429481,0,10,3,1,0,1566,0,3630,0,1538,0,3531,0,28,0,99,0
1720429482,0,11,3,1,0,1580,0,3715,0,1566,0,3630,0,14,0,85,0
1720429483,0,11,3,1,0,1596,0,3804,0,1580,0,3715,0,16,0,89,0
1720429484,0,11,3,1,0,1609,0,3889,0,1596,0,3804,0,13,0,85,0
1720429485,0,10,3,1,0,1641,0,3961,0,1609,0,3889,0,32,0,72,0
1720429486,0,10,3,1,0,1694,0,4063,0,1641,0,3961,0,53,0,102,0
1720429487,0,11,3,1,0,1745,0,4155,0,1694,0,4063,0,51,0,92,0
1720429488,0,10,3,1,0,1783,0,4249,0,1745,0,4155,0,38,0,94,0
1720429489,0,9,3,1,0,1798,0,4336,0,1783,0,4249,0,15,0,87,0
1720429490,0,10,3,1,0,1816,0,4419,0,1798,0,4336,0,18,0,83,0
1720429491,0,9,3,1,0,1831,0,4505,0,1816,0,4419,0,15,0,86,0
1720429492,0,9,3,1,0,1844,0,4588,0,1831,0,4505,0,13,0,83,0
1720429493,0,8,3,1,0,1855,0,4659,0,1844,0,4588,0,11,0,71,0
1720429494,0,8,3,1,0,1869,0,4762,0,1855,0,4659,0,14,0,103,0
1720429495,0,8,3,1,0,1910,0,4840,0,1869,0,4762,0,41,0,78,0
1720429496,0,9,3,1,0,1967,0,4944,0,1910,0,4840,0,57,0,104,0
1720429497,0,8,3,1,0,2023,0,5050,0,1967,0,4944,0,56,0,106,0
1720429498,0,8,3,1,0,2058,0,5157,0,2023,0,5050,0,35,0,107,0
1720429499,0,12,3,1,0,2094,0,5274,0,2058,0,5157,0,36,0,117,0
1720429500,0,12,3,1,0,2142,0,5366,0,2094,0,5274,0,48,0,92,0
1720429501,0,11,3,1,0,2152,0,5419,0,2142,0,5366,0,10,0,53,0
1720429502,0,11,3,1,0,2166,0,5489,0,2152,0,5419,0,14,0,70,0
1720429503,0,8,3,1,0,2180,0,5566,0,2166,0,5489,0,14,0,77,0
1720429504,0,9,3,1,0,2215,0,5689,0,2180,0,5566,0,35,0,123,0
1720429505,0,9,3,1,0,2233,0,5705,0,2215,0,5689,0,18,0,16,0
1720429506,0,9,3,1,0,2298,0,5829,0,2233,0,5705,0,65,0,124,0
1720429507,0,9,3,1,0,2346,0,5923,0,2298,0,5829,0,48,0,94,0
1720429508,0,6,3,1,0,2409,0,6033,0,2346,0,5923,0,63,0,110,0
1720429509,0,6,3,1,0,2471,0,6163,0,2409,0,6033,0,62,0,130,0
1720429510,0,6,3,1,0,2525,0,6301,0,2471,0,6163,0,54,0,138,0
1720429511,0,6,3,1,0,2546,0,6343,0,2525,0,6301,0,21,0,42,0
1720429512,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
1720429513,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
1720429514,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
1720429515,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
1720429516,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
1720429517,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
1720429518,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
1720429519,0,6,3,1,0,2546,0,6343,0,2546,0,6343,0,0,0,0,0
