"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720429613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720429614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720429616,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720429617,0,0,0,0,0,5,0,36,0,0,0,2,0,5,0,34,0
1720429618,0,13,1,0,0,25,0,154,0,5,0,36,0,20,0,118,0
1720429619,0,8,1,0,0,46,0,260,0,25,0,154,0,21,0,106,0
1720429620,0,10,2,0,0,77,0,360,0,46,0,260,0,31,0,100,0
1720429621,0,12,2,0,0,107,0,447,0,77,0,360,0,30,0,87,0
1720429622,0,14,2,0,0,134,0,533,0,107,0,447,0,27,0,86,0
1720429623,0,16,3,0,0,156,0,599,0,134,0,533,0,22,0,66,0
1720429624,0,18,3,2,0,173,0,651,0,156,0,599,0,17,0,52,0
1720429625,0,20,3,2,0,173,0,651,0,173,0,651,0,0,0,0,0
1720429626,0,18,3,2,0,193,0,719,0,173,0,651,0,20,0,68,0
1720429627,0,14,3,2,0,220,0,789,0,193,0,719,0,27,0,70,0
1720429628,0,12,3,2,0,236,0,855,0,220,0,789,0,16,0,66,0
1720429629,0,9,3,2,0,256,0,956,0,236,0,855,0,20,0,101,0
1720429630,0,9,3,2,0,279,0,1044,0,256,0,956,0,23,0,88,0
1720429631,0,10,3,2,0,309,0,1158,0,279,0,1044,0,30,0,114,0
1720429632,0,9,3,2,0,340,0,1254,0,309,0,1158,0,31,0,96,0
1720429633,0,10,3,2,0,369,0,1352,0,340,0,1254,0,29,0,98,0
1720429634,0,9,3,2,0,398,0,1442,0,369,0,1352,0,29,0,90,0
1720429635,0,9,3,2,0,406,0,1499,0,398,0,1442,0,8,0,57,0
1720429636,0,10,3,2,0,438,0,1569,0,406,0,1499,0,32,0,70,0
1720429637,0,10,3,2,0,468,0,1669,0,438,0,1569,0,30,0,100,0
1720429638,0,4,3,2,0,493,0,1772,0,468,0,1669,0,25,0,103,0
1720429639,0,4,3,2,0,517,0,1864,0,493,0,1772,0,24,0,92,0
1720429640,0,4,3,2,0,548,0,1988,0,517,0,1864,0,31,0,124,0
1720429641,0,3,3,2,0,580,0,2130,0,548,0,1988,0,32,0,142,0
1720429642,0,5,3,2,0,611,0,2258,0,580,0,2130,0,31,0,128,0
1720429643,0,4,3,2,0,636,0,2377,0,611,0,2258,0,25,0,119,0
1720429644,0,12,3,2,0,670,0,2557,0,636,0,2377,0,34,0,180,0
1720429645,0,12,3,2,0,691,0,2617,0,670,0,2557,0,21,0,60,0
1720429646,0,17,3,2,0,713,0,2671,0,691,0,2617,0,22,0,54,0
1720429647,0,17,3,2,0,744,0,2729,0,713,0,2671,0,31,0,58,0
1720429648,0,14,3,2,0,763,0,2773,0,744,0,2729,0,19,0,44,0
1720429649,0,17,3,2,0,780,0,2830,0,763,0,2773,0,17,0,57,0
1720429650,0,18,3,2,0,793,0,2881,0,780,0,2830,0,13,0,51,0
1720429651,0,16,3,2,0,808,0,2943,0,793,0,2881,0,15,0,62,0
1720429652,0,11,3,2,0,823,0,3018,0,808,0,2943,0,15,0,75,0
1720429653,0,10,3,2,0,833,0,3076,0,823,0,3018,0,10,0,58,0
1720429654,0,10,3,2,0,848,0,3157,0,833,0,3076,0,15,0,81,0
1720429655,0,10,3,2,0,857,0,3216,0,848,0,3157,0,9,0,59,0
1720429656,0,9,3,2,0,857,0,3216,0,857,0,3216,0,0,0,0,0
1720429657,0,10,3,2,0,857,0,3216,0,857,0,3216,0,0,0,0,0
1720429658,0,11,3,2,0,908,0,3235,0,857,0,3216,0,51,0,19,0
1720429659,0,10,3,2,0,925,0,3338,0,908,0,3235,0,17,0,103,0
1720429660,0,10,3,2,0,942,0,3422,0,925,0,3338,0,17,0,84,0
1720429661,0,9,3,2,0,953,0,3481,0,942,0,3422,0,11,0,59,0
1720429662,0,10,3,2,0,968,0,3554,0,953,0,3481,0,15,0,73,0
1720429663,0,9,3,2,0,982,0,3626,0,968,0,3554,0,14,0,72,0
1720429664,0,9,3,2,0,996,0,3701,0,982,0,3626,0,14,0,75,0
1720429665,0,9,3,2,0,1010,0,3776,0,996,0,3701,0,14,0,75,0
1720429666,0,8,3,2,0,1015,0,3813,0,1010,0,3776,0,5,0,37,0
1720429667,0,9,3,2,0,1038,0,3817,0,1015,0,3813,0,23,0,4,0
1720429668,0,8,3,2,0,1053,0,3875,0,1038,0,3817,0,15,0,58,0
1720429669,0,8,3,2,0,1067,0,3952,0,1053,0,3875,0,14,0,77,0
1720429670,0,8,3,2,0,1081,0,4032,0,1067,0,3952,0,14,0,80,0
1720429671,0,7,3,2,0,1094,0,4111,0,1081,0,4032,0,13,0,79,0
1720429672,0,8,3,2,0,1110,0,4204,0,1094,0,4111,0,16,0,93,0
1720429673,0,2,3,2,0,1129,0,4206,0,1110,0,4204,0,19,0,2,0
1720429674,0,2,3,2,0,1137,0,4258,0,1129,0,4206,0,8,0,52,0
1720429675,0,14,3,2,0,1150,0,4365,0,1137,0,4258,0,13,0,107,0
1720429676,0,7,3,2,0,1153,0,4391,0,1150,0,4365,0,3,0,26,0
1720429677,0,12,3,2,0,1180,0,4417,0,1153,0,4391,0,27,0,26,0
1720429678,0,9,3,2,0,1200,0,4510,0,1180,0,4417,0,20,0,93,0
1720429679,0,10,3,2,0,1215,0,4579,0,1200,0,4510,0,15,0,69,0
1720429680,0,10,3,2,0,1229,0,4648,0,1215,0,4579,0,14,0,69,0
1720429681,0,8,3,2,0,1243,0,4717,0,1229,0,4648,0,14,0,69,0
