"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720429739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720429740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720429741,0,1,0,0,0,13,0,40,0,0,0,0,0,13,0,40,0
1720429742,0,4,0,0,0,72,0,160,0,13,0,40,0,59,0,120,0
1720429743,0,6,1,0,0,120,0,239,0,72,0,160,0,48,0,79,0
1720429744,0,7,1,0,0,146,0,353,0,120,0,239,0,26,0,114,0
1720429745,0,9,2,0,0,206,0,489,0,146,0,353,0,60,0,136,0
1720429746,0,13,2,0,0,264,0,608,0,206,0,489,0,58,0,119,0
1720429747,0,15,2,0,0,301,0,680,0,264,0,608,0,37,0,72,0
1720429748,0,18,3,0,0,348,0,774,0,301,0,680,0,47,0,94,0
1720429749,0,20,3,0,0,398,0,871,0,348,0,774,0,50,0,97,0
1720429750,0,20,3,1,0,439,0,953,0,398,0,871,0,41,0,82,0
1720429751,0,20,3,1,0,456,0,1025,0,439,0,953,0,17,0,72,0
1720429752,0,18,3,1,0,504,0,1111,0,456,0,1025,0,48,0,86,0
1720429753,0,10,3,1,0,545,0,1183,0,504,0,1111,0,41,0,72,0
1720429754,0,11,3,1,0,606,0,1315,0,545,0,1183,0,61,0,132,0
1720429755,0,12,3,1,0,665,0,1439,0,606,0,1315,0,59,0,124,0
1720429756,0,11,3,1,0,725,0,1555,0,665,0,1439,0,60,0,116,0
1720429757,0,12,3,1,0,767,0,1651,0,725,0,1555,0,42,0,96,0
1720429758,0,11,3,1,0,825,0,1749,0,767,0,1651,0,58,0,98,0
1720429759,0,12,3,1,0,872,0,1849,0,825,0,1749,0,47,0,100,0
1720429760,0,10,3,1,0,887,0,1928,0,872,0,1849,0,15,0,79,0
1720429761,0,5,3,1,0,911,0,2029,0,887,0,1928,0,24,0,101,0
1720429762,0,5,3,1,0,977,0,2195,0,911,0,2029,0,66,0,166,0
1720429763,0,4,3,1,0,1044,0,2357,0,977,0,2195,0,67,0,162,0
1720429764,0,7,3,1,0,1109,0,2507,0,1044,0,2357,0,65,0,150,0
1720429765,0,3,3,1,0,1159,0,2601,0,1109,0,2507,0,50,0,94,0
1720429766,0,10,3,1,0,1231,0,2777,0,1159,0,2601,0,72,0,176,0
1720429767,0,15,3,1,0,1295,0,2891,0,1231,0,2777,0,64,0,114,0
1720429768,0,23,3,1,0,1328,0,2959,0,1295,0,2891,0,33,0,68,0
1720429769,0,23,3,1,0,1339,0,3010,0,1328,0,2959,0,11,0,51,0
1720429770,0,20,3,1,0,1351,0,3065,0,1339,0,3010,0,12,0,55,0
1720429771,0,18,3,1,0,1351,0,3065,0,1351,0,3065,0,0,0,0,0
1720429772,0,18,3,1,0,1395,0,3111,0,1351,0,3065,0,44,0,46,0
1720429773,0,10,3,1,0,1421,0,3187,0,1395,0,3111,0,26,0,76,0
1720429774,0,9,3,1,0,1455,0,3289,0,1421,0,3187,0,34,0,102,0
1720429775,0,12,3,1,0,1475,0,3371,0,1455,0,3289,0,20,0,82,0
1720429776,0,10,3,1,0,1498,0,3458,0,1475,0,3371,0,23,0,87,0
1720429777,0,9,3,1,0,1545,0,3578,0,1498,0,3458,0,47,0,120,0
1720429778,0,11,3,1,0,1601,0,3684,0,1545,0,3578,0,56,0,106,0
1720429779,0,11,3,1,0,1652,0,3796,0,1601,0,3684,0,51,0,112,0
1720429780,0,9,3,1,0,1679,0,3881,0,1652,0,3796,0,27,0,85,0
1720429781,0,12,3,1,0,1693,0,3966,0,1679,0,3881,0,14,0,85,0
1720429782,0,11,3,1,0,1747,0,4062,0,1693,0,3966,0,54,0,96,0
1720429783,0,11,3,1,0,1797,0,4158,0,1747,0,4062,0,50,0,96,0
1720429784,0,10,3,1,0,1849,0,4254,0,1797,0,4158,0,52,0,96,0
1720429785,0,10,3,1,0,1880,0,4343,0,1849,0,4254,0,31,0,89,0
1720429786,0,10,3,1,0,1894,0,4424,0,1880,0,4343,0,14,0,81,0
1720429787,0,9,3,1,0,1907,0,4486,0,1894,0,4424,0,13,0,62,0
1720429788,0,9,3,1,0,1924,0,4567,0,1907,0,4486,0,17,0,81,0
1720429789,0,9,3,1,0,1938,0,4654,0,1924,0,4567,0,14,0,87,0
1720429790,0,8,3,1,0,1952,0,4747,0,1938,0,4654,0,14,0,93,0
1720429791,0,8,3,1,0,1969,0,4820,0,1952,0,4747,0,17,0,73,0
1720429792,0,9,3,1,0,2030,0,4928,0,1969,0,4820,0,61,0,108,0
1720429793,0,8,3,1,0,2067,0,5004,0,2030,0,4928,0,37,0,76,0
1720429794,0,8,3,1,0,2082,0,5094,0,2067,0,5004,0,15,0,90,0
1720429795,0,8,3,1,0,2096,0,5176,0,2082,0,5094,0,14,0,82,0
1720429796,0,12,3,1,0,2148,0,5287,0,2096,0,5176,0,52,0,111,0
1720429797,0,11,3,1,0,2164,0,5352,0,2148,0,5287,0,16,0,65,0
1720429798,0,11,3,1,0,2178,0,5419,0,2164,0,5352,0,14,0,67,0
1720429799,0,11,3,1,0,2192,0,5485,0,2178,0,5419,0,14,0,66,0
1720429800,0,8,3,1,0,2207,0,5561,0,2192,0,5485,0,15,0,76,0
1720429801,0,9,3,1,0,2245,0,5657,0,2207,0,5561,0,38,0,96,0
1720429802,0,9,3,1,0,2282,0,5707,0,2245,0,5657,0,37,0,50,0
1720429803,0,9,3,1,0,2345,0,5827,0,2282,0,5707,0,63,0,120,0
1720429804,0,9,3,1,0,2410,0,5939,0,2345,0,5827,0,65,0,112,0
1720429805,0,4,3,1,0,2439,0,6042,0,2410,0,5939,0,29,0,103,0
1720429806,0,4,3,1,0,2477,0,6179,0,2439,0,6042,0,38,0,137,0
1720429807,0,4,3,1,0,2521,0,6267,0,2477,0,6179,0,44,0,88,0
1720429808,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
1720429809,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
1720429810,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
1720429811,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
1720429812,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
1720429813,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
1720429814,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
1720429815,0,4,3,1,0,2521,0,6267,0,2521,0,6267,0,0,0,0,0
