"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720427961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720427962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720427963,0,1,0,0,0,10,0,36,0,0,0,0,0,10,0,36,0
1720427964,0,4,0,0,0,70,0,156,0,10,0,36,0,60,0,120,0
1720427965,0,6,1,0,0,124,0,236,0,70,0,156,0,54,0,80,0
1720427966,0,8,1,0,0,134,0,297,0,124,0,236,0,10,0,61,0
1720427967,0,10,1,0,0,191,0,453,0,134,0,297,0,57,0,156,0
1720427968,0,13,2,0,0,248,0,567,0,191,0,453,0,57,0,114,0
1720427969,0,15,2,0,0,302,0,674,0,248,0,567,0,54,0,107,0
1720427970,0,18,3,0,0,349,0,762,0,302,0,674,0,47,0,88,0
1720427971,0,18,3,0,0,395,0,858,0,349,0,762,0,46,0,96,0
1720427972,0,19,3,1,0,431,0,919,0,395,0,858,0,36,0,61,0
1720427973,0,22,3,1,0,452,0,998,0,431,0,919,0,21,0,79,0
1720427974,0,19,3,1,0,486,0,1072,0,452,0,998,0,34,0,74,0
1720427975,0,9,3,1,0,547,0,1168,0,486,0,1072,0,61,0,96,0
1720427976,0,9,3,1,0,603,0,1302,0,547,0,1168,0,56,0,134,0
1720427977,0,9,3,1,0,644,0,1384,0,603,0,1302,0,41,0,82,0
1720427978,0,14,3,1,0,704,0,1500,0,644,0,1384,0,60,0,116,0
1720427979,0,10,3,1,0,759,0,1622,0,704,0,1500,0,55,0,122,0
1720427980,0,8,3,1,0,806,0,1712,0,759,0,1622,0,47,0,90,0
1720427981,0,13,3,1,0,856,0,1804,0,806,0,1712,0,50,0,92,0
1720427982,0,11,3,1,0,877,0,1897,0,856,0,1804,0,21,0,93,0
1720427983,0,9,3,1,0,889,0,1982,0,877,0,1897,0,12,0,85,0
1720427984,0,5,3,1,0,952,0,2128,0,889,0,1982,0,63,0,146,0
1720427985,0,5,3,1,0,1019,0,2288,0,952,0,2128,0,67,0,160,0
1720427986,0,5,3,1,0,1087,0,2452,0,1019,0,2288,0,68,0,164,0
1720427987,0,6,3,1,0,1137,0,2554,0,1087,0,2452,0,50,0,102,0
1720427988,0,3,3,1,0,1214,0,2740,0,1137,0,2554,0,77,0,186,0
1720427989,0,6,3,1,0,1274,0,2864,0,1214,0,2740,0,60,0,124,0
1720427990,0,22,3,1,0,1310,0,2918,0,1274,0,2864,0,36,0,54,0
1720427991,0,15,3,1,0,1338,0,2980,0,1310,0,2918,0,28,0,62,0
1720427992,0,16,3,1,0,1351,0,3035,0,1338,0,2980,0,13,0,55,0
1720427993,0,24,3,1,0,1353,0,3048,0,1351,0,3035,0,2,0,13,0
1720427994,0,15,3,1,0,1378,0,3066,0,1353,0,3048,0,25,0,18,0
1720427995,0,10,3,1,0,1400,0,3141,0,1378,0,3066,0,22,0,75,0
1720427996,0,12,3,1,0,1431,0,3233,0,1400,0,3141,0,31,0,92,0
1720427997,0,10,3,1,0,1457,0,3349,0,1431,0,3233,0,26,0,116,0
1720427998,0,10,3,1,0,1478,0,3426,0,1457,0,3349,0,21,0,77,0
1720427999,0,10,3,1,0,1517,0,3523,0,1478,0,3426,0,39,0,97,0
1720428000,0,10,3,1,0,1560,0,3613,0,1517,0,3523,0,43,0,90,0
1720428001,0,10,3,1,0,1612,0,3719,0,1560,0,3613,0,52,0,106,0
1720428002,0,7,3,1,0,1662,0,3827,0,1612,0,3719,0,50,0,108,0
1720428003,0,12,3,1,0,1675,0,3914,0,1662,0,3827,0,13,0,87,0
1720428004,0,10,3,1,0,1728,0,4012,0,1675,0,3914,0,53,0,98,0
1720428005,0,10,3,1,0,1780,0,4104,0,1728,0,4012,0,52,0,92,0
1720428006,0,10,3,1,0,1819,0,4176,0,1780,0,4104,0,39,0,72,0
1720428007,0,10,3,1,0,1865,0,4272,0,1819,0,4176,0,46,0,96,0
1720428008,0,10,3,1,0,1880,0,4359,0,1865,0,4272,0,15,0,87,0
1720428009,0,9,3,1,0,1899,0,4450,0,1880,0,4359,0,19,0,91,0
1720428010,0,10,3,1,0,1912,0,4532,0,1899,0,4450,0,13,0,82,0
1720428011,0,8,3,1,0,1926,0,4617,0,1912,0,4532,0,14,0,85,0
1720428012,0,9,3,1,0,1941,0,4704,0,1926,0,4617,0,15,0,87,0
1720428013,0,8,3,1,0,1951,0,4783,0,1941,0,4704,0,10,0,79,0
1720428014,0,8,3,1,0,2001,0,4869,0,1951,0,4783,0,50,0,86,0
1720428015,0,9,3,1,0,2060,0,4973,0,2001,0,4869,0,59,0,104,0
1720428016,0,8,3,1,0,2116,0,5077,0,2060,0,4973,0,56,0,104,0
1720428017,0,8,3,1,0,2137,0,5176,0,2116,0,5077,0,21,0,99,0
1720428018,0,10,3,1,0,2161,0,5280,0,2137,0,5176,0,24,0,104,0
1720428019,0,12,3,1,0,2193,0,5350,0,2161,0,5280,0,32,0,70,0
1720428020,0,11,3,1,0,2207,0,5418,0,2193,0,5350,0,14,0,68,0
1720428021,0,11,3,1,0,2221,0,5489,0,2207,0,5418,0,14,0,71,0
1720428022,0,10,3,1,0,2234,0,5564,0,2221,0,5489,0,13,0,75,0
1720428023,0,8,3,1,0,2270,0,5682,0,2234,0,5564,0,36,0,118,0
1720428024,0,9,3,1,0,2302,0,5718,0,2270,0,5682,0,32,0,36,0
1720428025,0,9,3,1,0,2365,0,5840,0,2302,0,5718,0,63,0,122,0
1720428026,0,9,3,1,0,2412,0,5930,0,2365,0,5840,0,47,0,90,0
1720428027,0,8,3,1,0,2475,0,6040,0,2412,0,5930,0,63,0,110,0
1720428028,0,8,3,1,0,2522,0,6209,0,2475,0,6040,0,47,0,169,0
1720428029,0,8,3,1,0,2576,0,6315,0,2522,0,6209,0,54,0,106,0
1720428030,0,8,3,1,0,2581,0,6327,0,2576,0,6315,0,5,0,12,0
1720428031,0,8,3,1,0,2581,0,6327,0,2581,0,6327,0,0,0,0,0
1720428032,0,8,3,1,0,2581,0,6327,0,2581,0,6327,0,0,0,0,0
1720428033,0,8,3,1,0,2581,0,6327,0,2581,0,6327,0,0,0,0,0
1720428034,0,8,3,1,0,2581,0,6327,0,2581,0,6327,0,0,0,0,0
1720428035,0,8,3,1,0,2581,0,6327,0,2581,0,6327,0,0,0,0,0
1720428036,0,8,3,1,0,2581,0,6327,0,2581,0,6327,0,0,0,0,0
1720428037,0,8,3,1,0,2581,0,6327,0,2581,0,6327,0,0,0,0,0
