"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720428083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720428084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720428087,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720428088,0,0,1,0,0,17,0,118,0,0,0,2,0,17,0,116,0
1720428089,0,12,1,0,0,40,0,228,0,17,0,118,0,23,0,110,0
1720428090,0,9,2,0,0,71,0,344,0,40,0,228,0,31,0,116,0
1720428091,0,10,2,0,0,97,0,435,0,71,0,344,0,26,0,91,0
1720428092,0,12,2,0,0,125,0,521,0,97,0,435,0,28,0,86,0
1720428093,0,16,3,0,0,154,0,603,0,125,0,521,0,29,0,82,0
1720428094,0,15,3,2,0,173,0,655,0,154,0,603,0,19,0,52,0
1720428095,0,17,3,2,0,173,0,655,0,173,0,655,0,0,0,0,0
1720428096,0,20,3,2,0,188,0,709,0,173,0,655,0,15,0,54,0
1720428097,0,16,3,2,0,214,0,787,0,188,0,709,0,26,0,78,0
1720428098,0,15,3,2,0,242,0,867,0,214,0,787,0,28,0,80,0
1720428099,0,8,3,2,0,263,0,950,0,242,0,867,0,21,0,83,0
1720428100,0,8,3,2,0,285,0,1042,0,263,0,950,0,22,0,92,0
1720428101,0,8,3,2,0,307,0,1132,0,285,0,1042,0,22,0,90,0
1720428102,0,9,3,2,0,337,0,1236,0,307,0,1132,0,30,0,104,0
1720428103,0,9,3,2,0,367,0,1340,0,337,0,1236,0,30,0,104,0
1720428104,0,8,3,2,0,391,0,1410,0,367,0,1340,0,24,0,70,0
1720428105,0,12,3,2,0,408,0,1503,0,391,0,1410,0,17,0,93,0
1720428106,0,9,3,2,0,429,0,1545,0,408,0,1503,0,21,0,42,0
1720428107,0,9,3,2,0,460,0,1653,0,429,0,1545,0,31,0,108,0
1720428108,0,5,3,2,0,492,0,1749,0,460,0,1653,0,32,0,96,0
1720428109,0,4,3,2,0,523,0,1889,0,492,0,1749,0,31,0,140,0
1720428110,0,4,3,2,0,555,0,2025,0,523,0,1889,0,32,0,136,0
