"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720428241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720428242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720428243,0,1,0,0,0,6,0,16,0,0,0,0,0,6,0,16,0
1720428244,0,4,0,0,0,57,0,132,0,6,0,16,0,51,0,116,0
1720428245,0,5,1,0,0,114,0,224,0,57,0,132,0,57,0,92,0
1720428246,0,8,1,0,0,135,0,305,0,114,0,224,0,21,0,81,0
1720428247,0,9,1,0,0,192,0,459,0,135,0,305,0,57,0,154,0
1720428248,0,12,2,0,0,250,0,575,0,192,0,459,0,58,0,116,0
1720428249,0,16,2,0,0,301,0,676,0,250,0,575,0,51,0,101,0
1720428250,0,16,2,0,0,340,0,752,0,301,0,676,0,39,0,76,0
1720428251,0,19,3,0,0,387,0,844,0,340,0,752,0,47,0,92,0
1720428252,0,18,3,1,0,432,0,933,0,387,0,844,0,45,0,89,0
1720428253,0,20,3,1,0,476,0,1019,0,432,0,933,0,44,0,86,0
1720428254,0,20,3,1,0,505,0,1093,0,476,0,1019,0,29,0,74,0
1720428255,0,8,3,1,0,563,0,1183,0,505,0,1093,0,58,0,90,0
1720428256,0,9,3,1,0,614,0,1301,0,563,0,1183,0,51,0,118,0
1720428257,0,9,3,1,0,658,0,1401,0,614,0,1301,0,44,0,100,0
1720428258,0,8,3,1,0,730,0,1549,0,658,0,1401,0,72,0,148,0
1720428259,0,8,3,1,0,772,0,1641,0,730,0,1549,0,42,0,92,0
1720428260,0,13,3,1,0,829,0,1745,0,772,0,1641,0,57,0,104,0
1720428261,0,12,3,1,0,888,0,1857,0,829,0,1745,0,59,0,112,0
1720428262,0,11,3,1,0,943,0,1961,0,888,0,1857,0,55,0,104,0
1720428263,0,12,3,1,0,957,0,2056,0,943,0,1961,0,14,0,95,0
1720428264,0,5,3,1,0,987,0,2178,0,957,0,2056,0,30,0,122,0
1720428265,0,5,3,1,0,1051,0,2340,0,987,0,2178,0,64,0,162,0
1720428266,0,4,3,1,0,1099,0,2474,0,1051,0,2340,0,48,0,134,0
1720428267,0,7,3,1,0,1167,0,2618,0,1099,0,2474,0,68,0,144,0
1720428268,0,3,3,1,0,1234,0,2784,0,1167,0,2618,0,67,0,166,0
1720428269,0,10,3,1,0,1299,0,2916,0,1234,0,2784,0,65,0,132,0
1720428270,0,18,3,1,0,1346,0,2982,0,1299,0,2916,0,47,0,66,0
1720428271,0,18,3,1,0,1359,0,3045,0,1346,0,2982,0,13,0,63,0
1720428272,0,19,3,1,0,1370,0,3093,0,1359,0,3045,0,11,0,48,0
1720428273,0,15,3,1,0,1375,0,3119,0,1370,0,3093,0,5,0,26,0
1720428274,0,17,3,1,0,1396,0,3137,0,1375,0,3119,0,21,0,18,0
1720428275,0,13,3,1,0,1434,0,3204,0,1396,0,3137,0,38,0,67,0
1720428276,0,10,3,1,0,1451,0,3299,0,1434,0,3204,0,17,0,95,0
1720428277,0,10,3,1,0,1469,0,3377,0,1451,0,3299,0,18,0,78,0
1720428278,0,11,3,1,0,1505,0,3491,0,1469,0,3377,0,36,0,114,0
1720428279,0,9,3,1,0,1541,0,3587,0,1505,0,3491,0,36,0,96,0
1720428280,0,12,3,1,0,1583,0,3689,0,1541,0,3587,0,42,0,102,0
1720428281,0,9,3,1,0,1629,0,3793,0,1583,0,3689,0,46,0,104,0
1720428282,0,9,3,1,0,1667,0,3895,0,1629,0,3793,0,38,0,102,0
1720428283,0,11,3,1,0,1684,0,3996,0,1667,0,3895,0,17,0,101,0
1720428284,0,11,3,1,0,1734,0,4074,0,1684,0,3996,0,50,0,78,0
1720428285,0,10,3,1,0,1785,0,4178,0,1734,0,4074,0,51,0,104,0
1720428286,0,10,3,1,0,1823,0,4250,0,1785,0,4178,0,38,0,72,0
1720428287,0,11,3,1,0,1876,0,4348,0,1823,0,4250,0,53,0,98,0
1720428288,0,10,3,1,0,1908,0,4441,0,1876,0,4348,0,32,0,93,0
1720428289,0,9,3,1,0,1927,0,4536,0,1908,0,4441,0,19,0,95,0
1720428290,0,10,3,1,0,1944,0,4623,0,1927,0,4536,0,17,0,87,0
1720428291,0,9,3,1,0,1962,0,4710,0,1944,0,4623,0,18,0,87,0
1720428292,0,8,3,1,0,1975,0,4798,0,1962,0,4710,0,13,0,88,0
1720428293,0,8,3,1,0,1985,0,4889,0,1975,0,4798,0,10,0,91,0
