"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720427813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720427814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720427815,0,1,0,0,0,27,0,72,0,0,0,0,0,27,0,72,0
1720427816,0,4,0,0,0,86,0,184,0,27,0,72,0,59,0,112,0
1720427817,0,6,1,0,0,126,0,263,0,86,0,184,0,40,0,79,0
1720427818,0,8,1,0,0,162,0,378,0,126,0,263,0,36,0,115,0
1720427819,0,9,2,0,0,219,0,510,0,162,0,378,0,57,0,132,0
1720427820,0,12,2,0,0,273,0,621,0,219,0,510,0,54,0,111,0
1720427821,0,16,2,0,0,323,0,719,0,273,0,621,0,50,0,98,0
1720427822,0,18,3,0,0,361,0,795,0,323,0,719,0,38,0,76,0
1720427823,0,18,3,0,0,408,0,886,0,361,0,795,0,47,0,91,0
1720427824,0,20,3,1,0,450,0,964,0,408,0,886,0,42,0,78,0
1720427825,0,14,3,1,0,469,0,1029,0,450,0,964,0,19,0,65,0
1720427826,0,21,3,1,0,517,0,1117,0,469,0,1029,0,48,0,88,0
1720427827,0,9,3,1,0,557,0,1201,0,517,0,1117,0,40,0,84,0
1720427828,0,11,3,1,0,615,0,1321,0,557,0,1201,0,58,0,120,0
1720427829,0,15,3,1,0,677,0,1445,0,615,0,1321,0,62,0,124,0
1720427830,0,11,3,1,0,737,0,1573,0,677,0,1445,0,60,0,128,0
1720427831,0,11,3,1,0,783,0,1657,0,737,0,1573,0,46,0,84,0
1720427832,0,12,3,1,0,843,0,1765,0,783,0,1657,0,60,0,108,0
1720427833,0,11,3,1,0,901,0,1871,0,843,0,1765,0,58,0,106,0
1720427834,0,10,3,1,0,925,0,1969,0,901,0,1871,0,24,0,98,0
1720427835,0,5,3,1,0,961,0,2090,0,925,0,1969,0,36,0,121,0
1720427836,0,5,3,1,0,1025,0,2248,0,961,0,2090,0,64,0,158,0
1720427837,0,5,3,1,0,1093,0,2412,0,1025,0,2248,0,68,0,164,0
1720427838,0,6,3,1,0,1144,0,2518,0,1093,0,2412,0,51,0,106,0
1720427839,0,3,3,1,0,1210,0,2666,0,1144,0,2518,0,66,0,148,0
1720427840,0,11,3,1,0,1277,0,2824,0,1210,0,2666,0,67,0,158,0
1720427841,0,18,3,1,0,1343,0,2932,0,1277,0,2824,0,66,0,108,0
1720427842,0,16,3,1,0,1361,0,2978,0,1343,0,2932,0,18,0,46,0
1720427843,0,19,3,1,0,1374,0,3037,0,1361,0,2978,0,13,0,59,0
1720427844,0,19,3,1,0,1384,0,3081,0,1374,0,3037,0,10,0,44,0
1720427845,0,14,3,1,0,1384,0,3081,0,1384,0,3081,0,0,0,0,0
1720427846,0,14,3,1,0,1431,0,3135,0,1384,0,3081,0,47,0,54,0
1720427847,0,10,3,1,0,1451,0,3222,0,1431,0,3135,0,20,0,87,0
1720427848,0,6,3,1,0,1480,0,3321,0,1451,0,3222,0,29,0,99,0
1720427849,0,10,3,1,0,1531,0,3449,0,1480,0,3321,0,51,0,128,0
1720427850,0,10,3,1,0,1565,0,3527,0,1531,0,3449,0,34,0,78,0
1720427851,0,12,3,1,0,1619,0,3641,0,1565,0,3527,0,54,0,114,0
1720427852,0,10,3,1,0,1669,0,3743,0,1619,0,3641,0,50,0,102,0
1720427853,0,9,3,1,0,1726,0,3857,0,1669,0,3743,0,57,0,114,0
1720427854,0,9,3,1,0,1765,0,3965,0,1726,0,3857,0,39,0,108,0
1720427855,0,12,3,1,0,1788,0,4018,0,1765,0,3965,0,23,0,53,0
1720427856,0,9,3,1,0,1837,0,4112,0,1788,0,4018,0,49,0,94,0
1720427857,0,11,3,1,0,1890,0,4212,0,1837,0,4112,0,53,0,100,0
1720427858,0,10,3,1,0,1943,0,4310,0,1890,0,4212,0,53,0,98,0
1720427859,0,10,3,1,0,1974,0,4386,0,1943,0,4310,0,31,0,76,0
1720427860,0,10,3,1,0,1988,0,4470,0,1974,0,4386,0,14,0,84,0
1720427861,0,9,3,1,0,2004,0,4554,0,1988,0,4470,0,16,0,84,0
1720427862,0,9,3,1,0,2017,0,4638,0,2004,0,4554,0,13,0,84,0
1720427863,0,9,3,1,0,2031,0,4742,0,2017,0,4638,0,14,0,104,0
1720427864,0,8,3,1,0,2045,0,4834,0,2031,0,4742,0,14,0,92,0
1720427865,0,8,3,1,0,2057,0,4885,0,2045,0,4834,0,12,0,51,0
1720427866,0,9,3,1,0,2121,0,5001,0,2057,0,4885,0,64,0,116,0
1720427867,0,9,3,1,0,2180,0,5109,0,2121,0,5001,0,59,0,108,0
1720427868,0,8,3,1,0,2205,0,5208,0,2180,0,5109,0,25,0,99,0
1720427869,0,8,3,1,0,2220,0,5304,0,2205,0,5208,0,15,0,96,0
1720427870,0,12,3,1,0,2275,0,5429,0,2220,0,5304,0,55,0,125,0
1720427871,0,11,3,1,0,2312,0,5491,0,2275,0,5429,0,37,0,62,0
1720427872,0,11,3,1,0,2326,0,5557,0,2312,0,5491,0,14,0,66,0
1720427873,0,11,3,1,0,2340,0,5627,0,2326,0,5557,0,14,0,70,0
1720427874,0,8,3,1,0,2354,0,5716,0,2340,0,5627,0,14,0,89,0
1720427875,0,9,3,1,0,2372,0,5780,0,2354,0,5716,0,18,0,64,0
1720427876,0,9,3,1,0,2425,0,5860,0,2372,0,5780,0,53,0,80,0
1720427877,0,10,3,1,0,2488,0,5984,0,2425,0,5860,0,63,0,124,0
1720427878,0,9,3,1,0,2552,0,6100,0,2488,0,5984,0,64,0,116,0
1720427879,0,4,3,1,0,2600,0,6186,0,2552,0,6100,0,48,0,86,0
1720427880,0,4,3,1,0,2659,0,6346,0,2600,0,6186,0,59,0,160,0
1720427881,0,4,3,1,0,2714,0,6456,0,2659,0,6346,0,55,0,110,0
1720427882,0,4,3,1,0,2715,0,6458,0,2714,0,6456,0,1,0,2,0
1720427883,0,4,3,1,0,2715,0,6458,0,2715,0,6458,0,0,0,0,0
1720427884,0,4,3,1,0,2715,0,6458,0,2715,0,6458,0,0,0,0,0
1720427885,0,4,3,1,0,2715,0,6458,0,2715,0,6458,0,0,0,0,0
1720427886,0,4,3,1,0,2715,0,6458,0,2715,0,6458,0,0,0,0,0
1720427887,0,4,3,1,0,2715,0,6458,0,2715,0,6458,0,0,0,0,0
1720427888,0,4,3,1,0,2715,0,6458,0,2715,0,6458,0,0,0,0,0
1720427889,0,4,3,1,0,2715,0,6458,0,2715,0,6458,0,0,0,0,0
