time,id
1720287252.948827000,1894
1720287252.948899000,1895
1720287252.963057000,1896
1720287252.963159000,1897
1720287252.977428000,1898
1720287252.977501000,1899
1720287252.991706000,1900
1720287252.991774000,1901
1720287253.008411000,1902
1720287253.008470000,1903
1720287253.028445000,1904
1720287253.028500000,1905
1720287253.045168000,1906
1720287253.045241000,1907
1720287253.059581000,1908
1720287253.059661000,1909
1720287253.079572000,1910
1720287253.079608000,1911
1720287253.079638000,1912
1720287253.079660000,1914
1720287253.079912000,1915
1720287253.080672000,1916
1720287253.080682000,1918
1720287253.080704000,1920
1720287253.080715000,1922
1720287253.080727000,1924
1720287253.080734000,1926
1720287253.080758000,1928
1720287253.080766000,1930
1720287253.080798000,1932
1720287253.081729000,1934
1720287253.081796000,1937
1720287253.081806000,1938
1720287253.081822000,1942
1720287253.081827000,1944
1720287253.094317000,1946
1720287253.094423000,1947
1720287253.108647000,1948
1720287253.108747000,1949
1720287253.128725000,1950
1720287253.128803000,1951
1720287253.153482000,1952
1720287253.153573000,1953
1720287253.168765000,1954
1720287253.168837000,1955
1720287253.182644000,1956
1720287253.182714000,1957
1720287253.196683000,1958
1720287253.196754000,1959
1720287253.210688000,1960
1720287253.210778000,1961
1720287253.224660000,1962
1720287253.224761000,1963
1720287253.238633000,1964
1720287253.238729000,1965
1720287253.252522000,1966
1720287253.252610000,1967
1720287253.267165000,1968
1720287253.267199000,1969
1720287253.267228000,1971
1720287253.267276000,1975
1720287253.267314000,1979
1720287253.267362000,1983
1720287253.267396000,1987
1720287253.267432000,1991
1720287253.267460000,1994
1720287253.267492000,1998
1720287253.269117000,2002
1720287253.281389000,2004
1720287253.281462000,2005
1720287253.295632000,2006
1720287253.295702000,2007
1720287253.309948000,2008
1720287253.310021000,2009
1720287253.324412000,2010
1720287253.324500000,2011
1720287253.349063000,2012
1720287253.349139000,2013
1720287253.363331000,2014
1720287253.381079000,2015
1720287253.381163000,2016
1720287253.400843000,2017
1720287253.419022000,2018
1720287253.433729000,2019
1720287253.451490000,2020
1720287253.469599000,2021
1720287253.469632000,2022
1720287253.469661000,2024
1720287253.469699000,2028
1720287253.469738000,2033
1720287253.469774000,2037
1720287253.469804000,2041
1720287253.469828000,2044
1720287253.469865000,2048
1720287253.469898000,2052
1720287253.484193000,2056
1720287253.498427000,2057
1720287253.513258000,2058
1720287253.529046000,2059
1720287253.543057000,2060
1720287253.557104000,2061
1720287253.599749000,2062
1720287253.599820000,2063
1720287253.611096000,2064
1720287253.628958000,2065
1720287253.642912000,2066
1720287253.657623000,2067
1720287253.657656000,2068
1720287253.657685000,2070
1720287253.657732000,2074
1720287253.657763000,2077
1720287253.657793000,2080
1720287253.657818000,2083
1720287253.657844000,2086
1720287253.657870000,2088
1720287253.657893000,2089
1720287253.657913000,2090
1720287253.657940000,2092
1720287253.657959000,2093
1720287253.657985000,2095
1720287253.658073000,2098
1720287253.693386000,2103
1720287253.715940000,2104
1720287253.730262000,2105
1720287253.749533000,2106
1720287253.763833000,2107
1720287253.778005000,2108
1720287253.795133000,2109
1720287253.812371000,2110
1720287253.827701000,2111
1720287253.841661000,2112
1720287253.858984000,2113
1720287253.875807000,2114
1720287253.875844000,2115
1720287253.875873000,2117
1720287253.875908000,2121
1720287253.875938000,2126
1720287253.875980000,2130
1720287253.876016000,2134
1720287253.876047000,2137
1720287253.876084000,2141
1720287253.876121000,2145
1720287253.890844000,2149
1720287253.904848000,2150
1720287253.921659000,2151
1720287253.936942000,2152
1720287253.950928000,2153
1720287253.991778000,2154
1720287253.991871000,2155
1720287253.998623000,2156
1720287254.019638000,2157
1720287254.038953000,2158
1720287254.052983000,2159
1720287254.067776000,2160
1720287254.067816000,2161
1720287254.067858000,2163
1720287254.067905000,2167
1720287254.067958000,2172
1720287254.068005000,2176
1720287254.068048000,2181
1720287254.068090000,2184
1720287254.068133000,2188
1720287254.068176000,2192
1720287254.087152000,2195
1720287254.101095000,2196
1720287254.115297000,2197
1720287254.129505000,2198
1720287254.171768000,2199
1720287254.171798000,2200
1720287254.179790000,2201
1720287254.199020000,2202
1720287254.199116000,2203
1720287254.214118000,2204
1720287254.214207000,2205
1720287254.232766000,2206
1720287254.232824000,2207
1720287254.251759000,2208
1720287254.251850000,2209
1720287254.275815000,2210
1720287254.275866000,2211
1720287254.275903000,2213
1720287254.275937000,2215
1720287254.275965000,2216
1720287254.275994000,2218
1720287254.276017000,2219
1720287254.276045000,2221
1720287254.276065000,2222
1720287254.276093000,2224
1720287254.276112000,2225
1720287254.276144000,2227
1720287254.276171000,2229
1720287254.276204000,2232
1720287254.276225000,2233
1720287254.276253000,2235
1720287254.276273000,2236
1720287254.276300000,2238
1720287254.276321000,2239
1720287254.276361000,2241
1720287254.276390000,2242
1720287254.276417000,2244
1720287254.296542000,2245
1720287254.296656000,2246
1720287254.315443000,2247
1720287254.315552000,2248
1720287254.336059000,2249
1720287254.336124000,2250
1720287254.357128000,2251
1720287254.357209000,2252
1720287254.378457000,2253
1720287254.378540000,2254
1720287254.401240000,2255
1720287254.401351000,2256
1720287254.424688000,2257
1720287254.424767000,2258
1720287254.443476000,2259
1720287254.443555000,2260
1720287254.462381000,2261
1720287254.462458000,2262
1720287254.480811000,2263
1720287254.480904000,2264
1720287254.503630000,2265
1720287254.503722000,2266
1720287254.524535000,2267
1720287254.524580000,2268
1720287254.524620000,2270
1720287254.524665000,2274
1720287254.524702000,2277
1720287254.524734000,2280
1720287254.524767000,2283
1720287254.524799000,2287
1720287254.524829000,2289
1720287254.524858000,2290
1720287254.524884000,2291
1720287254.524913000,2293
1720287254.524934000,2294
1720287254.524962000,2296
1720287254.524983000,2297
1720287254.525012000,2299
1720287254.525034000,2300
1720287254.525066000,2302
1720287254.544713000,2303
1720287254.544759000,2304
1720287254.544793000,2306
1720287254.544839000,2310
1720287254.562201000,2311
1720287254.562240000,2312
1720287254.562269000,2314
1720287254.562317000,2318
1720287254.582044000,2321
1720287254.582081000,2322
1720287254.582110000,2324
1720287254.582144000,2328
1720287254.600937000,2333
1720287254.600970000,2334
1720287254.600998000,2336
1720287254.601026000,2340
1720287254.601053000,2342
1720287254.601079000,2345
1720287254.618911000,2346
1720287254.618943000,2347
1720287254.618975000,2349
