"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720287717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720287718,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720287719,0,0,0,0,0,33,0,70,0,0,0,2,0,33,0,68,0
1720287720,0,1,0,0,0,91,0,186,0,33,0,70,0,58,0,116,0
1720287721,0,1,0,0,0,152,0,308,0,91,0,186,0,61,0,122,0
1720287722,0,1,0,0,0,200,0,406,0,152,0,308,0,48,0,98,0
1720287723,0,1,0,0,0,258,0,522,0,200,0,406,0,58,0,116,0
1720287724,0,2,0,0,0,317,0,640,0,258,0,522,0,59,0,118,0
1720287725,0,3,0,0,0,372,0,750,0,317,0,640,0,55,0,110,0
1720287726,0,4,0,0,0,424,0,852,0,372,0,750,0,52,0,102,0
1720287727,0,5,0,0,0,477,0,960,0,424,0,852,0,53,0,108,0
1720287728,0,5,0,1,0,517,0,1058,0,477,0,960,0,40,0,98,0
1720287729,0,4,1,1,0,563,0,1148,0,517,0,1058,0,46,0,90,0
1720287730,0,5,1,1,0,610,0,1243,0,563,0,1148,0,47,0,95,0
1720287731,0,6,1,1,0,662,0,1347,0,610,0,1243,0,52,0,104,0
1720287732,0,6,1,1,0,712,0,1447,0,662,0,1347,0,50,0,100,0
1720287733,0,6,1,1,0,762,0,1549,0,712,0,1447,0,50,0,102,0
1720287734,0,4,1,1,0,818,0,1661,0,762,0,1549,0,56,0,112,0
1720287735,0,4,1,1,0,857,0,1741,0,818,0,1661,0,39,0,80,0
1720287736,0,4,1,1,0,908,0,1845,0,857,0,1741,0,51,0,104,0
1720287737,0,4,1,1,0,959,0,1949,0,908,0,1845,0,51,0,104,0
1720287738,0,4,1,1,0,1009,0,2107,0,959,0,1949,0,50,0,158,0
1720287739,0,2,1,1,0,1009,0,2107,0,1009,0,2107,0,0,0,0,0
1720287740,0,1,1,1,0,1062,0,2228,0,1009,0,2107,0,53,0,121,0
1720287741,0,1,1,1,0,1125,0,2356,0,1062,0,2228,0,63,0,128,0
1720287742,0,1,1,1,0,1187,0,2480,0,1125,0,2356,0,62,0,124,0
1720287743,0,1,1,1,0,1234,0,2574,0,1187,0,2480,0,47,0,94,0
1720287744,0,1,1,1,0,1294,0,2694,0,1234,0,2574,0,60,0,120,0
1720287745,0,1,1,1,0,1354,0,2814,0,1294,0,2694,0,60,0,120,0
1720287746,0,1,1,1,0,1417,0,2940,0,1354,0,2814,0,63,0,126,0
1720287747,0,5,1,1,0,1479,0,3064,0,1417,0,2940,0,62,0,124,0
1720287748,0,5,1,1,0,1542,0,3192,0,1479,0,3064,0,63,0,128,0
1720287749,0,5,1,1,0,1565,0,3226,0,1542,0,3192,0,23,0,34,0
1720287750,0,5,1,1,0,1625,0,3348,0,1565,0,3226,0,60,0,122,0
1720287751,0,5,1,1,0,1685,0,3470,0,1625,0,3348,0,60,0,122,0
1720287752,0,5,1,1,0,1743,0,3592,0,1685,0,3470,0,58,0,122,0
1720287753,0,5,1,1,0,1803,0,3712,0,1743,0,3592,0,60,0,120,0
1720287754,0,5,1,1,0,1812,0,3726,0,1803,0,3712,0,9,0,14,0
1720287755,0,6,1,1,0,1848,0,3792,0,1812,0,3726,0,36,0,66,0
1720287756,0,5,1,1,0,1903,0,3902,0,1848,0,3792,0,55,0,110,0
1720287757,0,5,1,1,0,1949,0,3990,0,1903,0,3902,0,46,0,88,0
1720287758,0,5,1,1,0,1995,0,4135,0,1949,0,3990,0,46,0,145,0
1720287759,0,6,1,1,0,2018,0,4159,0,1995,0,4135,0,23,0,24,0
1720287760,0,5,1,1,0,2064,0,4253,0,2018,0,4159,0,46,0,94,0
1720287761,0,5,1,1,0,2114,0,4351,0,2064,0,4253,0,50,0,98,0
1720287762,0,4,1,1,0,2155,0,4431,0,2114,0,4351,0,41,0,80,0
1720287763,0,4,1,1,0,2203,0,4527,0,2155,0,4431,0,48,0,96,0
1720287764,0,4,1,1,0,2260,0,4641,0,2203,0,4527,0,57,0,114,0
1720287765,0,3,1,1,0,2313,0,4749,0,2260,0,4641,0,53,0,108,0
1720287766,0,3,1,1,0,2371,0,4865,0,2313,0,4749,0,58,0,116,0
1720287767,0,3,1,1,0,2412,0,4947,0,2371,0,4865,0,41,0,82,0
1720287768,0,3,1,1,0,2469,0,5098,0,2412,0,4947,0,57,0,151,0
1720287769,0,3,1,1,0,2473,0,5122,0,2469,0,5098,0,4,0,24,0
1720287770,0,2,1,1,0,2541,0,5266,0,2473,0,5122,0,68,0,144,0
1720287771,0,2,1,1,0,2597,0,5380,0,2541,0,5266,0,56,0,114,0
1720287772,0,3,1,1,0,2655,0,5496,0,2597,0,5380,0,58,0,116,0
1720287773,0,3,1,1,0,2710,0,5606,0,2655,0,5496,0,55,0,110,0
1720287774,0,3,1,1,0,2752,0,5690,0,2710,0,5606,0,42,0,84,0
1720287775,0,2,1,1,0,2809,0,5804,0,2752,0,5690,0,57,0,114,0
1720287776,0,2,1,1,0,2861,0,5908,0,2809,0,5804,0,52,0,104,0
1720287777,0,4,1,1,0,2912,0,6012,0,2861,0,5908,0,51,0,104,0
1720287778,0,5,1,1,0,2964,0,6152,0,2912,0,6012,0,52,0,140,0
1720287779,0,2,1,1,0,2976,0,6184,0,2964,0,6152,0,12,0,32,0
1720287780,0,2,1,1,0,3038,0,6318,0,2976,0,6184,0,62,0,134,0
1720287781,0,2,1,1,0,3085,0,6414,0,3038,0,6318,0,47,0,96,0
1720287782,0,2,1,1,0,3145,0,6536,0,3085,0,6414,0,60,0,122,0
1720287783,0,2,1,1,0,3206,0,6660,0,3145,0,6536,0,61,0,124,0
1720287784,0,2,1,1,0,3268,0,6784,0,3206,0,6660,0,62,0,124,0
1720287785,0,2,1,1,0,3329,0,6906,0,3268,0,6784,0,61,0,122,0
1720287786,0,0,1,1,0,3389,0,7026,0,3329,0,6906,0,60,0,120,0
1720287787,0,0,1,1,0,3398,0,7044,0,3389,0,7026,0,9,0,18,0
1720287788,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287789,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287790,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287791,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287792,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287793,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287794,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287795,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
1720287796,0,0,1,1,0,3398,0,7044,0,3398,0,7044,0,0,0,0,0
