"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720287375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720287376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720287377,0,0,0,0,0,13,0,34,0,0,0,0,0,13,0,34,0
1720287378,0,1,0,0,0,64,0,132,0,13,0,34,0,51,0,98,0
1720287379,0,1,0,0,0,125,0,254,0,64,0,132,0,61,0,122,0
1720287380,0,1,0,0,0,181,0,366,0,125,0,254,0,56,0,112,0
1720287381,0,2,0,0,0,238,0,480,0,181,0,366,0,57,0,114,0
1720287382,0,2,0,0,0,299,0,602,0,238,0,480,0,61,0,122,0
1720287383,0,3,0,0,0,356,0,716,0,299,0,602,0,57,0,114,0
1720287384,0,3,0,0,0,396,0,796,0,356,0,716,0,40,0,80,0
1720287385,0,4,0,0,0,448,0,902,0,396,0,796,0,52,0,106,0
1720287386,0,5,0,1,0,498,0,1004,0,448,0,902,0,50,0,102,0
1720287387,0,3,1,1,0,551,0,1122,0,498,0,1004,0,53,0,118,0
1720287388,0,5,1,1,0,595,0,1207,0,551,0,1122,0,44,0,85,0
1720287389,0,5,1,1,0,633,0,1283,0,595,0,1207,0,38,0,76,0
1720287390,0,6,1,1,0,684,0,1385,0,633,0,1283,0,51,0,102,0
1720287391,0,6,1,1,0,734,0,1485,0,684,0,1385,0,50,0,100,0
1720287392,0,4,1,1,0,784,0,1587,0,734,0,1485,0,50,0,102,0
1720287393,0,4,1,1,0,839,0,1697,0,784,0,1587,0,55,0,110,0
1720287394,0,4,1,1,0,894,0,1807,0,839,0,1697,0,55,0,110,0
1720287395,0,4,1,1,0,931,0,1883,0,894,0,1807,0,37,0,76,0
1720287396,0,4,1,1,0,984,0,1989,0,931,0,1883,0,53,0,106,0
1720287397,0,4,1,1,0,1002,0,2083,0,984,0,1989,0,18,0,94,0
1720287398,0,3,1,1,0,1029,0,2098,0,1002,0,2083,0,27,0,15,0
1720287399,0,1,1,1,0,1090,0,2284,0,1029,0,2098,0,61,0,186,0
1720287400,0,1,1,1,0,1154,0,2422,0,1090,0,2284,0,64,0,138,0
1720287401,0,1,1,1,0,1200,0,2514,0,1154,0,2422,0,46,0,92,0
1720287402,0,1,1,1,0,1262,0,2638,0,1200,0,2514,0,62,0,124,0
1720287403,0,1,1,1,0,1325,0,2764,0,1262,0,2638,0,63,0,126,0
1720287404,0,0,1,1,0,1387,0,2888,0,1325,0,2764,0,62,0,124,0
1720287405,0,1,1,1,0,1448,0,3010,0,1387,0,2888,0,61,0,122,0
1720287406,0,5,1,1,0,1509,0,3132,0,1448,0,3010,0,61,0,122,0
1720287407,0,5,1,1,0,1551,0,3214,0,1509,0,3132,0,42,0,82,0
1720287408,0,5,1,1,0,1611,0,3336,0,1551,0,3214,0,60,0,122,0
1720287409,0,5,1,1,0,1658,0,3430,0,1611,0,3336,0,47,0,94,0
1720287410,0,4,1,1,0,1719,0,3552,0,1658,0,3430,0,61,0,122,0
1720287411,0,5,1,1,0,1778,0,3670,0,1719,0,3552,0,59,0,118,0
1720287412,0,5,1,1,0,1813,0,3736,0,1778,0,3670,0,35,0,66,0
1720287413,0,5,1,1,0,1838,0,3784,0,1813,0,3736,0,25,0,48,0
1720287414,0,6,1,1,0,1893,0,3894,0,1838,0,3784,0,55,0,110,0
1720287415,0,5,1,1,0,1933,0,3972,0,1893,0,3894,0,40,0,78,0
1720287416,0,5,1,1,0,1984,0,4075,0,1933,0,3972,0,51,0,103,0
1720287417,0,6,1,1,0,1993,0,4159,0,1984,0,4075,0,9,0,84,0
1720287418,0,6,1,1,0,2047,0,4245,0,1993,0,4159,0,54,0,86,0
1720287419,0,5,1,1,0,2095,0,4339,0,2047,0,4245,0,48,0,94,0
1720287420,0,5,1,1,0,2149,0,4447,0,2095,0,4339,0,54,0,108,0
1720287421,0,4,1,1,0,2201,0,4553,0,2149,0,4447,0,52,0,106,0
1720287422,0,4,1,1,0,2240,0,4631,0,2201,0,4553,0,39,0,78,0
1720287423,0,4,1,1,0,2297,0,4745,0,2240,0,4631,0,57,0,114,0
1720287424,0,3,1,1,0,2349,0,4849,0,2297,0,4745,0,52,0,104,0
1720287425,0,3,1,1,0,2402,0,4955,0,2349,0,4849,0,53,0,106,0
1720287426,0,3,1,1,0,2458,0,5067,0,2402,0,4955,0,56,0,112,0
1720287427,0,3,1,1,0,2470,0,5149,0,2458,0,5067,0,12,0,82,0
1720287428,0,2,1,1,0,2525,0,5261,0,2470,0,5149,0,55,0,112,0
1720287429,0,2,1,1,0,2568,0,5349,0,2525,0,5261,0,43,0,88,0
1720287430,0,2,1,1,0,2623,0,5459,0,2568,0,5349,0,55,0,110,0
1720287431,0,2,1,1,0,2676,0,5565,0,2623,0,5459,0,53,0,106,0
1720287432,0,3,1,1,0,2730,0,5675,0,2676,0,5565,0,54,0,110,0
1720287433,0,2,1,1,0,2789,0,5793,0,2730,0,5675,0,59,0,118,0
1720287434,0,3,1,1,0,2844,0,5903,0,2789,0,5793,0,55,0,110,0
1720287435,0,5,1,1,0,2897,0,6009,0,2844,0,5903,0,53,0,106,0
1720287436,0,5,1,1,0,2939,0,6095,0,2897,0,6009,0,42,0,86,0
1720287437,0,3,1,1,0,2979,0,6215,0,2939,0,6095,0,40,0,120,0
1720287438,0,2,1,1,0,3008,0,6283,0,2979,0,6215,0,29,0,68,0
1720287439,0,2,1,1,0,3072,0,6413,0,3008,0,6283,0,64,0,130,0
1720287440,0,2,1,1,0,3133,0,6535,0,3072,0,6413,0,61,0,122,0
1720287441,0,2,1,1,0,3194,0,6659,0,3133,0,6535,0,61,0,124,0
1720287442,0,2,1,1,0,3255,0,6781,0,3194,0,6659,0,61,0,122,0
1720287443,0,1,1,1,0,3300,0,6873,0,3255,0,6781,0,45,0,92,0
1720287444,0,1,1,1,0,3367,0,7007,0,3300,0,6873,0,67,0,134,0
1720287445,0,1,1,1,0,3385,0,7043,0,3367,0,7007,0,18,0,36,0
1720287446,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287447,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287448,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287449,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287450,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287451,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287452,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287453,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
1720287454,0,1,1,1,0,3385,0,7043,0,3385,0,7043,0,0,0,0,0
