"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720288098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720288099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720288100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720288101,0,0,0,0,0,45,0,104,0,0,0,2,0,45,0,102,0
1720288102,0,1,0,0,0,104,0,224,0,45,0,104,0,59,0,120,0
1720288103,0,1,0,0,0,155,0,328,0,104,0,224,0,51,0,104,0
1720288104,0,1,0,0,0,213,0,444,0,155,0,328,0,58,0,116,0
1720288105,0,2,0,0,0,268,0,554,0,213,0,444,0,55,0,110,0
1720288106,0,2,0,0,0,310,0,638,0,268,0,554,0,42,0,84,0
1720288107,0,3,0,0,0,366,0,750,0,310,0,638,0,56,0,112,0
1720288108,0,4,0,0,0,423,0,866,0,366,0,750,0,57,0,116,0
1720288109,0,4,0,0,0,473,0,966,0,423,0,866,0,50,0,100,0
1720288110,0,5,1,1,0,509,0,1094,0,473,0,966,0,36,0,128,0
1720288111,0,4,1,1,0,552,0,1163,0,509,0,1094,0,43,0,69,0
1720288112,0,5,1,1,0,602,0,1263,0,552,0,1163,0,50,0,100,0
1720288113,0,6,1,1,0,655,0,1371,0,602,0,1263,0,53,0,108,0
1720288114,0,6,1,1,0,694,0,1449,0,655,0,1371,0,39,0,78,0
1720288115,0,6,1,1,0,748,0,1557,0,694,0,1449,0,54,0,108,0
1720288116,0,4,1,1,0,801,0,1663,0,748,0,1557,0,53,0,106,0
1720288117,0,4,1,1,0,851,0,1765,0,801,0,1663,0,50,0,102,0
1720288118,0,4,1,1,0,905,0,1873,0,851,0,1765,0,54,0,108,0
1720288119,0,4,1,1,0,958,0,1979,0,905,0,1873,0,53,0,106,0
1720288120,0,5,1,1,0,984,0,2093,0,958,0,1979,0,26,0,114,0
1720288121,0,2,1,1,0,984,0,2093,0,984,0,2093,0,0,0,0,0
1720288122,0,1,1,1,0,1057,0,2256,0,984,0,2093,0,73,0,163,0
1720288123,0,1,1,1,0,1122,0,2388,0,1057,0,2256,0,65,0,132,0
1720288124,0,1,1,1,0,1182,0,2508,0,1122,0,2388,0,60,0,120,0
1720288125,0,1,1,1,0,1242,0,2628,0,1182,0,2508,0,60,0,120,0
1720288126,0,1,1,1,0,1303,0,2750,0,1242,0,2628,0,61,0,122,0
1720288127,0,0,1,1,0,1364,0,2872,0,1303,0,2750,0,61,0,122,0
1720288128,0,2,1,1,0,1410,0,2964,0,1364,0,2872,0,46,0,92,0
1720288129,0,5,1,1,0,1470,0,3084,0,1410,0,2964,0,60,0,120,0
1720288130,0,5,1,1,0,1522,0,3188,0,1470,0,3084,0,52,0,104,0
1720288131,0,5,1,1,0,1565,0,3258,0,1522,0,3188,0,43,0,70,0
1720288132,0,5,1,1,0,1626,0,3380,0,1565,0,3258,0,61,0,122,0
1720288133,0,5,1,1,0,1687,0,3502,0,1626,0,3380,0,61,0,122,0
1720288134,0,5,1,1,0,1751,0,3632,0,1687,0,3502,0,64,0,130,0
1720288135,0,4,1,1,0,1796,0,3722,0,1751,0,3632,0,45,0,90,0
1720288136,0,5,1,1,0,1820,0,3766,0,1796,0,3722,0,24,0,44,0
1720288137,0,6,1,1,0,1845,0,3848,0,1820,0,3766,0,25,0,82,0
1720288138,0,5,1,1,0,1893,0,3946,0,1845,0,3848,0,48,0,98,0
1720288139,0,6,1,1,0,1944,0,4048,0,1893,0,3946,0,51,0,102,0
1720288140,0,5,1,1,0,1962,0,4143,0,1944,0,4048,0,18,0,95,0
1720288141,0,6,1,1,0,1998,0,4189,0,1962,0,4143,0,36,0,46,0
1720288142,0,6,1,1,0,2049,0,4293,0,1998,0,4189,0,51,0,104,0
1720288143,0,4,1,1,0,2099,0,4395,0,2049,0,4293,0,50,0,102,0
1720288144,0,4,1,1,0,2150,0,4495,0,2099,0,4395,0,51,0,100,0
1720288145,0,4,1,1,0,2204,0,4605,0,2150,0,4495,0,54,0,110,0
1720288146,0,4,1,1,0,2259,0,4715,0,2204,0,4605,0,55,0,110,0
1720288147,0,3,1,1,0,2298,0,4793,0,2259,0,4715,0,39,0,78,0
1720288148,0,3,1,1,0,2355,0,4907,0,2298,0,4793,0,57,0,114,0
1720288149,0,3,1,1,0,2412,0,5023,0,2355,0,4907,0,57,0,116,0
1720288150,0,3,1,1,0,2439,0,5143,0,2412,0,5023,0,27,0,120,0
1720288151,0,2,1,1,0,2477,0,5225,0,2439,0,5143,0,38,0,82,0
