"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720287252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720287253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720287254,0,0,0,0,0,17,0,38,0,0,0,0,0,17,0,38,0
1720287255,0,1,0,0,0,60,0,126,0,17,0,38,0,43,0,88,0
1720287256,0,1,0,0,0,115,0,238,0,60,0,126,0,55,0,112,0
1720287257,0,1,0,0,0,178,0,370,0,115,0,238,0,63,0,132,0
1720287258,0,1,0,0,0,229,0,472,0,178,0,370,0,51,0,102,0
1720287259,0,2,0,0,0,284,0,582,0,229,0,472,0,55,0,110,0
1720287260,0,3,0,0,0,339,0,692,0,284,0,582,0,55,0,110,0
1720287261,0,3,0,0,0,380,0,774,0,339,0,692,0,41,0,82,0
1720287262,0,3,0,0,0,432,0,880,0,380,0,774,0,52,0,106,0
1720287263,0,5,0,1,0,484,0,984,0,432,0,880,0,52,0,104,0
1720287264,0,4,1,1,0,534,0,1108,0,484,0,984,0,50,0,124,0
1720287265,0,5,1,1,0,579,0,1193,0,534,0,1108,0,45,0,85,0
1720287266,0,6,1,1,0,626,0,1289,0,579,0,1193,0,47,0,96,0
1720287267,0,6,1,1,0,677,0,1391,0,626,0,1289,0,51,0,102,0
1720287268,0,6,1,1,0,716,0,1469,0,677,0,1391,0,39,0,78,0
1720287269,0,6,1,1,0,769,0,1575,0,716,0,1469,0,53,0,106,0
1720287270,0,4,1,1,0,826,0,1689,0,769,0,1575,0,57,0,114,0
1720287271,0,4,1,1,0,875,0,1787,0,826,0,1689,0,49,0,98,0
1720287272,0,4,1,1,0,925,0,1889,0,875,0,1787,0,50,0,102,0
1720287273,0,4,1,1,0,976,0,1990,0,925,0,1889,0,51,0,101,0
1720287274,0,4,1,1,0,985,0,2060,0,976,0,1990,0,9,0,70,0
1720287275,0,4,1,1,0,985,0,2060,0,985,0,2060,0,0,0,0,0
1720287276,0,1,1,1,0,1067,0,2241,0,985,0,2060,0,82,0,181,0
1720287277,0,1,1,1,0,1129,0,2371,0,1067,0,2241,0,62,0,130,0
1720287278,0,1,1,1,0,1192,0,2499,0,1129,0,2371,0,63,0,128,0
1720287279,0,1,1,1,0,1250,0,2615,0,1192,0,2499,0,58,0,116,0
1720287280,0,0,1,1,0,1311,0,2737,0,1250,0,2615,0,61,0,122,0
1720287281,0,0,1,1,0,1357,0,2829,0,1311,0,2737,0,46,0,92,0
1720287282,0,0,1,1,0,1419,0,2955,0,1357,0,2829,0,62,0,126,0
1720287283,0,4,1,1,0,1481,0,3079,0,1419,0,2955,0,62,0,124,0
1720287284,0,5,1,1,0,1522,0,3163,0,1481,0,3079,0,41,0,84,0
1720287285,0,5,1,1,0,1579,0,3269,0,1522,0,3163,0,57,0,106,0
1720287286,0,4,1,1,0,1638,0,3393,0,1579,0,3269,0,59,0,124,0
1720287287,0,5,1,1,0,1685,0,3489,0,1638,0,3393,0,47,0,96,0
1720287288,0,5,1,1,0,1744,0,3611,0,1685,0,3489,0,59,0,122,0
1720287289,0,5,1,1,0,1805,0,3735,0,1744,0,3611,0,61,0,124,0
1720287290,0,5,1,1,0,1828,0,3777,0,1805,0,3735,0,23,0,42,0
1720287291,0,5,1,1,0,1865,0,3847,0,1828,0,3777,0,37,0,70,0
1720287292,0,5,1,1,0,1903,0,3925,0,1865,0,3847,0,38,0,78,0
1720287293,0,5,1,1,0,1954,0,4029,0,1903,0,3925,0,51,0,104,0
1720287294,0,5,1,1,0,1967,0,4112,0,1954,0,4029,0,13,0,83,0
1720287295,0,6,1,1,0,2021,0,4196,0,1967,0,4112,0,54,0,84,0
1720287296,0,5,1,1,0,2072,0,4298,0,2021,0,4196,0,51,0,102,0
1720287297,0,5,1,1,0,2121,0,4402,0,2072,0,4298,0,49,0,104,0
1720287298,0,4,1,1,0,2163,0,4488,0,2121,0,4402,0,42,0,86,0
1720287299,0,4,1,1,0,2214,0,4590,0,2163,0,4488,0,51,0,102,0
1720287300,0,4,1,1,0,2266,0,4698,0,2214,0,4590,0,52,0,108,0
1720287301,0,3,1,1,0,2323,0,4812,0,2266,0,4698,0,57,0,114,0
1720287302,0,3,1,1,0,2367,0,4900,0,2323,0,4812,0,44,0,88,0
1720287303,0,3,1,1,0,2419,0,5004,0,2367,0,4900,0,52,0,104,0
1720287304,0,3,1,1,0,2437,0,5100,0,2419,0,5004,0,18,0,96,0
1720287305,0,3,1,1,0,2487,0,5202,0,2437,0,5100,0,50,0,102,0
1720287306,0,2,1,1,0,2549,0,5326,0,2487,0,5202,0,62,0,124,0
1720287307,0,2,1,1,0,2602,0,5434,0,2549,0,5326,0,53,0,108,0
1720287308,0,3,1,1,0,2657,0,5544,0,2602,0,5434,0,55,0,110,0
1720287309,0,3,1,1,0,2699,0,5628,0,2657,0,5544,0,42,0,84,0
1720287310,0,2,1,1,0,2756,0,5742,0,2699,0,5628,0,57,0,114,0
1720287311,0,2,1,1,0,2813,0,5856,0,2756,0,5742,0,57,0,114,0
1720287312,0,5,1,1,0,2865,0,5960,0,2813,0,5856,0,52,0,104,0
1720287313,0,5,1,1,0,2918,0,6066,0,2865,0,5960,0,53,0,106,0
1720287314,0,4,1,1,0,2940,0,6158,0,2918,0,6066,0,22,0,92,0
1720287315,0,2,1,1,0,2972,0,6228,0,2940,0,6158,0,32,0,70,0
1720287316,0,2,1,1,0,3031,0,6356,0,2972,0,6228,0,59,0,128,0
1720287317,0,2,1,1,0,3091,0,6476,0,3031,0,6356,0,60,0,120,0
1720287318,0,2,1,1,0,3152,0,6598,0,3091,0,6476,0,61,0,122,0
1720287319,0,2,1,1,0,3214,0,6722,0,3152,0,6598,0,62,0,124,0
1720287320,0,2,1,1,0,3276,0,6846,0,3214,0,6722,0,62,0,124,0
1720287321,0,0,1,1,0,3341,0,6976,0,3276,0,6846,0,65,0,130,0
