time,id
1720287252.949975000,1894
1720287252.949976000,1895
1720287252.964294000,1896
1720287252.964295000,1897
1720287252.978527000,1898
1720287252.978528000,1899
1720287252.992766000,1900
1720287252.992767000,1901
1720287253.009275000,1902
1720287253.009276000,1903
1720287253.029486000,1904
1720287253.029487000,1905
1720287253.046456000,1906
1720287253.046456000,1907
1720287253.060699000,1908
1720287253.060700000,1909
1720287253.080448000,1910
1720287253.080449000,1911
1720287253.080450000,1912
1720287253.080451000,1914
1720287253.081019000,1915
1720287253.081592000,1916
1720287253.081615000,1918
1720287253.081641000,1920
1720287253.081650000,1922
1720287253.081676000,1924
1720287253.081698000,1926
1720287253.081731000,1928
1720287253.081745000,1930
1720287253.081760000,1932
1720287253.082903000,1934
1720287253.082934000,1937
1720287253.082935000,1938
1720287253.082988000,1942
1720287253.082989000,1944
1720287253.095704000,1946
1720287253.095705000,1947
1720287253.110006000,1948
1720287253.110007000,1949
1720287253.130377000,1950
1720287253.130378000,1951
1720287253.154873000,1952
1720287253.154874000,1953
1720287253.170274000,1954
1720287253.170275000,1955
1720287253.184286000,1956
1720287253.184286000,1957
1720287253.198215000,1958
1720287253.198215000,1959
1720287253.212164000,1960
1720287253.212165000,1961
1720287253.226428000,1962
1720287253.226429000,1963
1720287253.240150000,1964
1720287253.240151000,1965
1720287253.253877000,1966
1720287253.253878000,1967
1720287253.268766000,1968
1720287253.268768000,1969
1720287253.268770000,1971
1720287253.268894000,1975
1720287253.268896000,1979
1720287253.268929000,1983
1720287253.268973000,1987
1720287253.269044000,1991
1720287253.269103000,1994
1720287253.269701000,1998
1720287253.270868000,2002
1720287253.283254000,2004
1720287253.283255000,2005
1720287253.297591000,2006
1720287253.297592000,2007
1720287253.312012000,2008
1720287253.312014000,2009
1720287253.326323000,2010
1720287253.326324000,2011
1720287253.351202000,2012
1720287253.351203000,2013
1720287253.365388000,2014
1720287253.382910000,2015
1720287253.382911000,2016
1720287253.402590000,2017
1720287253.421197000,2018
1720287253.435628000,2019
1720287253.453881000,2020
1720287253.471697000,2021
1720287253.471699000,2022
1720287253.471755000,2024
1720287253.471757000,2028
1720287253.471815000,2033
1720287253.471882000,2037
1720287253.471927000,2041
1720287253.471956000,2044
1720287253.472009000,2048
1720287253.472611000,2052
1720287253.486345000,2056
1720287253.500802000,2057
1720287253.515683000,2058
1720287253.531504000,2059
1720287253.545138000,2060
1720287253.559372000,2061
1720287253.602015000,2062
1720287253.602016000,2063
1720287253.613120000,2064
1720287253.631365000,2065
1720287253.645272000,2066
1720287253.659679000,2067
1720287253.659681000,2068
1720287253.659691000,2070
1720287253.659745000,2074
1720287253.659762000,2077
1720287253.659785000,2080
1720287253.659829000,2083
1720287253.659883000,2086
1720287253.659903000,2088
1720287253.659918000,2089
1720287253.660471000,2090
1720287253.660501000,2092
1720287253.660503000,2093
1720287253.660526000,2095
1720287253.660564000,2098
1720287253.695607000,2103
1720287253.718534000,2104
1720287253.732809000,2105
1720287253.751683000,2106
1720287253.765937000,2107
1720287253.780371000,2108
1720287253.797519000,2109
1720287253.814718000,2110
1720287253.830084000,2111
1720287253.843736000,2112
1720287253.861211000,2113
1720287253.878217000,2114
1720287253.878219000,2115
1720287253.878221000,2117
1720287253.878324000,2121
1720287253.878326000,2126
1720287253.878398000,2130
1720287253.878424000,2134
1720287253.878459000,2137
1720287253.878524000,2141
1720287253.878567000,2145
1720287253.893706000,2149
1720287253.907599000,2150
1720287253.924232000,2151
1720287253.939637000,2152
1720287253.953531000,2153
1720287253.994259000,2154
1720287253.994260000,2155
1720287254.001431000,2156
1720287254.022366000,2157
1720287254.041569000,2158
1720287254.055835000,2159
1720287254.070658000,2160
1720287254.070660000,2161
1720287254.070661000,2163
1720287254.070725000,2167
1720287254.070757000,2172
1720287254.070812000,2176
1720287254.070898000,2181
1720287254.070913000,2184
1720287254.070973000,2188
1720287254.071030000,2192
1720287254.090223000,2195
1720287254.103887000,2196
1720287254.118082000,2197
1720287254.132258000,2198
1720287254.174405000,2199
1720287254.174407000,2200
1720287254.182614000,2201
1720287254.201902000,2202
1720287254.201903000,2203
1720287254.216708000,2204
1720287254.216709000,2205
1720287254.235453000,2206
1720287254.235454000,2207
1720287254.254685000,2208
1720287254.254686000,2209
1720287254.278328000,2210
1720287254.278330000,2211
1720287254.278331000,2213
1720287254.278332000,2215
1720287254.278406000,2216
1720287254.278951000,2218
1720287254.278952000,2219
1720287254.278975000,2221
1720287254.278976000,2222
1720287254.278999000,2224
1720287254.279043000,2225
1720287254.279075000,2227
1720287254.279150000,2229
1720287254.279151000,2232
1720287254.279171000,2233
1720287254.279209000,2235
1720287254.279228000,2236
1720287254.279228000,2238
1720287254.279277000,2239
1720287254.279278000,2241
1720287254.279326000,2242
1720287254.279326000,2244
1720287254.299651000,2245
1720287254.299652000,2246
1720287254.318327000,2247
1720287254.318833000,2248
1720287254.339249000,2249
1720287254.339250000,2250
1720287254.360213000,2251
1720287254.360214000,2252
1720287254.381787000,2253
1720287254.381788000,2254
1720287254.404475000,2255
1720287254.404476000,2256
1720287254.427678000,2257
1720287254.427678000,2258
1720287254.446498000,2259
1720287254.446499000,2260
1720287254.465857000,2261
1720287254.465858000,2262
1720287254.484075000,2263
1720287254.484076000,2264
1720287254.506792000,2265
1720287254.506793000,2266
1720287254.527811000,2267
1720287254.527812000,2268
1720287254.527815000,2270
1720287254.527872000,2274
1720287254.527873000,2277
1720287254.527892000,2280
1720287254.527944000,2283
1720287254.527982000,2287
1720287254.528000000,2289
1720287254.528027000,2290
1720287254.528028000,2291
1720287254.528640000,2293
1720287254.528641000,2294
1720287254.528642000,2296
1720287254.528667000,2297
1720287254.528685000,2299
1720287254.528699000,2300
1720287254.528736000,2302
1720287254.548646000,2303
1720287254.548647000,2304
1720287254.548649000,2306
1720287254.548691000,2310
1720287254.565962000,2311
1720287254.565963000,2312
1720287254.565966000,2314
1720287254.566013000,2318
1720287254.585745000,2321
1720287254.585746000,2322
1720287254.585748000,2324
1720287254.585816000,2328
1720287254.605081000,2333
1720287254.605083000,2334
1720287254.605084000,2336
1720287254.605137000,2340
1720287254.605152000,2342
1720287254.605215000,2345
1720287254.622739000,2346
1720287254.622741000,2347
1720287254.622742000,2349
1720287254.623318000,2352
1720287254.623358000,2356
1720287254.623376000,2358
1720287254.642586000,2359
1720287254.642588000,2360
1720287254.642589000,2362
1720287254.642627000,2366
1720287254.643232000,2371
1720287254.657611000,2372
1720287254.657613000,2373
1720287254.657614000,2375
1720287254.658215000,2377
1720287254.658217000,2380
1720287254.658308000,2384
1720287254.672831000,2385
1720287254.672834000,2386
1720287254.672835000,2388
1720287254.672866000,2390
1720287254.672884000,2393
1720287254.672945000,2397
1720287254.693368000,2398
1720287254.693370000,2399
1720287254.693372000,2401
1720287254.693373000,2405
1720287254.693427000,2410
1720287254.716569000,2411
1720287254.716571000,2412
1720287254.716572000,2414
1720287254.716609000,2418
1720287254.716645000,2421
1720287254.716694000,2424
1720287254.737367000,2425
1720287254.737368000,2426
1720287254.737369000,2428
1720287254.757279000,2431
1720287254.757280000,2432
1720287254.757281000,2434
1720287254.757367000,2438
1720287254.757419000,2443
1720287254.757427000,2446
1720287254.757490000,2450
1720287254.757531000,2453
1720287254.757549000,2456
1720287254.757639000,2460
1720287254.781128000,2462
1720287254.781129000,2463
1720287254.781131000,2465
1720287254.781132000,2469
1720287254.799425000,2473
1720287254.799427000,2474
1720287254.799429000,2476
1720287254.799477000,2478
1720287254.799493000,2481
1720287254.799513000,2484
1720287254.814648000,2485
1720287254.814650000,2486
1720287254.814651000,2488
1720287254.814653000,2491
1720287254.814710000,2495
1720287254.831921000,2497
1720287254.831924000,2498
1720287254.831925000,2500
1720287254.831926000,2501
1720287254.831926000,2502
1720287254.831927000,2503
1720287254.831978000,2504
1720287254.831978000,2506
1720287254.832000000,2507
1720287254.832000000,2508
1720287254.846895000,2509
1720287254.846897000,2510
1720287254.846899000,2512
1720287254.846900000,2514
1720287254.846901000,2516
1720287254.846952000,2519
1720287254.846952000,2521
1720287254.863465000,2522
1720287254.863466000,2523
1720287254.863467000,2525
1720287254.863547000,2529
1720287254.863548000,2531
1720287254.879094000,2534
1720287254.879096000,2535
1720287254.879097000,2537
1720287254.879149000,2539
1720287254.879150000,2542
1720287254.879165000,2545
1720287254.894810000,2546
1720287254.894811000,2547
1720287254.894813000,2549
1720287254.894861000,2553
1720287254.894922000,2557
1720287254.909978000,2559
1720287254.909980000,2560
1720287254.909981000,2562
1720287254.910034000,2564
1720287254.910043000,2567
1720287254.910630000,2569
1720287254.926331000,2572
1720287254.926333000,2573
1720287254.926333000,2575
1720287254.926334000,2576
1720287254.926397000,2577
1720287254.926398000,2579
1720287254.926411000,2581
1720287254.926412000,2582
1720287254.926453000,2584
1720287254.941517000,2585
1720287254.941519000,2586
1720287254.941520000,2588
1720287254.941578000,2591
1720287254.941625000,2595
1720287254.941625000,2596
1720287254.956472000,2597
1720287254.956474000,2598
1720287254.956475000,2600
1720287254.956476000,2603
1720287254.956528000,2605
1720287254.956537000,2607
1720287254.956566000,2610
1720287254.956609000,2613
1720287254.956679000,2617
1720287254.957227000,2618
1720287254.957248000,2620
1720287254.972161000,2621
1720287254.972163000,2622
1720287254.972672000,2624
1720287254.987615000,2628
1720287254.987616000,2629
1720287254.987617000,2631
1720287254.987618000,2634
1720287254.987666000,2637
1720287255.003194000,2639
1720287255.003195000,2640
1720287255.003197000,2642
1720287255.003249000,2646
1720287255.018370000,2650
1720287255.018371000,2651
1720287255.018373000,2653
1720287255.018423000,2657
1720287255.018448000,2659
1720287255.018449000,2660
1720287255.018488000,2662
1720287255.034159000,2663
1720287255.034162000,2664
1720287255.034163000,2666
1720287255.037555000,2668
1720287255.037557000,2671
1720287255.037557000,2674
1720287255.050394000,2675
1720287255.050395000,2676
1720287255.050397000,2678
1720287255.050443000,2682
1720287255.050444000,2685
1720287255.065991000,2687
1720287255.065992000,2688
1720287255.065994000,2690
1720287255.066043000,2694
1720287255.066080000,2698
1720287255.081629000,2699
1720287255.081630000,2700
1720287255.082153000,2702
1720287255.082184000,2706
1720287255.097203000,2711
1720287255.097204000,2712
1720287255.097206000,2714
1720287255.097256000,2718
1720287255.097285000,2721
1720287255.097292000,2722
1720287255.113424000,2726
1720287255.113425000,2727
1720287255.113426000,2729
1720287255.113428000,2733
1720287255.128323000,2736
1720287255.128325000,2737
1720287255.128326000,2739
1720287255.128386000,2743
1720287255.128390000,2745
1720287255.128394000,2748
1720287255.150330000,2749
1720287255.150332000,2750
1720287255.150333000,2752
1720287255.150390000,2756
1720287255.172410000,2761
1720287255.172418000,2762
1720287255.172419000,2764
1720287255.172421000,2765
1720287255.172422000,2767
1720287255.172483000,2770
1720287255.189532000,2772
1720287255.189533000,2773
1720287255.189535000,2775
1720287255.189597000,2779
1720287255.210003000,2781
1720287255.210004000,2782
1720287255.210006000,2784
1720287255.226561000,2788
1720287255.226563000,2789
1720287255.226564000,2791
1720287255.245463000,2795
1720287255.263537000,2796
1720287255.282143000,2797
1720287255.301328000,2798
1720287255.319477000,2799
1720287255.343333000,2800
1720287255.361566000,2801
1720287255.384763000,2802
1720287255.406776000,2803
1720287255.424484000,2804
1720287255.447136000,2805
1720287255.467578000,2806
1720287255.467580000,2807
1720287255.467581000,2809
1720287255.467611000,2813
1720287255.488042000,2814
1720287255.488043000,2815
1720287255.488045000,2817
1720287255.488092000,2821
1720287255.505769000,2823
1720287255.505770000,2824
1720287255.506330000,2826
1720287255.506343000,2829
1720287255.506415000,2833
1720287255.528008000,2834
1720287255.528010000,2835
1720287255.528089000,2837
1720287255.528090000,2838
1720287255.528092000,2840
1720287255.528109000,2843
1720287255.547513000,2845
1720287255.547514000,2846
1720287255.548071000,2848
1720287255.548106000,2852
1720287255.574700000,2857
1720287255.574701000,2858
1720287255.574706000,2860
1720287255.574764000,2864
1720287255.574766000,2867
1720287255.594738000,2870
1720287255.594739000,2871
1720287255.594792000,2873
1720287255.594792000,2874
1720287255.594793000,2875
1720287255.594794000,2876
1720287255.594821000,2878
1720287255.594822000,2879
1720287255.594854000,2880
1720287255.594855000,2881
1720287255.594894000,2882
1720287255.615359000,2883
1720287255.615363000,2884
1720287255.615365000,2886
1720287255.615421000,2890
1720287255.615422000,2893
1720287255.615432000,2895
1720287255.636957000,2896
1720287255.636958000,2897
1720287255.636960000,2899
1720287255.637012000,2903
1720287255.637013000,2904
1720287255.637013000,2906
1720287255.637027000,2907
1720287255.637039000,2909
1720287255.658556000,2910
1720287255.658557000,2911
1720287255.658559000,2913
1720287255.658624000,2917
1720287255.658632000,2920
1720287255.684594000,2923
1720287255.684596000,2924
1720287255.684661000,2926
1720287255.684662000,2927
1720287255.685265000,2928
1720287255.685266000,2929
1720287255.693184000,2931
1720287255.693186000,2932
1720287255.693186000,2934
1720287255.693187000,2935
1720287255.693187000,2936
1720287255.705178000,2937
1720287255.705188000,2938
1720287255.705190000,2940
1720287255.705242000,2944
1720287255.705265000,2947
1720287255.705278000,2949
1720287255.720143000,2951
1720287255.720145000,2952
1720287255.720147000,2954
1720287255.720149000,2958
1720287255.720233000,2963
1720287255.735684000,2966
1720287255.735685000,2967
1720287255.736286000,2969
1720287255.736316000,2973
1720287255.736319000,2978
1720287255.751845000,2980
1720287255.751847000,2981
1720287255.751850000,2983
1720287255.751916000,2987
1720287255.751947000,2992
1720287255.752014000,2997
1720287255.752069000,3001
1720287255.752122000,3005
1720287255.752183000,3009
1720287255.767721000,3012
1720287255.767723000,3013
1720287255.767724000,3015
1720287255.767778000,3018
1720287255.767780000,3019
1720287255.767781000,3021
1720287255.783232000,3023
1720287255.783234000,3024
1720287255.783795000,3026
1720287255.783854000,3028
1720287255.783855000,3031
1720287255.783908000,3034
1720287255.799400000,3035
1720287255.799401000,3036
1720287255.799403000,3038
1720287255.799478000,3042
1720287255.799480000,3046
1720287255.815050000,3048
1720287255.815053000,3049
1720287255.815056000,3051
1720287255.815141000,3055
1720287255.815143000,3058
