"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720286469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720286470,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720286471,0,0,0,0,0,49,0,102,0,0,0,2,0,49,0,100,0
1720286472,0,1,0,0,0,105,0,214,0,49,0,102,0,56,0,112,0
1720286473,0,1,0,0,0,161,0,326,0,105,0,214,0,56,0,112,0
1720286474,0,1,0,0,0,216,0,436,0,161,0,326,0,55,0,110,0
1720286475,0,1,0,0,0,273,0,550,0,216,0,436,0,57,0,114,0
1720286476,0,2,0,0,0,313,0,630,0,273,0,550,0,40,0,80,0
1720286477,0,3,0,0,0,368,0,740,0,313,0,630,0,55,0,110,0
1720286478,0,3,0,0,0,420,0,844,0,368,0,740,0,52,0,104,0
1720286479,0,4,0,0,0,471,0,946,0,420,0,844,0,51,0,102,0
1720286480,0,5,0,1,0,501,0,1064,0,471,0,946,0,30,0,118,0
1720286481,0,4,1,1,0,545,0,1130,0,501,0,1064,0,44,0,66,0
1720286482,0,4,1,1,0,581,0,1203,0,545,0,1130,0,36,0,73,0
1720286483,0,6,1,1,0,631,0,1303,0,581,0,1203,0,50,0,100,0
1720286484,0,6,1,1,0,683,0,1409,0,631,0,1303,0,52,0,106,0
1720286485,0,6,1,1,0,736,0,1519,0,683,0,1409,0,53,0,110,0
1720286486,0,5,1,1,0,789,0,1625,0,736,0,1519,0,53,0,106,0
1720286487,0,4,1,1,0,845,0,1737,0,789,0,1625,0,56,0,112,0
1720286488,0,4,1,1,0,886,0,1819,0,845,0,1737,0,41,0,82,0
1720286489,0,4,1,1,0,942,0,1931,0,886,0,1819,0,56,0,112,0
