"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720286246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720286247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720286248,0,0,0,0,0,13,0,34,0,0,0,0,0,13,0,34,0
1720286249,0,1,0,0,0,64,0,134,0,13,0,34,0,51,0,100,0
1720286250,0,1,0,0,0,115,0,236,0,64,0,134,0,51,0,102,0
1720286251,0,1,0,0,0,172,0,352,0,115,0,236,0,57,0,116,0
1720286252,0,1,0,0,0,219,0,452,0,172,0,352,0,47,0,100,0
1720286253,0,2,0,0,0,280,0,586,0,219,0,452,0,61,0,134,0
1720286254,0,2,0,0,0,337,0,700,0,280,0,586,0,57,0,114,0
1720286255,0,3,0,0,0,394,0,816,0,337,0,700,0,57,0,116,0
1720286256,0,5,0,0,0,450,0,930,0,394,0,816,0,56,0,114,0
1720286257,0,5,0,0,0,493,0,1018,0,450,0,930,0,43,0,88,0
1720286258,0,5,1,1,0,540,0,1151,0,493,0,1018,0,47,0,133,0
1720286259,0,4,1,1,0,579,0,1218,0,540,0,1151,0,39,0,67,0
1720286260,0,6,1,1,0,630,0,1322,0,579,0,1218,0,51,0,104,0
1720286261,0,6,1,1,0,679,0,1420,0,630,0,1322,0,49,0,98,0
1720286262,0,6,1,1,0,731,0,1524,0,679,0,1420,0,52,0,104,0
1720286263,0,5,1,1,0,767,0,1596,0,731,0,1524,0,36,0,72,0
1720286264,0,4,1,1,0,819,0,1702,0,767,0,1596,0,52,0,106,0
1720286265,0,4,1,1,0,873,0,1810,0,819,0,1702,0,54,0,108,0
1720286266,0,4,1,1,0,924,0,1912,0,873,0,1810,0,51,0,102,0
1720286267,0,4,1,1,0,976,0,2016,0,924,0,1912,0,52,0,104,0
1720286268,0,4,1,1,0,989,0,2106,0,976,0,2016,0,13,0,90,0
1720286269,0,2,1,1,0,1019,0,2155,0,989,0,2106,0,30,0,49,0
1720286270,0,1,1,1,0,1064,0,2275,0,1019,0,2155,0,45,0,120,0
1720286271,0,1,1,1,0,1127,0,2405,0,1064,0,2275,0,63,0,130,0
1720286272,0,1,1,1,0,1189,0,2535,0,1127,0,2405,0,62,0,130,0
1720286273,0,1,1,1,0,1248,0,2653,0,1189,0,2535,0,59,0,118,0
1720286274,0,1,1,1,0,1310,0,2777,0,1248,0,2653,0,62,0,124,0
1720286275,0,1,1,1,0,1372,0,2901,0,1310,0,2777,0,62,0,124,0
1720286276,0,3,1,1,0,1434,0,3025,0,1372,0,2901,0,62,0,124,0
1720286277,0,5,1,1,0,1496,0,3149,0,1434,0,3025,0,62,0,124,0
1720286278,0,5,1,1,0,1537,0,3233,0,1496,0,3149,0,41,0,84,0
1720286279,0,5,1,1,0,1587,0,3325,0,1537,0,3233,0,50,0,92,0
1720286280,0,5,1,1,0,1647,0,3447,0,1587,0,3325,0,60,0,122,0
1720286281,0,5,1,1,0,1707,0,3569,0,1647,0,3447,0,60,0,122,0
1720286282,0,5,1,1,0,1768,0,3693,0,1707,0,3569,0,61,0,124,0
1720286283,0,5,1,1,0,1803,0,3761,0,1768,0,3693,0,35,0,68,0
1720286284,0,5,1,1,0,1821,0,3793,0,1803,0,3761,0,18,0,32,0
1720286285,0,6,1,1,0,1868,0,3887,0,1821,0,3793,0,47,0,94,0
1720286286,0,5,1,1,0,1918,0,3987,0,1868,0,3887,0,50,0,100,0
1720286287,0,5,1,1,0,1971,0,4095,0,1918,0,3987,0,53,0,108,0
1720286288,0,5,1,1,0,1983,0,4178,0,1971,0,4095,0,12,0,83,0
1720286289,0,6,1,1,0,2027,0,4240,0,1983,0,4178,0,44,0,62,0
1720286290,0,6,1,1,0,2078,0,4342,0,2027,0,4240,0,51,0,102,0
1720286291,0,4,1,1,0,2132,0,4450,0,2078,0,4342,0,54,0,108,0
1720286292,0,4,1,1,0,2183,0,4552,0,2132,0,4450,0,51,0,102,0
1720286293,0,4,1,1,0,2234,0,4654,0,2183,0,4552,0,51,0,102,0
1720286294,0,4,1,1,0,2291,0,4768,0,2234,0,4654,0,57,0,114,0
1720286295,0,3,1,1,0,2346,0,4878,0,2291,0,4768,0,55,0,110,0
1720286296,0,3,1,1,0,2399,0,4984,0,2346,0,4878,0,53,0,106,0
1720286297,0,3,1,1,0,2439,0,5064,0,2399,0,4984,0,40,0,80,0
1720286298,0,3,1,1,0,2461,0,5177,0,2439,0,5064,0,22,0,113,0
1720286299,0,2,1,1,0,2502,0,5258,0,2461,0,5177,0,41,0,81,0
1720286300,0,2,1,1,0,2561,0,5376,0,2502,0,5258,0,59,0,118,0
1720286301,0,3,1,1,0,2620,0,5494,0,2561,0,5376,0,59,0,118,0
1720286302,0,3,1,1,0,2675,0,5604,0,2620,0,5494,0,55,0,110,0
1720286303,0,3,1,1,0,2735,0,5724,0,2675,0,5604,0,60,0,120,0
1720286304,0,2,1,1,0,2778,0,5810,0,2735,0,5724,0,43,0,86,0
1720286305,0,5,1,1,0,2832,0,5920,0,2778,0,5810,0,54,0,110,0
1720286306,0,5,1,1,0,2887,0,6030,0,2832,0,5920,0,55,0,110,0
1720286307,0,4,1,1,0,2940,0,6136,0,2887,0,6030,0,53,0,106,0
1720286308,0,2,1,1,0,2985,0,6254,0,2940,0,6136,0,45,0,118,0
1720286309,0,2,1,1,0,3016,0,6320,0,2985,0,6254,0,31,0,66,0
1720286310,0,2,1,1,0,3078,0,6450,0,3016,0,6320,0,62,0,130,0
1720286311,0,2,1,1,0,3140,0,6574,0,3078,0,6450,0,62,0,124,0
1720286312,0,2,1,1,0,3186,0,6666,0,3140,0,6574,0,46,0,92,0
1720286313,0,2,1,1,0,3248,0,6790,0,3186,0,6666,0,62,0,124,0
1720286314,0,1,1,1,0,3310,0,6914,0,3248,0,6790,0,62,0,124,0
1720286315,0,1,1,1,0,3369,0,7032,0,3310,0,6914,0,59,0,118,0
1720286316,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286317,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286318,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286319,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286320,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286321,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286322,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286323,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
1720286324,0,1,1,1,0,3369,0,7032,0,3369,0,7032,0,0,0,0,0
