"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720286663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720286664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720286665,0,0,0,0,0,12,0,34,0,0,0,0,0,12,0,34,0
1720286666,0,1,0,0,0,62,0,134,0,12,0,34,0,50,0,100,0
1720286667,0,1,0,0,0,120,0,252,0,62,0,134,0,58,0,118,0
1720286668,0,1,0,0,0,181,0,378,0,120,0,252,0,61,0,126,0
1720286669,0,2,0,0,0,241,0,504,0,181,0,378,0,60,0,126,0
1720286670,0,2,0,0,0,285,0,594,0,241,0,504,0,44,0,90,0
1720286671,0,2,0,0,0,342,0,708,0,285,0,594,0,57,0,114,0
1720286672,0,3,0,0,0,394,0,812,0,342,0,708,0,52,0,104,0
1720286673,0,4,0,0,0,452,0,928,0,394,0,812,0,58,0,116,0
1720286674,0,5,0,1,0,501,0,1026,0,452,0,928,0,49,0,98,0
1720286675,0,4,1,1,0,535,0,1142,0,501,0,1026,0,34,0,116,0
1720286676,0,6,1,1,0,582,0,1221,0,535,0,1142,0,47,0,79,0
1720286677,0,6,1,1,0,633,0,1323,0,582,0,1221,0,51,0,102,0
1720286678,0,6,1,1,0,673,0,1403,0,633,0,1323,0,40,0,80,0
1720286679,0,6,1,1,0,725,0,1511,0,673,0,1403,0,52,0,108,0
1720286680,0,4,1,1,0,779,0,1617,0,725,0,1511,0,54,0,106,0
1720286681,0,4,1,1,0,834,0,1727,0,779,0,1617,0,55,0,110,0
1720286682,0,4,1,1,0,871,0,1803,0,834,0,1727,0,37,0,76,0
1720286683,0,4,1,1,0,921,0,1905,0,871,0,1803,0,50,0,102,0
1720286684,0,4,1,1,0,973,0,2009,0,921,0,1905,0,52,0,104,0
1720286685,0,4,1,1,0,993,0,2105,0,973,0,2009,0,20,0,96,0
1720286686,0,2,1,1,0,1020,0,2118,0,993,0,2105,0,27,0,13,0
1720286687,0,1,1,1,0,1081,0,2298,0,1020,0,2118,0,61,0,180,0
1720286688,0,1,1,1,0,1129,0,2396,0,1081,0,2298,0,48,0,98,0
1720286689,0,1,1,1,0,1191,0,2520,0,1129,0,2396,0,62,0,124,0
1720286690,0,1,1,1,0,1250,0,2638,0,1191,0,2520,0,59,0,118,0
