"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720286801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720286802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720286803,0,0,0,0,0,13,0,34,0,0,0,0,0,13,0,34,0
1720286804,0,1,0,0,0,61,0,130,0,13,0,34,0,48,0,96,0
1720286805,0,1,0,0,0,117,0,244,0,61,0,130,0,56,0,114,0
1720286806,0,1,0,0,0,160,0,340,0,117,0,244,0,43,0,96,0
1720286807,0,1,0,0,0,216,0,464,0,160,0,340,0,56,0,124,0
1720286808,0,2,0,0,0,272,0,588,0,216,0,464,0,56,0,124,0
1720286809,0,3,0,0,0,326,0,704,0,272,0,588,0,54,0,116,0
1720286810,0,3,0,0,0,378,0,816,0,326,0,704,0,52,0,112,0
1720286811,0,5,0,0,0,431,0,922,0,378,0,816,0,53,0,106,0
1720286812,0,5,0,0,0,468,0,998,0,431,0,922,0,37,0,76,0
1720286813,0,5,1,1,0,511,0,1130,0,468,0,998,0,43,0,132,0
1720286814,0,4,1,1,0,549,0,1195,0,511,0,1130,0,38,0,65,0
1720286815,0,5,1,1,0,598,0,1293,0,549,0,1195,0,49,0,98,0
1720286816,0,6,1,1,0,648,0,1393,0,598,0,1293,0,50,0,100,0
1720286817,0,6,1,1,0,697,0,1493,0,648,0,1393,0,49,0,100,0
1720286818,0,5,1,1,0,751,0,1601,0,697,0,1493,0,54,0,108,0
1720286819,0,4,1,1,0,792,0,1685,0,751,0,1601,0,41,0,84,0
1720286820,0,4,1,1,0,846,0,1795,0,792,0,1685,0,54,0,110,0
1720286821,0,4,1,1,0,897,0,1901,0,846,0,1795,0,51,0,106,0
1720286822,0,4,1,1,0,949,0,2009,0,897,0,1901,0,52,0,108,0
1720286823,0,4,1,1,0,966,0,2103,0,949,0,2009,0,17,0,94,0
1720286824,0,2,1,1,0,994,0,2135,0,966,0,2103,0,28,0,32,0
1720286825,0,1,1,1,0,1041,0,2276,0,994,0,2135,0,47,0,141,0
1720286826,0,1,1,1,0,1102,0,2398,0,1041,0,2276,0,61,0,122,0
1720286827,0,1,1,1,0,1162,0,2518,0,1102,0,2398,0,60,0,120,0
1720286828,0,1,1,1,0,1222,0,2638,0,1162,0,2518,0,60,0,120,0
1720286829,0,1,1,1,0,1282,0,2758,0,1222,0,2638,0,60,0,120,0
1720286830,0,0,1,1,0,1345,0,2884,0,1282,0,2758,0,63,0,126,0
1720286831,0,2,1,1,0,1392,0,2978,0,1345,0,2884,0,47,0,94,0
1720286832,0,5,1,1,0,1454,0,3102,0,1392,0,2978,0,62,0,124,0
1720286833,0,5,1,1,0,1505,0,3208,0,1454,0,3102,0,51,0,106,0
1720286834,0,5,1,1,0,1550,0,3290,0,1505,0,3208,0,45,0,82,0
1720286835,0,5,1,1,0,1611,0,3416,0,1550,0,3290,0,61,0,126,0
1720286836,0,4,1,1,0,1672,0,3538,0,1611,0,3416,0,61,0,122,0
1720286837,0,5,1,1,0,1718,0,3630,0,1672,0,3538,0,46,0,92,0
1720286838,0,5,1,1,0,1769,0,3728,0,1718,0,3630,0,51,0,98,0
