time,id
1720286802.140144000,4143
1720286802.140145000,4144
1720286802.161348000,4145
1720286802.161349000,4146
1720286802.176141000,4147
1720286802.176142000,4148
1720286802.192658000,4149
1720286802.192658000,4150
1720286802.210450000,4151
1720286802.210451000,4152
1720286802.236578000,4153
1720286802.236582000,4154
1720286802.236628000,4155
1720286802.236629000,4157
1720286802.236698000,4159
1720286802.236908000,4160
1720286802.236938000,4162
1720286802.236944000,4164
1720286802.236967000,4166
1720286802.236982000,4168
1720286802.237025000,4170
1720286802.237055000,4172
1720286802.237089000,4174
1720286802.237174000,4176
1720286802.237226000,4178
1720286802.237247000,4181
1720286802.237270000,4182
1720286802.237313000,4186
1720286802.262823000,4189
1720286802.262824000,4190
1720286802.277598000,4191
1720286802.277599000,4192
1720286802.292072000,4193
1720286802.292073000,4194
1720286802.306184000,4195
1720286802.306185000,4196
1720286802.320826000,4197
1720286802.320827000,4198
1720286802.335265000,4199
1720286802.335267000,4200
1720286802.349423000,4201
1720286802.349424000,4202
1720286802.363571000,4203
1720286802.363572000,4204
1720286802.377785000,4205
1720286802.377786000,4206
1720286802.391691000,4207
1720286802.391693000,4208
1720286802.406139000,4209
1720286802.406140000,4210
1720286802.421571000,4211
1720286802.421573000,4212
1720286802.421575000,4214
1720286802.421671000,4218
1720286802.421671000,4220
1720286802.421672000,4222
1720286802.421717000,4224
1720286802.421749000,4227
1720286802.421750000,4228
1720286802.421775000,4230
1720286802.421829000,4232
1720286802.421831000,4233
1720286802.421845000,4235
1720286802.421863000,4237
1720286802.421989000,4240
1720286802.436155000,4247
1720286802.436155000,4248
1720286802.450450000,4249
1720286802.450450000,4250
1720286802.464440000,4251
1720286802.464441000,4252
1720286802.479037000,4253
1720286802.479038000,4254
1720286802.503350000,4255
1720286802.503351000,4256
1720286802.524425000,4257
1720286802.543582000,4258
1720286802.543583000,4259
1720286802.567778000,4260
1720286802.581878000,4261
1720286802.600139000,4262
1720286802.620196000,4263
1720286802.636760000,4264
1720286802.636762000,4265
1720286802.636762000,4267
1720286802.636763000,4268
1720286802.637114000,4270
1720286802.637116000,4271
1720286802.637162000,4272
1720286802.637163000,4273
1720286802.637237000,4274
1720286802.637239000,4275
1720286802.637262000,4276
1720286802.637263000,4277
1720286802.637326000,4278
1720286802.637327000,4279
1720286802.637373000,4280
1720286802.637374000,4281
1720286802.637402000,4282
1720286802.637403000,4283
1720286802.637991000,4284
1720286802.638009000,4285
1720286802.638067000,4287
1720286802.638286000,4288
1720286802.638309000,4289
1720286802.638357000,4291
1720286802.638384000,4294
1720286802.638447000,4298
1720286802.651561000,4299
1720286802.669560000,4300
1720286802.685698000,4301
1720286802.711575000,4302
1720286802.733922000,4303
1720286802.747985000,4304
1720286802.791961000,4305
1720286802.791962000,4306
1720286802.802163000,4307
1720286802.816320000,4308
1720286802.830379000,4309
1720286802.845040000,4310
1720286802.845044000,4311
1720286802.845141000,4313
1720286802.845144000,4317
1720286802.845168000,4321
1720286802.845213000,4326
1720286802.845249000,4329
1720286802.845330000,4333
1720286802.845349000,4336
1720286802.845410000,4340
1720286802.845484000,4343
1720286802.859511000,4346
1720286802.873622000,4347
1720286802.887618000,4348
1720286802.901606000,4349
1720286802.915804000,4350
1720286802.929864000,4351
1720286802.943890000,4352
1720286802.957857000,4353
1720286802.971940000,4354
1720286802.985915000,4355
1720286803.000105000,4356
1720286803.014967000,4357
1720286803.014969000,4358
1720286803.015041000,4360
1720286803.015042000,4361
1720286803.015081000,4362
1720286803.015082000,4363
1720286803.015247000,4364
1720286803.015248000,4365
1720286803.015249000,4366
1720286803.015342000,4367
1720286803.015378000,4368
1720286803.015381000,4369
1720286803.015381000,4371
1720286803.015474000,4372
1720286803.015476000,4373
1720286803.015513000,4375
1720286803.015514000,4376
1720286803.015584000,4377
1720286803.015624000,4378
1720286803.015844000,4380
1720286803.015845000,4381
1720286803.015845000,4382
1720286803.015847000,4383
1720286803.015847000,4385
1720286803.015848000,4386
1720286803.015848000,4387
1720286803.015918000,4388
1720286803.015918000,4389
1720286803.015919000,4390
1720286803.015919000,4391
1720286803.029593000,4392
1720286803.053894000,4393
1720286803.068019000,4394
1720286803.082142000,4395
1720286803.096101000,4396
1720286803.140024000,4397
1720286803.140025000,4398
1720286803.152622000,4399
1720286803.167438000,4400
1720286803.186895000,4401
1720286803.201304000,4402
1720286803.216671000,4403
1720286803.216673000,4404
1720286803.216674000,4406
1720286803.216747000,4408
1720286803.216749000,4411
1720286803.216751000,4414
1720286803.216800000,4417
1720286803.216816000,4421
1720286803.216869000,4424
1720286803.216894000,4426
1720286803.216922000,4428
1720286803.216975000,4431
1720286803.217008000,4433
1720286803.217028000,4436
1720286803.242739000,4438
1720286803.261935000,4439
1720286803.276156000,4440
1720286803.290036000,4441
1720286803.331955000,4442
1720286803.334894000,4443
1720286803.349216000,4444
1720286803.363354000,4445
1720286803.363354000,4446
1720286803.388882000,4447
1720286803.388883000,4448
1720286803.408922000,4449
1720286803.408923000,4450
1720286803.422747000,4451
1720286803.422748000,4452
1720286803.437587000,4453
1720286803.437588000,4454
1720286803.437588000,4456
1720286803.437590000,4457
1720286803.437668000,4459
1720286803.437720000,4461
1720286803.437721000,4463
1720286803.437756000,4465
1720286803.437787000,4468
1720286803.437820000,4471
1720286803.437868000,4474
1720286803.437877000,4476
1720286803.437919000,4479
1720286803.437941000,4481
1720286803.437984000,4484
1720286803.437997000,4486
1720286803.451674000,4488
1720286803.451675000,4489
1720286803.477442000,4490
1720286803.477443000,4491
1720286803.496879000,4492
1720286803.496880000,4493
1720286803.511148000,4494
1720286803.511149000,4495
1720286803.525180000,4496
1720286803.525181000,4497
1720286803.550739000,4498
1720286803.550740000,4499
1720286803.568291000,4500
1720286803.568291000,4501
1720286803.594124000,4502
1720286803.594125000,4503
1720286803.618722000,4504
1720286803.618723000,4505
1720286803.633153000,4506
1720286803.633154000,4507
1720286803.653622000,4508
1720286803.653623000,4509
1720286803.668448000,4510
1720286803.668450000,4511
1720286803.668454000,4513
1720286803.668515000,4517
1720286803.668542000,4522
1720286803.668547000,4523
1720286803.668602000,4527
1720286803.668665000,4530
1720286803.668688000,4533
1720286803.668742000,4537
1720286803.668794000,4541
1720286803.668839000,4545
1720286803.683762000,4546
1720286803.683763000,4547
1720286803.683814000,4549
1720286803.683816000,4550
1720286803.683816000,4552
1720286803.683817000,4553
1720286803.698202000,4554
1720286803.698203000,4555
1720286803.698205000,4557
1720286803.698270000,4561
1720286803.713078000,4564
1720286803.713079000,4565
1720286803.713080000,4567
1720286803.713139000,4569
1720286803.713140000,4571
1720286803.713141000,4574
1720286803.728047000,4576
1720286803.728049000,4577
1720286803.728050000,4579
1720286803.728108000,4582
1720286803.728110000,4585
1720286803.742949000,4589
1720286803.742951000,4590
1720286803.742952000,4592
1720286803.742952000,4593
1720286803.743007000,4595
1720286803.743008000,4596
1720286803.743009000,4598
1720286803.743009000,4599
1720286803.743026000,4601
1720286803.757732000,4602
1720286803.757734000,4603
1720286803.757735000,4605
1720286803.757802000,4609
1720286803.757808000,4614
1720286803.772735000,4615
1720286803.772737000,4616
1720286803.772738000,4618
1720286803.772793000,4622
1720286803.772794000,4624
1720286803.772813000,4627
1720286803.787795000,4628
1720286803.787797000,4629
1720286803.787798000,4631
1720286803.787846000,4634
1720286803.787847000,4638
1720286803.802880000,4641
1720286803.802881000,4642
1720286803.802882000,4644
1720286803.802935000,4645
1720286803.802936000,4647
1720286803.802954000,4649
1720286803.802986000,4651
1720286803.817934000,4654
1720286803.817935000,4655
1720286803.817983000,4657
1720286803.817984000,4658
1720286803.817984000,4659
1720286803.818002000,4660
1720286803.818035000,4661
1720286803.818041000,4662
1720286803.818088000,4663
1720286803.818089000,4664
1720286803.818126000,4665
1720286803.818127000,4666
1720286803.818134000,4667
1720286803.832297000,4668
1720286803.832299000,4669
1720286803.832300000,4671
1720286803.847174000,4674
1720286803.847176000,4675
1720286803.847224000,4677
1720286803.847242000,4681
1720286803.847350000,4690
1720286803.847451000,4697
1720286803.847502000,4704
1720286803.862896000,4705
1720286803.862897000,4706
1720286803.862899000,4708
1720286803.862951000,4712
1720286803.878660000,4716
1720286803.878664000,4717
1720286803.878665000,4719
1720286803.878717000,4723
1720286803.894310000,4728
1720286803.894311000,4729
1720286803.894312000,4731
1720286803.894313000,4732
1720286803.894314000,4734
1720286803.894380000,4735
