"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720211398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720211399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720211400,0,0,0,0,0,12,0,34,0,0,0,0,0,12,0,34,0
1720211401,0,1,0,0,0,60,0,132,0,12,0,34,0,48,0,98,0
1720211402,0,1,0,0,0,117,0,246,0,60,0,132,0,57,0,114,0
1720211403,0,1,0,0,0,164,0,342,0,117,0,246,0,47,0,96,0
1720211404,0,1,0,0,0,221,0,456,0,164,0,342,0,57,0,114,0
1720211405,0,2,0,0,0,278,0,580,0,221,0,456,0,57,0,124,0
1720211406,0,2,0,0,0,330,0,686,0,278,0,580,0,52,0,106,0
1720211407,0,3,0,0,0,386,0,800,0,330,0,686,0,56,0,114,0
1720211408,0,5,0,0,0,438,0,904,0,386,0,800,0,52,0,104,0
1720211409,0,5,0,0,0,476,0,980,0,438,0,904,0,38,0,76,0
1720211410,0,5,1,1,0,511,0,1107,0,476,0,980,0,35,0,127,0
1720211411,0,4,1,1,0,553,0,1178,0,511,0,1107,0,42,0,71,0
1720211412,0,6,1,1,0,604,0,1280,0,553,0,1178,0,51,0,102,0
1720211413,0,6,1,1,0,655,0,1382,0,604,0,1280,0,51,0,102,0
1720211414,0,6,1,1,0,702,0,1478,0,655,0,1382,0,47,0,96,0
1720211415,0,5,1,1,0,740,0,1552,0,702,0,1478,0,38,0,74,0
1720211416,0,4,1,1,0,795,0,1662,0,740,0,1552,0,55,0,110,0
1720211417,0,4,1,1,0,846,0,1766,0,795,0,1662,0,51,0,104,0
1720211418,0,4,1,1,0,898,0,1872,0,846,0,1766,0,52,0,106,0
1720211419,0,4,1,1,0,949,0,1976,0,898,0,1872,0,51,0,104,0
1720211420,0,4,1,1,0,963,0,2070,0,949,0,1976,0,14,0,94,0
1720211421,0,3,1,1,0,989,0,2082,0,963,0,2070,0,26,0,12,0
1720211422,0,1,1,1,0,1037,0,2241,0,989,0,2082,0,48,0,159,0
1720211423,0,1,1,1,0,1100,0,2369,0,1037,0,2241,0,63,0,128,0
1720211424,0,1,1,1,0,1159,0,2489,0,1100,0,2369,0,59,0,120,0
1720211425,0,1,1,1,0,1216,0,2603,0,1159,0,2489,0,57,0,114,0
1720211426,0,1,1,1,0,1276,0,2723,0,1216,0,2603,0,60,0,120,0
1720211427,0,0,1,1,0,1340,0,2851,0,1276,0,2723,0,64,0,128,0
1720211428,0,1,1,1,0,1387,0,2945,0,1340,0,2851,0,47,0,94,0
1720211429,0,5,1,1,0,1445,0,3065,0,1387,0,2945,0,58,0,120,0
1720211430,0,5,1,1,0,1496,0,3167,0,1445,0,3065,0,51,0,102,0
1720211431,0,5,1,1,0,1544,0,3249,0,1496,0,3167,0,48,0,82,0
1720211432,0,5,1,1,0,1607,0,3375,0,1544,0,3249,0,63,0,126,0
1720211433,0,5,1,1,0,1654,0,3471,0,1607,0,3375,0,47,0,96,0
1720211434,0,5,1,1,0,1713,0,3591,0,1654,0,3471,0,59,0,120,0
1720211435,0,5,1,1,0,1774,0,3713,0,1713,0,3591,0,61,0,122,0
1720211436,0,5,1,1,0,1814,0,3791,0,1774,0,3713,0,40,0,78,0
1720211437,0,6,1,1,0,1833,0,3823,0,1814,0,3791,0,19,0,32,0
1720211438,0,6,1,1,0,1889,0,3931,0,1833,0,3823,0,56,0,108,0
1720211439,0,5,1,1,0,1927,0,4005,0,1889,0,3931,0,38,0,74,0
1720211440,0,5,1,1,0,1953,0,4110,0,1927,0,4005,0,26,0,105,0
1720211441,0,6,1,1,0,1997,0,4174,0,1953,0,4110,0,44,0,64,0
1720211442,0,5,1,1,0,2044,0,4266,0,1997,0,4174,0,47,0,92,0
1720211443,0,5,1,1,0,2097,0,4372,0,2044,0,4266,0,53,0,106,0
