"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720211257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720211258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720211259,0,0,0,0,0,18,0,36,0,0,0,0,0,18,0,36,0
1720211260,0,1,0,0,0,79,0,166,0,18,0,36,0,61,0,130,0
1720211261,0,1,0,0,0,140,0,290,0,79,0,166,0,61,0,124,0
1720211262,0,1,0,0,0,198,0,406,0,140,0,290,0,58,0,116,0
1720211263,0,1,0,0,0,240,0,496,0,198,0,406,0,42,0,90,0
1720211264,0,2,0,0,0,293,0,604,0,240,0,496,0,53,0,108,0
1720211265,0,3,0,0,0,350,0,718,0,293,0,604,0,57,0,114,0
1720211266,0,4,0,0,0,404,0,828,0,350,0,718,0,54,0,110,0
1720211267,0,5,0,0,0,455,0,936,0,404,0,828,0,51,0,108,0
1720211268,0,5,0,1,0,506,0,1038,0,455,0,936,0,51,0,102,0
1720211269,0,3,1,1,0,554,0,1140,0,506,0,1038,0,48,0,102,0
1720211270,0,5,1,1,0,590,0,1213,0,554,0,1140,0,36,0,73,0
1720211271,0,6,1,1,0,640,0,1313,0,590,0,1213,0,50,0,100,0
1720211272,0,6,1,1,0,689,0,1413,0,640,0,1313,0,49,0,100,0
1720211273,0,5,1,1,0,740,0,1519,0,689,0,1413,0,51,0,106,0
1720211274,0,4,1,1,0,792,0,1627,0,740,0,1519,0,52,0,108,0
1720211275,0,4,1,1,0,829,0,1701,0,792,0,1627,0,37,0,74,0
1720211276,0,4,1,1,0,881,0,1807,0,829,0,1701,0,52,0,106,0
1720211277,0,4,1,1,0,932,0,1909,0,881,0,1807,0,51,0,102,0
1720211278,0,4,1,1,0,981,0,2028,0,932,0,1909,0,49,0,119,0
1720211279,0,3,1,1,0,986,0,2073,0,981,0,2028,0,5,0,45,0
1720211280,0,1,1,1,0,1024,0,2164,0,986,0,2073,0,38,0,91,0
1720211281,0,1,1,1,0,1070,0,2256,0,1024,0,2164,0,46,0,92,0
1720211282,0,1,1,1,0,1129,0,2376,0,1070,0,2256,0,59,0,120,0
1720211283,0,1,1,1,0,1191,0,2500,0,1129,0,2376,0,62,0,124,0
1720211284,0,1,1,1,0,1252,0,2622,0,1191,0,2500,0,61,0,122,0
1720211285,0,0,1,1,0,1311,0,2742,0,1252,0,2622,0,59,0,120,0
1720211286,0,0,1,1,0,1375,0,2872,0,1311,0,2742,0,64,0,130,0
1720211287,0,0,1,1,0,1421,0,2966,0,1375,0,2872,0,46,0,94,0
1720211288,0,4,1,1,0,1479,0,3086,0,1421,0,2966,0,58,0,120,0
1720211289,0,5,1,1,0,1516,0,3164,0,1479,0,3086,0,37,0,78,0
1720211290,0,5,1,1,0,1575,0,3268,0,1516,0,3164,0,59,0,104,0
1720211291,0,5,1,1,0,1637,0,3394,0,1575,0,3268,0,62,0,126,0
1720211292,0,4,1,1,0,1699,0,3518,0,1637,0,3394,0,62,0,124,0
1720211293,0,4,1,1,0,1742,0,3608,0,1699,0,3518,0,43,0,90,0
1720211294,0,5,1,1,0,1807,0,3738,0,1742,0,3608,0,65,0,130,0
1720211295,0,4,1,1,0,1820,0,3756,0,1807,0,3738,0,13,0,18,0
1720211296,0,6,1,1,0,1865,0,3848,0,1820,0,3756,0,45,0,92,0
1720211297,0,5,1,1,0,1916,0,3948,0,1865,0,3848,0,51,0,100,0
1720211298,0,5,1,1,0,1956,0,4027,0,1916,0,3948,0,40,0,79,0
1720211299,0,5,1,1,0,1967,0,4103,0,1956,0,4027,0,11,0,76,0
1720211300,0,6,1,1,0,2023,0,4201,0,1967,0,4103,0,56,0,98,0
1720211301,0,5,1,1,0,2072,0,4301,0,2023,0,4201,0,49,0,100,0
1720211302,0,5,1,1,0,2123,0,4407,0,2072,0,4301,0,51,0,106,0
1720211303,0,4,1,1,0,2174,0,4511,0,2123,0,4407,0,51,0,104,0
1720211304,0,4,1,1,0,2219,0,4601,0,2174,0,4511,0,45,0,90,0
1720211305,0,4,1,1,0,2271,0,4709,0,2219,0,4601,0,52,0,108,0
1720211306,0,4,1,1,0,2330,0,4827,0,2271,0,4709,0,59,0,118,0
1720211307,0,3,1,1,0,2384,0,4937,0,2330,0,4827,0,54,0,110,0
1720211308,0,3,1,1,0,2433,0,5105,0,2384,0,4937,0,49,0,168,0
1720211309,0,3,1,1,0,2433,0,5105,0,2433,0,5105,0,0,0,0,0
1720211310,0,3,1,1,0,2489,0,5215,0,2433,0,5105,0,56,0,110,0
1720211311,0,2,1,1,0,2543,0,5323,0,2489,0,5215,0,54,0,108,0
1720211312,0,2,1,1,0,2597,0,5433,0,2543,0,5323,0,54,0,110,0
1720211313,0,2,1,1,0,2648,0,5541,0,2597,0,5433,0,51,0,108,0
1720211314,0,3,1,1,0,2703,0,5651,0,2648,0,5541,0,55,0,110,0
1720211315,0,3,1,1,0,2760,0,5767,0,2703,0,5651,0,57,0,116,0
1720211316,0,2,1,1,0,2803,0,5855,0,2760,0,5767,0,43,0,88,0
1720211317,0,4,1,1,0,2856,0,5965,0,2803,0,5855,0,53,0,110,0
1720211318,0,5,1,1,0,2907,0,6067,0,2856,0,5965,0,51,0,102,0
1720211319,0,4,1,1,0,2929,0,6157,0,2907,0,6067,0,22,0,90,0
1720211320,0,3,1,1,0,2974,0,6254,0,2929,0,6157,0,45,0,97,0
1720211321,0,2,1,1,0,3039,0,6388,0,2974,0,6254,0,65,0,134,0
1720211322,0,2,1,1,0,3083,0,6478,0,3039,0,6388,0,44,0,90,0
1720211323,0,2,1,1,0,3145,0,6602,0,3083,0,6478,0,62,0,124,0
1720211324,0,2,1,1,0,3206,0,6724,0,3145,0,6602,0,61,0,122,0
1720211325,0,2,1,1,0,3267,0,6848,0,3206,0,6724,0,61,0,124,0
1720211326,0,1,1,1,0,3329,0,6972,0,3267,0,6848,0,62,0,124,0
1720211327,0,1,1,1,0,3361,0,7036,0,3329,0,6972,0,32,0,64,0
1720211328,0,1,1,1,0,3361,0,7036,0,3361,0,7036,0,0,0,0,0
1720211329,0,1,1,1,0,3361,0,7036,0,3361,0,7036,0,0,0,0,0
1720211330,0,1,1,1,0,3361,0,7036,0,3361,0,7036,0,0,0,0,0
1720211331,0,1,1,1,0,3361,0,7036,0,3361,0,7036,0,0,0,0,0
1720211332,0,1,1,1,0,3361,0,7036,0,3361,0,7036,0,0,0,0,0
1720211333,0,1,1,1,0,3361,0,7036,0,3361,0,7036,0,0,0,0,0
