"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720211530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720211531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720211532,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720211533,0,0,0,0,0,49,0,102,0,0,0,2,0,49,0,100,0
1720211534,0,1,0,0,0,104,0,214,0,49,0,102,0,55,0,112,0
1720211535,0,1,0,0,0,163,0,336,0,104,0,214,0,59,0,122,0
1720211536,0,1,0,0,0,222,0,454,0,163,0,336,0,59,0,118,0
1720211537,0,2,0,0,0,279,0,568,0,222,0,454,0,57,0,114,0
1720211538,0,2,0,0,0,319,0,648,0,279,0,568,0,40,0,80,0
1720211539,0,3,0,0,0,370,0,752,0,319,0,648,0,51,0,104,0
1720211540,0,4,0,0,0,427,0,868,0,370,0,752,0,57,0,116,0
1720211541,0,5,0,0,0,479,0,974,0,427,0,868,0,52,0,106,0
1720211542,0,5,1,1,0,523,0,1113,0,479,0,974,0,44,0,139,0
1720211543,0,4,1,1,0,565,0,1184,0,523,0,1113,0,42,0,71,0
1720211544,0,5,1,1,0,601,0,1258,0,565,0,1184,0,36,0,74,0
1720211545,0,6,1,1,0,652,0,1360,0,601,0,1258,0,51,0,102,0
1720211546,0,6,1,1,0,701,0,1460,0,652,0,1360,0,49,0,100,0
1720211547,0,6,1,1,0,755,0,1568,0,701,0,1460,0,54,0,108,0
1720211548,0,4,1,1,0,810,0,1678,0,755,0,1568,0,55,0,110,0
1720211549,0,4,1,1,0,865,0,1788,0,810,0,1678,0,55,0,110,0
1720211550,0,3,1,1,0,902,0,1862,0,865,0,1788,0,37,0,74,0
1720211551,0,4,1,1,0,952,0,1964,0,902,0,1862,0,50,0,102,0
1720211552,0,4,1,1,0,983,0,2086,0,952,0,1964,0,31,0,122,0
1720211553,0,3,1,1,0,983,0,2086,0,983,0,2086,0,0,0,0,0
1720211554,0,1,1,1,0,1056,0,2243,0,983,0,2086,0,73,0,157,0
1720211555,0,1,1,1,0,1119,0,2373,0,1056,0,2243,0,63,0,130,0
1720211556,0,1,1,1,0,1183,0,2507,0,1119,0,2373,0,64,0,134,0
1720211557,0,1,1,1,0,1230,0,2607,0,1183,0,2507,0,47,0,100,0
1720211558,0,1,1,1,0,1291,0,2737,0,1230,0,2607,0,61,0,130,0
1720211559,0,0,1,1,0,1354,0,2863,0,1291,0,2737,0,63,0,126,0
