"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720211099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720211100,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720211101,0,0,0,0,0,47,0,100,0,0,0,2,0,47,0,98,0
1720211102,0,1,0,0,0,104,0,214,0,47,0,100,0,57,0,114,0
1720211103,0,1,0,0,0,159,0,334,0,104,0,214,0,55,0,120,0
1720211104,0,1,0,0,0,204,0,424,0,159,0,334,0,45,0,90,0
1720211105,0,1,0,0,0,262,0,540,0,204,0,424,0,58,0,116,0
1720211106,0,2,0,0,0,317,0,656,0,262,0,540,0,55,0,116,0
1720211107,0,3,0,0,0,371,0,766,0,317,0,656,0,54,0,110,0
1720211108,0,3,0,0,0,425,0,874,0,371,0,766,0,54,0,108,0
1720211109,0,5,0,0,0,463,0,950,0,425,0,874,0,38,0,76,0
1720211110,0,5,0,1,0,520,0,1113,0,463,0,950,0,57,0,163,0
1720211111,0,4,1,1,0,548,0,1157,0,520,0,1113,0,28,0,44,0
1720211112,0,5,1,1,0,597,0,1258,0,548,0,1157,0,49,0,101,0
1720211113,0,6,1,1,0,647,0,1360,0,597,0,1258,0,50,0,102,0
1720211114,0,5,1,1,0,695,0,1456,0,647,0,1360,0,48,0,96,0
1720211115,0,6,1,1,0,750,0,1566,0,695,0,1456,0,55,0,110,0
1720211116,0,4,1,1,0,801,0,1672,0,750,0,1566,0,51,0,106,0
1720211117,0,4,1,1,0,853,0,1778,0,801,0,1672,0,52,0,106,0
1720211118,0,4,1,1,0,892,0,1858,0,853,0,1778,0,39,0,80,0
1720211119,0,4,1,1,0,947,0,1972,0,892,0,1858,0,55,0,114,0
1720211120,0,4,1,1,0,988,0,2114,0,947,0,1972,0,41,0,142,0
1720211121,0,2,1,1,0,988,0,2114,0,988,0,2114,0,0,0,0,0
1720211122,0,1,1,1,0,1061,0,2279,0,988,0,2114,0,73,0,165,0
1720211123,0,1,1,1,0,1124,0,2409,0,1061,0,2279,0,63,0,130,0
1720211124,0,1,1,1,0,1185,0,2533,0,1124,0,2409,0,61,0,124,0
1720211125,0,1,1,1,0,1230,0,2623,0,1185,0,2533,0,45,0,90,0
1720211126,0,1,1,1,0,1290,0,2743,0,1230,0,2623,0,60,0,120,0
1720211127,0,0,1,1,0,1350,0,2863,0,1290,0,2743,0,60,0,120,0
1720211128,0,2,1,1,0,1412,0,2987,0,1350,0,2863,0,62,0,124,0
1720211129,0,4,1,1,0,1472,0,3107,0,1412,0,2987,0,60,0,120,0
1720211130,0,5,1,1,0,1525,0,3215,0,1472,0,3107,0,53,0,108,0
1720211131,0,5,1,1,0,1569,0,3293,0,1525,0,3215,0,44,0,78,0
1720211132,0,5,1,1,0,1613,0,3385,0,1569,0,3293,0,44,0,92,0
1720211133,0,5,1,1,0,1673,0,3505,0,1613,0,3385,0,60,0,120,0
1720211134,0,5,1,1,0,1731,0,3627,0,1673,0,3505,0,58,0,122,0
1720211135,0,5,1,1,0,1785,0,3727,0,1731,0,3627,0,54,0,100,0
1720211136,0,5,1,1,0,1801,0,3747,0,1785,0,3727,0,16,0,20,0
1720211137,0,5,1,1,0,1844,0,3849,0,1801,0,3747,0,43,0,102,0
1720211138,0,5,1,1,0,1880,0,3919,0,1844,0,3849,0,36,0,70,0
1720211139,0,5,1,1,0,1932,0,4023,0,1880,0,3919,0,52,0,104,0
1720211140,0,5,1,1,0,1964,0,4140,0,1932,0,4023,0,32,0,117,0
1720211141,0,6,1,1,0,1999,0,4188,0,1964,0,4140,0,35,0,48,0
1720211142,0,5,1,1,0,2051,0,4292,0,1999,0,4188,0,52,0,104,0
1720211143,0,5,1,1,0,2102,0,4394,0,2051,0,4292,0,51,0,102,0
1720211144,0,4,1,1,0,2155,0,4500,0,2102,0,4394,0,53,0,106,0
1720211145,0,4,1,1,0,2193,0,4582,0,2155,0,4500,0,38,0,82,0
1720211146,0,4,1,1,0,2248,0,4692,0,2193,0,4582,0,55,0,110,0
1720211147,0,3,1,1,0,2300,0,4800,0,2248,0,4692,0,52,0,108,0
1720211148,0,3,1,1,0,2355,0,4910,0,2300,0,4800,0,55,0,110,0
1720211149,0,3,1,1,0,2407,0,5018,0,2355,0,4910,0,52,0,108,0
1720211150,0,3,1,1,0,2436,0,5136,0,2407,0,5018,0,29,0,118,0
1720211151,0,2,1,1,0,2456,0,5146,0,2436,0,5136,0,20,0,10,0
1720211152,0,2,1,1,0,2519,0,5308,0,2456,0,5146,0,63,0,162,0
1720211153,0,2,1,1,0,2578,0,5426,0,2519,0,5308,0,59,0,118,0
1720211154,0,2,1,1,0,2632,0,5534,0,2578,0,5426,0,54,0,108,0
1720211155,0,3,1,1,0,2687,0,5646,0,2632,0,5534,0,55,0,112,0
1720211156,0,2,1,1,0,2740,0,5756,0,2687,0,5646,0,53,0,110,0
1720211157,0,2,1,1,0,2783,0,5842,0,2740,0,5756,0,43,0,86,0
1720211158,0,5,1,1,0,2830,0,5936,0,2783,0,5842,0,47,0,94,0
1720211159,0,5,1,1,0,2880,0,6038,0,2830,0,5936,0,50,0,102,0
1720211160,0,4,1,1,0,2926,0,6173,0,2880,0,6038,0,46,0,135,0
1720211161,0,2,1,1,0,2926,0,6173,0,2926,0,6173,0,0,0,0,0
1720211162,0,2,1,1,0,2980,0,6292,0,2926,0,6173,0,54,0,119,0
1720211163,0,2,1,1,0,3044,0,6422,0,2980,0,6292,0,64,0,130,0
1720211164,0,2,1,1,0,3105,0,6544,0,3044,0,6422,0,61,0,122,0
1720211165,0,2,1,1,0,3166,0,6668,0,3105,0,6544,0,61,0,124,0
1720211166,0,2,1,1,0,3228,0,6792,0,3166,0,6668,0,62,0,124,0
1720211167,0,0,1,1,0,3288,0,6912,0,3228,0,6792,0,60,0,120,0
1720211168,0,0,1,1,0,3337,0,7010,0,3288,0,6912,0,49,0,98,0
1720211169,0,0,1,1,0,3340,0,7016,0,3337,0,7010,0,3,0,6,0
1720211170,0,0,1,1,0,3340,0,7016,0,3340,0,7016,0,0,0,0,0
1720211171,0,0,1,1,0,3340,0,7016,0,3340,0,7016,0,0,0,0,0
