"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720215307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720215308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720215309,0,0,0,0,0,19,0,46,0,0,0,0,0,19,0,46,0
1720215310,0,1,0,0,0,81,0,170,0,19,0,46,0,62,0,124,0
1720215311,0,1,0,0,0,144,0,296,0,81,0,170,0,63,0,126,0
1720215312,0,1,0,0,0,207,0,422,0,144,0,296,0,63,0,126,0
1720215313,0,2,0,0,0,251,0,510,0,207,0,422,0,44,0,88,0
1720215314,0,3,0,0,0,314,0,636,0,251,0,510,0,63,0,126,0
1720215315,0,4,0,0,0,373,0,754,0,314,0,636,0,59,0,118,0
1720215316,0,5,0,0,0,438,0,884,0,373,0,754,0,65,0,130,0
1720215317,0,6,0,0,0,502,0,1012,0,438,0,884,0,64,0,128,0
1720215318,0,5,1,1,0,567,0,1142,0,502,0,1012,0,65,0,130,0
1720215319,0,6,1,1,0,592,0,1193,0,567,0,1142,0,25,0,51,0
1720215320,0,7,1,1,0,643,0,1331,0,592,0,1193,0,51,0,138,0
1720215321,0,7,1,1,0,705,0,1453,0,643,0,1331,0,62,0,122,0
1720215322,0,5,1,1,0,766,0,1577,0,705,0,1453,0,61,0,124,0
1720215323,0,4,1,1,0,825,0,1695,0,766,0,1577,0,59,0,118,0
1720215324,0,5,1,1,0,874,0,1793,0,825,0,1695,0,49,0,98,0
1720215325,0,5,1,1,0,934,0,1913,0,874,0,1793,0,60,0,120,0
1720215326,0,5,1,1,0,996,0,2037,0,934,0,1913,0,62,0,124,0
1720215327,0,1,1,1,0,1061,0,2167,0,996,0,2037,0,65,0,130,0
1720215328,0,1,1,1,0,1128,0,2303,0,1061,0,2167,0,67,0,136,0
