"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720215070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720215071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720215072,0,0,0,0,0,1,0,36,0,0,0,0,0,1,0,36,0
1720215073,0,0,0,0,0,53,0,150,0,1,0,36,0,52,0,114,0
1720215074,0,1,0,0,0,113,0,272,0,53,0,150,0,60,0,122,0
1720215075,0,1,0,0,0,177,0,402,0,113,0,272,0,64,0,130,0
1720215076,0,2,0,0,0,235,0,518,0,177,0,402,0,58,0,116,0
1720215077,0,2,0,0,0,294,0,636,0,235,0,518,0,59,0,118,0
1720215078,0,3,0,0,0,339,0,726,0,294,0,636,0,45,0,90,0
1720215079,0,4,0,0,0,395,0,838,0,339,0,726,0,56,0,112,0
1720215080,0,4,0,0,0,449,0,946,0,395,0,838,0,54,0,108,0
1720215081,0,5,0,1,0,500,0,1048,0,449,0,946,0,51,0,102,0
1720215082,0,4,1,1,0,545,0,1128,0,500,0,1048,0,45,0,80,0
1720215083,0,5,1,1,0,594,0,1258,0,545,0,1128,0,49,0,130,0
1720215084,0,6,1,1,0,646,0,1360,0,594,0,1258,0,52,0,102,0
1720215085,0,6,1,1,0,698,0,1466,0,646,0,1360,0,52,0,106,0
1720215086,0,6,1,1,0,742,0,1554,0,698,0,1466,0,44,0,88,0
1720215087,0,4,1,1,0,800,0,1670,0,742,0,1554,0,58,0,116,0
1720215088,0,4,1,1,0,854,0,1778,0,800,0,1670,0,54,0,108,0
1720215089,0,4,1,1,0,909,0,1888,0,854,0,1778,0,55,0,110,0
1720215090,0,4,1,1,0,966,0,2002,0,909,0,1888,0,57,0,114,0
1720215091,0,4,1,1,0,1010,0,2099,0,966,0,2002,0,44,0,97,0
1720215092,0,2,1,1,0,1029,0,2182,0,1010,0,2099,0,19,0,83,0
1720215093,0,1,1,1,0,1077,0,2293,0,1029,0,2182,0,48,0,111,0
1720215094,0,1,1,1,0,1140,0,2421,0,1077,0,2293,0,63,0,128,0
1720215095,0,1,1,1,0,1203,0,2547,0,1140,0,2421,0,63,0,126,0
1720215096,0,1,1,1,0,1265,0,2671,0,1203,0,2547,0,62,0,124,0
1720215097,0,1,1,1,0,1329,0,2799,0,1265,0,2671,0,64,0,128,0
1720215098,0,1,1,1,0,1380,0,2901,0,1329,0,2799,0,51,0,102,0
1720215099,0,3,1,1,0,1442,0,3025,0,1380,0,2901,0,62,0,124,0
1720215100,0,5,1,1,0,1502,0,3145,0,1442,0,3025,0,60,0,120,0
1720215101,0,5,1,1,0,1563,0,3267,0,1502,0,3145,0,61,0,122,0
1720215102,0,3,1,1,0,1602,0,3352,0,1563,0,3267,0,39,0,85,0
1720215103,0,7,1,1,0,1648,0,3444,0,1602,0,3352,0,46,0,92,0
1720215104,0,5,1,1,0,1709,0,3566,0,1648,0,3444,0,61,0,122,0
1720215105,0,5,1,1,0,1771,0,3690,0,1709,0,3566,0,62,0,124,0
1720215106,0,5,1,1,0,1832,0,3812,0,1771,0,3690,0,61,0,122,0
1720215107,0,5,1,1,0,1892,0,3930,0,1832,0,3812,0,60,0,118,0
1720215108,0,5,1,1,0,1901,0,3946,0,1892,0,3930,0,9,0,16,0
1720215109,0,6,1,1,0,1939,0,4016,0,1901,0,3946,0,38,0,70,0
1720215110,0,6,1,1,0,1994,0,4126,0,1939,0,4016,0,55,0,110,0
1720215111,0,6,1,1,0,2049,0,4295,0,1994,0,4126,0,55,0,169,0
1720215112,0,5,1,1,0,2067,0,4307,0,2049,0,4295,0,18,0,12,0
1720215113,0,5,1,1,0,2103,0,4375,0,2067,0,4307,0,36,0,68,0
1720215114,0,4,1,1,0,2160,0,4489,0,2103,0,4375,0,57,0,114,0
1720215115,0,4,1,1,0,2216,0,4601,0,2160,0,4489,0,56,0,112,0
1720215116,0,4,1,1,0,2273,0,4715,0,2216,0,4601,0,57,0,114,0
1720215117,0,4,1,1,0,2332,0,4833,0,2273,0,4715,0,59,0,118,0
1720215118,0,3,1,1,0,2389,0,4947,0,2332,0,4833,0,57,0,114,0
1720215119,0,3,1,1,0,2433,0,5035,0,2389,0,4947,0,44,0,88,0
1720215120,0,3,1,1,0,2494,0,5157,0,2433,0,5035,0,61,0,122,0
1720215121,0,2,1,1,0,2556,0,5296,0,2494,0,5157,0,62,0,139,0
1720215122,0,2,1,1,0,2573,0,5369,0,2556,0,5296,0,17,0,73,0
1720215123,0,3,1,1,0,2640,0,5497,0,2573,0,5369,0,67,0,128,0
1720215124,0,2,1,1,0,2697,0,5611,0,2640,0,5497,0,57,0,114,0
1720215125,0,2,1,1,0,2741,0,5699,0,2697,0,5611,0,44,0,88,0
1720215126,0,3,1,1,0,2800,0,5817,0,2741,0,5699,0,59,0,118,0
1720215127,0,5,1,1,0,2859,0,5935,0,2800,0,5817,0,59,0,118,0
1720215128,0,5,1,1,0,2915,0,6047,0,2859,0,5935,0,56,0,112,0
1720215129,0,4,1,1,0,2969,0,6155,0,2915,0,6047,0,54,0,108,0
1720215130,0,2,1,1,0,3026,0,6269,0,2969,0,6155,0,57,0,114,0
1720215131,0,2,1,1,0,3086,0,6413,0,3026,0,6269,0,60,0,144,0
1720215132,0,2,1,1,0,3117,0,6485,0,3086,0,6413,0,31,0,72,0
1720215133,0,2,1,1,0,3168,0,6585,0,3117,0,6485,0,51,0,100,0
1720215134,0,2,1,1,0,3228,0,6705,0,3168,0,6585,0,60,0,120,0
1720215135,0,1,1,1,0,3287,0,6823,0,3228,0,6705,0,59,0,118,0
1720215136,0,0,1,1,0,3349,0,6947,0,3287,0,6823,0,62,0,124,0
1720215137,0,0,1,1,0,3406,0,7061,0,3349,0,6947,0,57,0,114,0
1720215138,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215139,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215140,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215141,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215142,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215143,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215144,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215145,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
1720215146,0,0,1,1,0,3406,0,7061,0,3406,0,7061,0,0,0,0,0
