"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720215494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720215495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720215496,0,0,0,0,0,19,0,42,0,0,0,0,0,19,0,42,0
1720215497,0,1,0,0,0,67,0,138,0,19,0,42,0,48,0,96,0
1720215498,0,1,0,0,0,124,0,252,0,67,0,138,0,57,0,114,0
1720215499,0,1,0,0,0,182,0,368,0,124,0,252,0,58,0,116,0
1720215500,0,2,0,0,0,241,0,488,0,182,0,368,0,59,0,120,0
1720215501,0,2,0,0,0,300,0,606,0,241,0,488,0,59,0,118,0
1720215502,0,4,0,0,0,362,0,730,0,300,0,606,0,62,0,124,0
1720215503,0,4,0,0,0,407,0,820,0,362,0,730,0,45,0,90,0
1720215504,0,5,0,0,0,459,0,924,0,407,0,820,0,52,0,104,0
1720215505,0,5,0,1,0,515,0,1036,0,459,0,924,0,56,0,112,0
1720215506,0,4,1,1,0,569,0,1142,0,515,0,1036,0,54,0,106,0
1720215507,0,6,1,1,0,622,0,1257,0,569,0,1142,0,53,0,115,0
1720215508,0,6,1,1,0,666,0,1345,0,622,0,1257,0,44,0,88,0
1720215509,0,6,1,1,0,721,0,1455,0,666,0,1345,0,55,0,110,0
1720215510,0,5,1,1,0,775,0,1563,0,721,0,1455,0,54,0,108,0
1720215511,0,4,1,1,0,828,0,1669,0,775,0,1563,0,53,0,106,0
1720215512,0,4,1,1,0,885,0,1783,0,828,0,1669,0,57,0,114,0
1720215513,0,4,1,1,0,939,0,1891,0,885,0,1783,0,54,0,108,0
1720215514,0,4,1,1,0,980,0,1973,0,939,0,1891,0,41,0,82,0
1720215515,0,4,1,1,0,1035,0,2083,0,980,0,1973,0,55,0,110,0
1720215516,0,3,1,1,0,1054,0,2179,0,1035,0,2083,0,19,0,96,0
1720215517,0,1,1,1,0,1096,0,2280,0,1054,0,2179,0,42,0,101,0
1720215518,0,1,1,1,0,1160,0,2410,0,1096,0,2280,0,64,0,130,0
1720215519,0,1,1,1,0,1221,0,2532,0,1160,0,2410,0,61,0,122,0
