"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1720214254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720214255,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
1720214256,0,0,0,0,0,18,0,42,0,0,0,2,0,18,0,40,0
1720214257,0,1,0,0,0,76,0,162,0,18,0,42,0,58,0,120,0
1720214258,0,1,0,0,0,130,0,272,0,76,0,162,0,54,0,110,0
1720214259,0,1,0,0,0,190,0,394,0,130,0,272,0,60,0,122,0
1720214260,0,2,0,0,0,253,0,526,0,190,0,394,0,63,0,132,0
1720214261,0,2,0,0,0,307,0,636,0,253,0,526,0,54,0,110,0
1720214262,0,3,0,0,0,351,0,724,0,307,0,636,0,44,0,88,0
1720214263,0,3,0,0,0,396,0,816,0,351,0,724,0,45,0,92,0
1720214264,0,4,0,0,0,447,0,918,0,396,0,816,0,51,0,102,0
1720214265,0,5,0,1,0,499,0,1048,0,447,0,918,0,52,0,130,0
1720214266,0,4,1,1,0,540,0,1134,0,499,0,1048,0,41,0,86,0
1720214267,0,5,1,1,0,592,0,1239,0,540,0,1134,0,52,0,105,0
1720214268,0,6,1,1,0,627,0,1311,0,592,0,1239,0,35,0,72,0
1720214269,0,6,1,1,0,677,0,1413,0,627,0,1311,0,50,0,102,0
1720214270,0,6,1,1,0,731,0,1521,0,677,0,1413,0,54,0,108,0
1720214271,0,4,1,1,0,780,0,1619,0,731,0,1521,0,49,0,98,0
1720214272,0,4,1,1,0,831,0,1723,0,780,0,1619,0,51,0,104,0
1720214273,0,4,1,1,0,880,0,1823,0,831,0,1723,0,49,0,100,0
1720214274,0,4,1,1,0,931,0,1927,0,880,0,1823,0,51,0,104,0
1720214275,0,4,1,1,0,969,0,2023,0,931,0,1927,0,38,0,96,0
1720214276,0,3,1,1,0,974,0,2069,0,969,0,2023,0,5,0,46,0
1720214277,0,1,1,1,0,1016,0,2164,0,974,0,2069,0,42,0,95,0
1720214278,0,1,1,1,0,1079,0,2294,0,1016,0,2164,0,63,0,130,0
1720214279,0,1,1,1,0,1141,0,2418,0,1079,0,2294,0,62,0,124,0
1720214280,0,1,1,1,0,1206,0,2550,0,1141,0,2418,0,65,0,132,0
1720214281,0,1,1,1,0,1267,0,2680,0,1206,0,2550,0,61,0,130,0
1720214282,0,0,1,1,0,1327,0,2802,0,1267,0,2680,0,60,0,122,0
1720214283,0,1,1,1,0,1376,0,2900,0,1327,0,2802,0,49,0,98,0
1720214284,0,5,1,1,0,1437,0,3022,0,1376,0,2900,0,61,0,122,0
1720214285,0,5,1,1,0,1495,0,3144,0,1437,0,3022,0,58,0,122,0
1720214286,0,5,1,1,0,1541,0,3228,0,1495,0,3144,0,46,0,84,0
1720214287,0,5,1,1,0,1600,0,3350,0,1541,0,3228,0,59,0,122,0
